"species_name","marginality","specialization"
"Abronia_deppii",2.15184036998282,19.142930121119
"Abronia_fimbriata",1.38498378898086,48.4605356686743
"Abronia_gaiophantasma",1.25946206689835,45.2795733873822
"Abronia_graminea",1.82785127011975,13.7303449408321
"Abronia_lythrochila",1.54123544890286,11.2857875452108
"Abronia_martindelcampoi",1.92497182874738,136.221715434983
"Abronia_mixteca",2.06408729295406,24.4071513877139
"Abronia_oaxacae",1.60567045374496,15.0896972731302
"Abronia_smithi",1.93589408181309,82.0629146002011
"Abronia_vasconcelosii",1.8079507989615,10.3808203413621
"Acratosaura_mentalis",1.14268733578427,3.52823387299996
"Adelophis_copei",3.37461127379715,2.78513207789807
"Adelphicos_nigrilatum",1.75628014362653,295.648618048508
"Adelphicos_quadrivirgatum",1.51382161376154,5.78669622963198
"Adelphicos_veraepacis",1.5839550551458,13.9053125327309
"Agkistrodon_bilineatus",2.22445119605343,3.12020486256215
"Agkistrodon_taylori",1.78853131264282,10.3859762187823
"Alexandresaurus_camacan",2.37127654379865,11.5550340322572
"Alopoglossus_angulatus",1.52998815764695,2.57251238717565
"Alopoglossus_atriventris",2.02788508252363,3.84380069855542
"Alopoglossus_buckleyi",2.46041877548219,4.56225967408268
"Alopoglossus_copii",2.93790164902848,12.2087377031135
"Alopoglossus_festae",3.1270190312111,2.41912333636557
"Amapasaurus_tetradactylus",2.32644923371498,45.8909167922831
"Amastridium_sapperi",1.86057360330565,7.09940641947582
"Amastridium_veliferum",2.71902688917812,4.58586203788557
"Ameiva_aggerecusans",1.91957989600051,38.5794692091183
"Ameiva_ameiva",2.29313887636718,16.8088603108058
"Ameiva_atrigularis",1.39172321954977,5.70123831200334
"Ameiva_bifrontata",1.64683953970063,2.4468369358321
"Ameiva_nodam",1.72282486294217,19.5404288986022
"Ameiva_parecis",1.29055974311696,38.9247019171431
"Ameiva_praesignis",2.15191835961753,2.41073573480261
"Ameivula_abaetensis",1.61240058024497,17.7518485656508
"Ameivula_abalosi",1.64891817722604,6.87569949626269
"Ameivula_confusioniba",1.84515263740938,84.7098812031158
"Ameivula_jalapensis",1.4407939717969,28.5086411695488
"Ameivula_mumbuca",1.22891349571,10.5714281880157
"Ameivula_nativo",1.61539515134145,10.3860147817298
"Ameivula_ocellifera",1.1286539331293,2.77753677469073
"Ameivula_pyrrhogularis",1.95417585879906,9.41540410709717
"Ameivula_venetacauda",2.14084056886443,27.9837630618903
"Amerotyphlops_amoipira",1.60627382506259,5.82518776259414
"Amerotyphlops_brongersmianus",0.38441746143538,1.28592113458574
"Amerotyphlops_microstomus",1.08549562703795,13.2120267455275
"Amerotyphlops_minuisquamus",2.2807607736935,3.90286981431097
"Amerotyphlops_paucisquamus",2.06334254783279,4.32909462189271
"Amerotyphlops_reticulatus",0.924515314452638,1.82238450200233
"Amerotyphlops_tenuis",1.36735729358017,4.02790907511823
"Amerotyphlops_yonenagae",1.79621271369996,17.3747333183402
"Amphisbaena_alba",0.796886142544369,1.49055326008394
"Amphisbaena_albocingulata",1.52210362276182,13.0872067161752
"Amphisbaena_anaemariae",1.30513541402978,7.54675088935204
"Amphisbaena_angustifrons",1.72526470985851,4.74129975099612
"Amphisbaena_anomala",2.18817978801478,4.52336232386595
"Amphisbaena_arda",2.34159926696422,44.4404757889126
"Amphisbaena_barbouri",1.64333497268344,20.4416282413417
"Amphisbaena_bedai",1.28240757867904,62.5813252473588
"Amphisbaena_bolivica",1.6416733271716,3.35858819026391
"Amphisbaena_borelli",1.07971017658241,5.71862896183221
"Amphisbaena_brasiliana",1.46249552395665,3.0853363519788
"Amphisbaena_carli",1.83663373979649,13.4553686936332
"Amphisbaena_cegei",0.952506801059192,45.4487872676955
"Amphisbaena_cubana",1.4508439437572,7.93439356708776
"Amphisbaena_cuiabana",1.77822231497859,9.44082684280433
"Amphisbaena_cunhai",1.26119025166937,10.5521652854347
"Amphisbaena_darwini",2.37970798257841,5.26238897922937
"Amphisbaena_dubia",1.74344814201264,5.87569844213814
"Amphisbaena_frontalis",2.36375805309019,29.9739364500152
"Amphisbaena_fuliginosa",1.07105485736215,1.80888879456764
"Amphisbaena_gracilis",1.55327561415184,14.113800656714
"Amphisbaena_hastata",1.58448231993815,7.58904357925488
"Amphisbaena_heathi",1.56243380626327,13.1955837614832
"Amphisbaena_heterozonata",1.7715353993508,5.01007098711163
"Amphisbaena_hogei",2.10412165268637,6.81333560535853
"Amphisbaena_hyporissor",1.22493301478372,5.98954532597603
"Amphisbaena_ibijara",2.24680224130297,9.62817678385157
"Amphisbaena_kingii",1.8285150798405,4.01622547209758
"Amphisbaena_kraoh",1.15668009889119,14.6413944596536
"Amphisbaena_leeseri",1.32641158913844,3.65779947634664
"Amphisbaena_leucocephala",2.2522393951759,22.8515571055348
"Amphisbaena_mertensii",1.10022397142954,3.86988578981493
"Amphisbaena_miringoera",1.00054836188409,5.99872857407124
"Amphisbaena_mitchelli",2.56914520026098,6.75225186396637
"Amphisbaena_munoai",2.34527355384117,5.1674476822019
"Amphisbaena_nigricauda",1.37254495914116,23.9632994453686
"Amphisbaena_pericensis",1.88045502543289,5.088640248497
"Amphisbaena_plumbea",2.73025472143999,6.47393358592585
"Amphisbaena_pretrei",1.25545717008965,3.44397049651164
"Amphisbaena_prunicolor",1.35688390424881,3.54679356976849
"Amphisbaena_roberti",1.17793805378293,4.16154314754215
"Amphisbaena_saxosa",1.15399735291782,13.7641749962525
"Amphisbaena_silvestrii",1.42276106572735,5.70082056673561
"Amphisbaena_slevini",2.04388422705392,14.4287066660062
