term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.02690927582097336,0.02640785165544719,1.0189876924510342,0.3087386724677954,8.225914997163055e-5,0.4804236799250802,0.227126563065429,0.6928269208844108,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.02910776750274488,0.0301799619528506,0.9644733001393184,0.33530999264128636,-1.497890714269241e-4,0.47894483996941545,0.22549217828924015,0.6921387371244783,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.03718245938165954,0.03904448718409408,0.9523100971039752,0.3414344782752401,-1.998370920213756e-4,0.47702927789817495,0.22388880425731408,0.6909444230039122,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,6.999128807761539e-4,0.02695992347507376,0.02596123395614493,0.9792993961850986,-0.0021490850879125,0.47883310459439504,0.22568488557135044,0.6926033402565792,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00197932925913003,0.03121560256925171,-0.06340833096970988,0.9494686008827,-0.00214187262777492,0.4775819270657926,0.22450568902937856,0.6919937423406575,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.00131830987612931,0.04106500009348107,0.0321030043377157,0.974403682138136,-0.00214831652269126,0.47886564133396936,0.22675644517136403,0.6926595015083528,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.01460467292181583,0.0255713768067026,-0.57113361678624,0.5681849935970931,-0.00144803022273989,0.48165664022192944,0.23099206157410984,0.690825967312829,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.02030687320708908,0.0302630374445314,-0.6710123940569152,0.5025457984742168,-0.00118109799706142,0.4821706222933107,0.23197273828537116,0.6908908972130215,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.02462350148649067,0.04051886634524454,-0.6077046005355622,0.5436800756489919,-0.00135525723736451,0.48366260066632,0.23440130066351575,0.6914865112457004,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.01526703469612202,0.02577758003248004,-0.5922601996341544,0.5539642317591289,-0.00139513651806914,0.5148059812607199,0.2530436135924588,0.7174127178494498,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.02123706239354193,0.0304887891855516,-0.6965531580901876,0.4864305187639295,-0.0011059722481061,0.5143465334603984,0.2534196504265017,0.7168655418021409,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.02803127926408155,0.04097256205257892,-0.6841475821821884,0.4942227849877821,-0.00114281114836863,0.5167547642082221,0.2574660697633077,0.7177439651160523,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.01859048623770068,0.02535840703413692,0.7331093870634137,0.4638611242991004,-9.935841407006706e-4,0.4991085725101907,0.25038572035282586,0.6999779780622424,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.02389612231608428,0.02936920927205145,0.8136454098825361,0.416264546978244,-7.258078462342528e-4,0.49866283812871126,0.2505208639727071,0.6996608353632929,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.03866229761354991,0.03821626142355982,1.01167137164587,0.31222132736567576,5.038150494034885e-5,0.4978492268925204,0.2507413539795863,0.6988916583346582,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-5.237984307948432e-4,0.02612518727007587,-0.02004955698039372,0.9840124398148182,-0.0021496712927518,0.4957714315911826,0.2399220868307381,0.6992022201355826,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00436142307794544,0.03074049974276421,-0.1418787304839457,0.8872372432731999,-0.0021071570100279,0.4950532354028855,0.23879274836968123,0.6989318935339202,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.00745821175355727,0.0408281348294771,-0.18267333995802812,0.8551339498401633,-0.00207862599581937,0.4949766851702211,0.2387915437996659,0.6988926933299039,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,5.815334377763659e-5,0.02534167201886697,0.00229477138423783,0.9981700230746952,-0.00215052628537565,0.4889288654396435,0.2385456452289667,0.6952724198722642,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00182135341352942,0.02932743710681866,-0.06210407704210746,0.9505066350699832,-0.00214222542200005,0.48824395369019696,0.23787154208540195,0.6949373997728033,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-7.756628649890143e-4,0.03808438753780079,-0.02036695126629324,0.9837593837185676,-0.00214964364644608,0.4887020830846763,0.23878878932803557,0.6951568202801801,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.00644106947811671,0.02609223480683587,0.24685771555410127,0.8051272872095525,-0.00201922197730137,0.5233472979354135,0.26899611930511064,0.7199949170446183,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.01168885416933161,0.03009643617021079,0.388380009620579,0.6979125864649933,-0.00182556043517976,0.5249216967682185,0.2719188419244482,0.7206194240333151,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.02672732338046823,0.03942660512296766,0.677900704286062,0.4981718234477255,-0.00116111192877207,0.5279083837092186,0.2763699626108056,0.7221006530039505,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.00302008208908593,0.02672968620880195,-0.11298606596030417,0.9100903630304038,-0.00212302590680852,0.5170163955252444,0.26796975341311274,0.7142534495870971,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00751374951097455,0.03100345508013943,-0.24235200533465065,0.8086142725776113,-0.00202397124426227,0.5151823384823773,0.2660908188362738,0.7132198114891094,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.0125793881688809,0.04135253665686758,-0.304198706678174,0.7611125921252668,-0.0019511453634466,0.514381055132713,0.26546853299942824,0.7127180629542238,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.0238471223770244,0.0256265746127571,0.930562228365594,0.3525629103056518,-2.8775217478872153e-4,0.5308331916313622,0.2842525723400689,0.7224366102623635,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.02774477265183683,0.02957475000170908,0.9381236578579192,0.34866787004159727,-2.574138898522929e-4,0.5299369668911608,0.28317868786460665,0.7220781720191713,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.03960507301105402,0.03859718716220116,1.02611293524104,0.30537183382873123,1.1352306784900988e-4,0.529078542772178,0.28222082820896505,0.7216991564351423,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.00738146268865781,0.02602240466990733,-0.2836579778960183,0.7767987522728947,-0.00197715928104455,0.4669721143396106,0.21704581852929583,0.6803658757687748,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.01123813051658364,0.0302128641799926,-0.3719650824772083,0.7100882939166073,-0.00185244231647664,0.46612603592847907,0.21648163860662217,0.6797998205542207,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.0179501439216363,0.03980894476620587,-0.4509073030459808,0.6522665468714721,-0.00171254712567349,0.465840651998718,0.216624655692732,0.6794874130829217,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,1.2770762174085443e-4,0.02543042025754663,0.00502184472169532,0.9959953181393668,-0.00215048328353208,0.5300300249943652,0.28240794717198936,0.7207343904251191,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00178730376668759,0.02923159395304679,-0.06114287744823131,0.9512716920037544,-0.0021424807289827,0.529348857909615,0.2818213203232375,0.7203683095890467,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.00144527812562393,0.03767275831726503,-0.03836401129570542,0.9694139193429584,-0.00214736568204317,0.529682195198085,0.28307203888974924,0.7203903724670405,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.0225567821816569,0.02508325428930384,0.8992765420903023,0.3689708191179939,-4.1068726613518504e-4,0.4958135007558542,0.2576074835143794,0.688888746567717,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.02642373767813453,0.02900100356118527,0.9111318379857676,0.362697989184539,-3.645937681711882e-4,0.4964990927797237,0.25795640119687524,0.6895558761244968,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.03670772758803006,0.03786574279122055,0.9694178664452612,0.33284069600599286,-1.2926348847075642e-4,0.4979377669096482,0.2592829044726302,0.6904960167155413,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.02077456102555098,0.0254641921319237,-0.8158342867475671,0.4150126219116239,-7.181428624336192e-4,0.4541806327959045,0.2067036306904064,0.6733220532745866,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.02507489555967579,0.02920532554972256,-0.8585727119180834,0.3910186455809923,-5.643803591480161e-4,0.4544039137712027,0.2074007314407722,0.6731691052683876,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.02906595987684989,0.03788939846601714,-0.7671264536680107,0.44339564811587584,-8.838642258378354e-4,0.45649362545319383,0.2101117492257608,0.6741681380238693,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.0060358970309903,0.02599144473969056,0.23222629951666812,0.8164644206082587,-0.00203432523994933,0.4757851549516563,0.23268279735332617,0.683086757406807,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,0.00726084996945616,0.03051285244981646,0.23796038018398497,0.812016641342939,-0.00202851611279398,0.4755758124392025,0.2329495471297219,0.6829236342428501,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,0.01742276494936325,0.04052371346961341,0.42993998964156294,0.6674384640445914,-0.00175231761765208,0.47767486992448194,0.23613650321259347,0.6839916360574267,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.00365497181738753,0.02762670823835205,-0.13229849122283852,0.8948054273851864,-0.00211281748130399,0.46568018531604394,0.2041781914657549,0.6890610384109139,Mammals,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.00694881411668131,0.03214806288069815,-0.21615032117077937,0.8289653628001732,-0.00204985648901556,0.46476533016266136,0.20324897392692828,0.6886477666524284,Mammals,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.00565498889906489,0.04248299667998385,-0.13311181745635373,0.8941625338158985,-0.00211235229204208,0.4656603282771213,0.20466054001563155,0.6890305946309081,Mammals,high,Deserts_and_xeric_shrublands,marginality
Beta,0.01842923509433439,0.02563287654815942,0.7189686674341556,0.4725213614036674,-0.00103773684414459,0.49664668578185295,0.23106563236864863,0.7062799057526381,Mammals,low,Deserts_and_xeric_shrublands,marginality
