term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,-0.09555655529053622,0.03698165383574944,-2.5838908047471794,0.00991229208410482,0.00572413658932056,0.171256616901915,0.06973671219040058,0.3054993387485484,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.1200460859436352,0.04299185401267587,-2.7922984179337877,0.00533481389325407,0.00684624442954433,0.17017625157360153,0.06941294393653641,0.30383071225877495,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.1476842087154316,0.05046564491758105,-2.9264306233800235,0.00350752035756229,0.0076129934482673,0.16988389052599945,0.06975963998333053,0.3029448913606852,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.11013556309887793,0.03703716356585843,-2.973650044853948,0.0030144934613201,0.00789118380713165,0.1305986603683665,0.03516660754783606,0.2783343023040412,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.1356750635163267,0.04262195422221957,-3.1832201500886814,0.00150211930237609,0.00917755870687997,0.1284301193192649,0.03433273394002065,0.27552943455413625,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.16469756329518173,0.04969777486098681,-3.3139826432042288,9.532854303337944e-4,0.01002274753853416,0.1288719266922521,0.03534482766219089,0.2753719102939548,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.0914179549978482,0.0373298846589888,-2.4489214427785626,0.01450185514596924,0.00504261379451593,0.14443309226453394,0.04742102130354964,0.2837471141082624,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.1154749233091883,0.04327554315557393,-2.6683645054219274,0.0077473743009766,0.00616877806157135,0.14307738283763544,0.04707087973210186,0.28164392867650884,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.13992615403372177,0.05099751003249902,-2.743784038564853,0.00618388135564029,0.0065774955896114,0.14437141784203164,0.0486221620694293,0.2822977017221699,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.11517504647621236,0.03808856415445631,-3.023874725472869,0.002560259449361,0.00819179097127836,0.1715075023685239,0.0591317732212591,0.32495979330234875,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.1419118245287729,0.04404922204598721,-3.221664718178622,0.00131625796872558,0.00942266452489651,0.16949756269086327,0.0582621222967341,0.32230969975062573,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.1719685211004799,0.0516703962201041,-3.328182744485512,9.06511470486926e-4,0.01011648938800536,0.16971751119134248,0.05912245412501257,0.32178347379466693,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.1100701050336361,0.03722883409141711,-2.956582114910016,0.00318488646635062,0.00779013330342143,0.15717773601239188,0.0484920533998146,0.31839724475160863,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.13374637686117496,0.04299083371754097,-3.1110440365013026,0.00191792925202527,0.00872502438546504,0.15695131470815055,0.04898254707084016,0.31733826147096744,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.15768186522804428,0.05049823237246718,-3.1225224690046005,0.00184540317640546,0.00879632599162049,0.15999047089486584,0.05161581978033948,0.31972695067561113,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.09453239596751478,0.0384493836142107,-2.458619282847907,0.01411838757867212,0.0050903942317313796,0.14189917595177692,0.04744355295326384,0.2840502475697453,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.10831289404528882,0.04456663418289617,-2.4303584067126445,0.01526159356533796,0.00495166928667686,0.14473992149189507,0.04975656052577408,0.2865009602607957,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.1207604114794853,0.0523178195526805,-2.3082080352734833,0.02119396526249017,0.0043700926377698,0.14921434593570493,0.05317989417377706,0.2907118455846172,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.10996243042855314,0.03742231297049109,-2.9384188656447474,0.00337583215763981,0.00768321442633144,0.11665700429391722,0.03449201250230104,0.24780162384605708,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.12933525540019286,0.04364480872429294,-2.963359427628884,0.00311620136484824,0.00783019114803855,0.11901161169441483,0.03639126376629128,0.249864776779191,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.15056846759122317,0.05140092235241943,-2.929295053479443,0.00347563640808856,0.00762974661242374,0.12274147402723588,0.03918136901203058,0.2534257501224371,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.09824530806867526,0.03631211558162871,-2.7055792948175195,0.00693628650203925,0.00636907278480962,0.1411126391922496,0.04754512235042542,0.2739899626186231,birds,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.11933137554688744,0.0417550723028479,-2.857889328543887,0.00435452251279011,0.00721684024849054,0.14084871701449941,0.0476721426060274,0.2732648040463378,birds,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.14228475551704614,0.04891384936706454,-2.9088848528214917,0.00370870826934899,0.00751071908939516,0.14258207461008054,0.04936731742480815,0.27458111331451496,birds,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.10336781552309889,0.03765909068662782,-2.7448303620300436,0.00616435243739044,0.00658324359605195,0.18729489631971663,0.06069997934076449,0.3580622186804341,birds,low,Deserts_and_xeric_shrublands,specialization
