term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.01626111187232681,0.05628252329996098,0.28891938241045584,0.7727623405816728,-0.00182544464652042,0.41863068124628133,0.20187371242035684,0.6168376256161078,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02060825650326941,0.06236078866282287,0.33046818273411727,0.7411841053895221,-0.00177409767405931,0.4191046755505775,0.2022615279748644,0.6172400475113368,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03236217468904379,0.07056385205044342,0.45862256309235067,0.6467037189884115,-0.00157237971847978,0.42034593930363673,0.20339908300667892,0.6181227153183843,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.12650406567206202,0.05491032653903504,2.303830147178817,0.02163976184093963,0.00849116603791238,0.39492067055775554,0.1852105337134115,0.5922702687692198,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.13771053156337815,0.06117673139131534,2.251027938752013,0.02481558847152687,0.00802088434890399,0.3944656671446467,0.18394939041455047,0.5923455053656341,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.15412781515129292,0.06933915720704066,2.2228106218695554,0.02667321835200287,0.00777385916441933,0.3935002347564405,0.18215780066393175,0.5920436154026416,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.02447118413927898,0.05646648403749559,0.43337538287365857,0.6649282384136792,-0.00161729487358478,0.4164655452632804,0.20530017823895533,0.6156576162875432,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.0204501265182681,0.06281230174300959,0.3255751811474416,0.7448814510751265,-0.00178050213072176,0.4167557186914724,0.20531238857130488,0.6161423936085713,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.02129603011081965,0.07089779100593029,0.3003764970482414,0.7640143403738668,-0.00181197305352302,0.4166281864464801,0.2050264079562557,0.616190636291173,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.01289799326657176,0.05645614536533459,-0.2284603949332225,0.8193813751799996,-0.00188786317236898,0.4154676432032174,0.20524083358393433,0.6127673544304166,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.00922095161871969,0.06327710611121928,-0.1457233458577016,0.8841982846044036,-0.00194964801817589,0.4161851797556428,0.20599295434523832,0.6132055016241812,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,8.840138792621799e-4,0.07228424840885542,0.01222968902245486,0.9902472218322655,-0.00199173334026276,0.41745164152125375,0.2072275048911041,0.6140191745822413,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01558547637135654,0.05759566904764699,0.2706015335712689,0.7868087360416562,-0.00184589570511084,0.42163994814438466,0.2069837138677464,0.6194083943907203,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02601359397036295,0.06412393530030094,0.4056768170658558,0.6851529257214839,-0.00166365045222737,0.42107426459859154,0.20622668078648104,0.6190213228772993,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04599099823485464,0.07278705147357795,0.6318568660739005,0.5277680454806228,-0.00119577588749741,0.4198109241201953,0.20464253638053595,0.6181288747663555,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.00316580316743911,0.05585003392438521,-0.05668399721520781,0.9548194758932562,-0.00198561861457662,0.3978848532053583,0.19626624975414791,0.5923978743294522,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,-4.707931608579352e-4,0.06233030830978021,-0.00755319801272446,0.9939764778452737,-0.00199191799912273,0.3979829987067036,0.19632919195064663,0.5924553734934253,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00890576520406744,0.07081132061401398,0.12576753444003608,0.899966293377898,-0.00196046119071413,0.39827003324119226,0.19647018301099656,0.5926312560996928,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01481081728682998,0.05514706329773532,0.26856946501153406,0.7883713449897845,-0.00184808195444183,0.4151524038079041,0.20891280527719708,0.6096125193506756,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00838654483453726,0.06105413283611873,0.13736244288406158,0.8907993909483416,-0.00195437187915333,0.41585817334695346,0.20948130961147984,0.6102506896985038,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.001919078808648,0.06900514610244872,0.02781066220479895,0.9778242141995516,-0.00199048810270652,0.41640542706213673,0.20992048397213775,0.6107387633711295,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.02673814928731016,0.05724734304224864,0.4670635852493165,0.6406570388478663,-0.00155679680202031,0.3877448898249145,0.1820600821482273,0.5836118598532113,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.03497753618707988,0.06364757562422346,0.5495501728704946,0.5828723286588375,-0.00138959152064813,0.38698167176164144,0.1812982638281937,0.5829495748994287,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04438651573185803,0.07195607751006758,0.6168556884670067,0.5376095714413729,-0.00123310726852564,0.3862191825375987,0.18055498517774968,0.5822941959205653,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.04169862353732417,0.05572395639115381,0.7483069444068375,0.4546254683665527,-8.755904749706163e-4,0.3960342043608997,0.19352753466995057,0.5899204224555912,reptiles,low,Deserts_and_xeric_shrublands,specialization
Beta,0.03969769836937098,0.06240600847727987,0.636119811825871,0.5249882420208434,-0.00118500413338239,0.3959177638745463,0.19321033604443125,0.5900511634154314,reptiles,int,Deserts_and_xeric_shrublands,specialization
Beta,0.0438302667278892,0.07123553865819333,0.6152865206536619,0.5386443402327799,-0.0012369605817822,0.3958924822955496,0.193058066721038,0.5901258066846112,reptiles,high,Deserts_and_xeric_shrublands,specialization
Beta,0.05993502252805585,0.05621341695379947,1.0662049342653388,0.2868435230964157,2.71880259534325e-4,0.39395334419337086,0.1885599611013982,0.592243473512319,reptiles,low,Deserts_and_xeric_shrublands,specialization
