biome,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Deserts and xeric shrublands,-0.009102377998372657,-0.011981672608522355,-0.058675609834522024,0.04593586304155639,0.6433712106280227,0.6986232354695477,0.1970939666975847,0.9754919563155173,0,-0.0015742796622369383,-0.0022008022598593397,-0.002588189840740247,0.001784465059079892,0.4169066381021783,0.4151684129098169,0.1583191653488028,0.6784647233592629,mammals,marginality_3th
Flooded grasslands and savannas,-0.01735110361239348,-0.02010526173250859,-0.09014021295396765,0.07596601927986923,0.5980347287463033,0.6304653130587211,0.1905739334864845,0.962611555998566,0,-0.0020569493730501934,-0.003144476941666835,-0.0040892823769717365,0.00294321185291402,0.008275900982674677,1e-6,NA,0.5245233307412539,mammals,marginality_3th
Mangroves,-0.036541600124136736,-0.03855222872530141,-0.07307375831042222,0.00431009232326687,0.3580914397615442,0.2859450596203952,0.038762479952831046,0.9011104898527547,0.06315789473684211,0.0010443315759165433,3.5496388075620134e-4,-0.0024699039281740488,0.008216228196869867,0.3666468149417669,0.3649040451693922,0.15177453612085637,0.6029109340804135,mammals,marginality_3th
Mediterranean forests woodlands and scrub,0.0022332757746947283,-0.0039600764622949,-0.21743556430031957,0.2839312180345774,0.5583200773734613,0.5526102765424126,0.07660381274235442,0.9887777318737863,0.021052631578947368,-0.011478949526336107,-0.0251405296488868,-0.03998786827063282,0.08488963854250832,1e-6,1e-6,NA,0.45393071687015496,mammals,marginality_3th
Montane grasslands and shrublands,-0.051745344107961784,-0.05069894688098403,-0.1000993197848743,0.004881401510891851,0.2791881028945051,0.20986038873314017,0.018615271661272637,0.8348542040916929,0.14583333333333334,0.002593968554818412,0.00154290090928098,-0.002563926387093845,0.012116079964744505,0.6510447734583852,0.6511151489505977,0.3958315713901614,0.7997892592126129,mammals,marginality_3th
Temperate broadleaf & mixed forests,0.07123607278619122,0.07832129059054779,-0.06365567706612575,0.17300535172470313,0.41668493321776495,0.3754858353848326,0.05736476339043961,0.9376589965968114,0.02040816326530612,0.0026267805514818537,-0.003492927555062635,-0.01743008686939471,0.04568115576256639,0.26022887244982085,0.28918986844459316,NA,0.7000794923364811,mammals,marginality_3th
Temperate grasslands savannas and shrublands,0.01084733969690215,0.00693779585378351,-0.08776211448635678,0.11883920149513182,0.6433361059864707,0.6941304632066421,0.15942488485876952,0.9810116466822474,0.010309278350515464,-0.0049251670383598685,-0.00720909406089401,-0.008541979711761908,0.008503488125968867,0.0029698570322642254,1e-6,NA,0.5763056060157905,mammals,marginality_3th
Tropical & subtropical coniferous forests,-0.016332516499999852,-0.01791274177965693,-0.06193684233205085,0.04440305970676377,0.6106177814667128,0.6231033753445763,0.17464532821509088,0.98992013979659,0,-0.0024047411285297335,-0.00339450440261542,-0.004483582640847288,0.0038126917855550234,0.1783743991103636,0.1785325296683178,NA,0.5612452310705172,mammals,marginality_3th
Tropical & subtropical dry broadleaf forests,-0.037382396831712086,-0.03897624817274808,-0.07769457342215012,0.006459021134776373,0.3668278496745147,0.27673513479141976,0.03916163338055779,0.9398140382439625,0.07368421052631578,8.441320789228733e-4,3.1880302232715325e-4,-0.0017139738093572229,0.005604184995915099,0.3063859353543069,0.3057701741140646,0.0976295609788265,0.6122788948524485,mammals,marginality_3th
Tropical & subtropical grasslands savannas and shrublands,0.010845848419939387,0.01212819852648397,-0.03493982842708398,0.06387600239025655,0.6295739644694909,0.6676631117784257,0.13090864346459635,0.9516392494557301,0,-0.0011683789323842946,-0.00170169104282057,-0.002079868234987174,0.002753497138803903,0.2682687163428252,0.26955569723968026,0.1000494630705036,0.49607557129717744,mammals,marginality_3th
Tropical & subtropical moist broadleaf forests,-0.03713787712404889,-0.03749278629112306,-0.0722952645406978,0.0024551018496830807,0.27534942567285253,0.18306115743548856,0.013691222331355819,0.8668451375720485,0.16326530612244897,0.0013078853849778141,9.052509997947453e-4,-0.0011366298445742093,0.005935495631541127,0.8077999467499591,0.8082345848314483,0.7152808058303961,0.8702905124233815,mammals,marginality_3th
Deserts and xeric shrublands,-0.10133342970590437,-0.10118642352398322,-0.1264391339507891,-0.07852768849481859,3.001271357143514e-4,8.943258550986322e-5,1.2526337709428684e-6,0.0022166229554598537,1,0.019249092619343607,0.01886288453831667,0.011041688215653073,0.02954558790610006,1e-6,1e-6,NA,0.12026732969768761,birds,marginality_3th
Flooded grasslands and savannas,-0.04562711862872936,-0.04406319145309734,-0.0891441814628271,-0.014303370701698303,0.2772358252691066,0.24974986844057545,0.017868034598231504,0.7150183230327489,0.04040404040404041,0.0010787174335187243,5.74078372605666e-4,-0.0014996812740115245,0.008086805707818646,0.0660281198301212,0.0708681444784672,NA,0.2080406412548518,birds,marginality_3th
Mangroves,0.008571010147330438,0.0085808756598639,-0.0036352974954476586,0.020853961186555872,0.6425840357660443,0.6378047294054765,0.2690906408447571,0.9643015781999843,0,-7.843812455714612e-4,-9.088965779617392e-4,-0.001165818742581118,2.610817274404576e-4,0.19822872018072665,0.19746443338796377,0.097647027151327,0.33235526293344153,birds,marginality_3th
Mediterranean forests woodlands and scrub,-0.04121766594846215,-0.03823569521775205,-0.10792260906722886,0.023259204823868663,0.5292594201421578,0.5322253284853324,0.07824658333751122,0.9776402916962746,0,-0.006666528129397417,-0.01359636920492836,-0.022704236373951265,0.04768331946351896,1e-6,1e-6,NA,0.32037733273542396,birds,marginality_3th
Montane grasslands and shrublands,0.026442831187210237,0.026328981171563612,0.01047917857051293,0.0397052521386934,0.26345090516236475,0.2279268552532333,0.06792942802811894,0.6293337739660774,0.01020408163265306,7.876220176558398e-4,5.991386940053846e-4,-0.00100869797015495,0.0030690842999662182,0.42793663096962753,0.4257046105776596,0.2659039317857801,0.575465997099557,birds,marginality_3th
Temperate broadleaf & mixed forests,-0.00903870551598417,-0.01303663660199117,-0.05778334428553817,0.04355179186428392,0.7486252275970281,0.7729505885415142,0.4092346778527354,0.9953425612904894,0,-0.009919242030921042,-0.01089650032696495,-0.01190434276595587,-0.0036510738540533154,1e-6,1e-6,NA,0.2368567316560018,birds,marginality_3th
Temperate grasslands savannas and shrublands,-0.013586753114724752,-0.01403105808332938,-0.03930133329117855,0.01102311888468454,0.6764783420054857,0.6741171878205501,0.24585046336294897,0.9817364026675255,0,-0.0026789682949751943,-0.00309111571142366,-0.0037571530655477244,0.001339803645842667,1e-6,1e-6,NA,0.2550782302506521,birds,marginality_3th
Tropical & subtropical coniferous forests,0.01630828551560989,0.01663593589718226,-0.01092085444615127,0.040074230390173146,0.6338182416602208,0.6502985501147076,0.25440228668591647,0.9663953564369295,0,-0.002075635592023938,-0.00255161354983487,-0.0032096486643888,9.919166321744359e-4,0.15416230434641737,0.1623427852147801,NA,0.3977787137533111,birds,marginality_3th
