term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.05815575441191795,0.01153722240221052,-5.040706712975848,5.02637375943138e-7,0.01123578813448481,0.507668826317304,0.4174673294965668,0.5921913961761738,group,low,w.marginality
Beta,-0.06419140013733939,0.01291366878166862,-4.970810481716952,7.195158395756351e-7,0.01091718886659133,0.5090907744372483,0.4192869310470651,0.5932399858320244,group,int,w.marginality
Beta,-0.0709463066461766,0.01476994258967936,-4.803424672466297,1.667506675850916e-6,0.01017149640464901,0.5108491160636495,0.42133404560179893,0.5946830636227788,group,high,w.marginality
Beta,-0.06585375826029269,0.01153032092759402,-5.711355188969062,1.276531325089536e-8,0.01450692515902724,0.4554386053604146,0.3647759646844991,0.5434587177638098,group,low,w.marginality
Beta,-0.0733446380296811,0.0129974010248811,-5.643023392851883,1.8918371313958463e-8,0.01415600064753104,0.456775020643062,0.3664377361930511,0.5444740233112663,group,int,w.marginality
Beta,-0.08161833275335617,0.01499305105331757,-5.44374406937647,5.8127496371795935e-8,0.01315533291089466,0.4589958447806178,0.3689175260871452,0.5463736038969568,group,high,w.marginality
Beta,-0.06037526376006406,0.01205472637549078,-5.0084308742848584,5.935228617470756e-7,0.0110881419001114,0.49148801549288634,0.40049892194343295,0.5772716064751726,group,low,w.marginality
Beta,-0.06674207096761307,0.01360838545533674,-4.9044812249523035,1.0070380496163267e-6,0.01061877630155529,0.49398823641292966,0.4034800171778159,0.579273324948657,group,int,w.marginality
Beta,-0.0751966742970234,0.01574995649763813,-4.77440520602707,1.9239656365854785e-6,0.01004470266687903,0.49615556044028697,0.4059709055395906,0.5810564747374539,group,high,w.marginality
Beta,-0.05739265349759644,0.011733338243432,-4.891417285249,1.0754555184178116e-6,0.01056045367209993,0.47765636778102466,0.3875913761045981,0.5639019161096682,group,low,w.marginality
Beta,-0.06379468836799448,0.0132135234049722,-4.827984664861514,1.4764503706299337e-6,0.01027938023714964,0.4787780452967541,0.38904227535331304,0.5647209030215041,group,int,w.marginality
Beta,-0.07073201729222077,0.01523546607319409,-4.642589662331997,3.648504796505137e-6,0.00947804029621435,0.4807336577435069,0.3912856233687252,0.5663553449379997,group,high,w.marginality
Beta,-0.05523067284450412,0.01175024584977923,-4.700384447321315,2.7613923858638145e-6,0.00972462129662507,0.5260224889996726,0.4353990530169827,0.6095347052057529,group,low,w.marginality
