term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.0514360171224958,0.0171353402797996,-3.001750550768598,0.00274239952599231,0.00692944080084332,0.7026270483581614,0.5825344509933472,0.793402235989917,group,low,w.marginality
Beta,-0.05461788725449688,0.01958940586534975,-2.788133934735939,0.00538885532513866,0.0058658167325504,0.7045528289940514,0.5847668820077646,0.7948781168176187,group,int,w.marginality
Beta,-0.06613600006447103,0.02530376788538916,-2.6136818976536333,0.00907450982368018,0.00505388690273119,0.7058399196093803,0.5862051543716709,0.7958935730132176,group,high,w.marginality
Beta,-0.04897403764446973,0.0161965703295437,-3.02372889124172,0.00255229294947634,0.00704319176401365,0.7048454757387664,0.5890951317382275,0.793014092944309,group,low,w.marginality
Beta,-0.05507191015147711,0.01857228606095891,-2.965273632482144,0.00308669548505857,0.0067424259726954,0.7058092191897569,0.5903068666969041,0.7937122382048488,group,int,w.marginality
Beta,-0.07039411155093837,0.02401981431725316,-2.930668431536337,0.00344935596553974,0.00656705684666692,0.7062402302495878,0.5908355490739601,0.7940266422205734,group,high,w.marginality
Beta,-0.06272151023842149,0.01690498809257709,-3.710236877715531,2.169875178847924e-4,0.01099778874800583,0.6898551475753167,0.5682765037134611,0.7825015664406875,group,low,w.marginality
Beta,-0.07114150065716776,0.01948264241430577,-3.651532433040488,2.724328266474618e-4,0.0106294329168478,0.6913563755613368,0.5703242671282746,0.7835152064985317,group,int,w.marginality
Beta,-0.09117402261224385,0.02516872552892316,-3.62251249104645,3.0451490834426664e-4,0.01044941007249893,0.6921239371152803,0.571477842692562,0.7839962454000362,group,high,w.marginality
Beta,-0.05702694928383646,0.01672597076920075,-3.409485169545198,6.734812647259947e-4,0.0091700014146993,0.6704635560594936,0.5456390626819131,0.7685403931573573,group,low,w.marginality
Beta,-0.06383309962089684,0.01912593542600279,-3.3375151697998584,8.724309770582472e-4,0.00875456870281619,0.6716815798639895,0.5469881853931723,0.7695087429085196,group,int,w.marginality
Beta,-0.08261756125173328,0.0247395972972707,-3.339486906718879,8.663209301262853e-4,0.0087658366824118,0.6719003465803431,0.54717159626751255,0.7696972675322657,group,high,w.marginality
Beta,-0.04178368077180924,0.01663831433181579,-2.511292907353629,0.01216557329705447,0.00460119807085781,0.6909029030315379,0.568082542957852,0.7847538257990733,group,low,w.marginality
Beta,-0.04415563077363634,0.01904765985178292,-2.3181656495983267,0.02061551298244524,0.00379554935201269,0.6931674289914661,0.5711067302623399,0.7863064510925459,group,int,w.marginality
Beta,-0.05043320899674312,0.02440816794654005,-2.0662431161242565,0.03902961799309334,0.0028397877393198,0.6955686053228582,0.574459053115647,0.787905269970152,group,high,w.marginality
Beta,-0.02667796802603855,0.01679429473107351,-1.5885137454851166,0.11244580868171128,0.00132522395934147,0.6602001530839211,0.5386511860325125,0.756391412680306,group,low,w.marginality
Beta,-0.02523977991208581,0.01921975009635339,-1.3132210244957665,0.1893711264945668,6.307425566183144e-4,0.6624631803672132,0.5415738255099225,0.7580114577449117,group,int,w.marginality
Beta,-0.02619789206874715,0.02481726018054564,-1.055631922224992,0.2913587059224978,9.960571814911356e-5,0.664624299028702,0.5445243325145678,0.7594892849104381,group,high,w.marginality
Beta,-0.03562860544083458,0.01649397115592401,-2.1600986872126384,0.03097166567976694,0.00318323737494678,0.6888954487585722,0.5690174263978621,0.7818501437849761,group,low,w.marginality
Beta,-0.03841871209506776,0.01880955225361768,-2.0425107188651235,0.04132916290660549,0.00275532279266533,0.6899827482376812,0.5703550225966968,0.7826504099249301,group,int,w.marginality
Beta,-0.04721251661488292,0.02416426723376841,-1.9538153653964592,0.05096583781691288,0.00244816814167623,0.6910193035422468,0.5717482669396936,0.7833575990615029,group,high,w.marginality
Beta,-0.04776412006333444,0.017117136350266,-2.7904270367392487,0.00535109104205333,0.00587682930740392,0.704063876131764,0.5819767974832849,0.7958257232644326,group,low,w.marginality
Beta,-0.05262777341141872,0.01964305128142619,-2.679205621235728,0.00748529761295602,0.00535285025072578,0.7053372289121519,0.5835682737372238,0.7967438629828019,group,int,w.marginality
Beta,-0.0665172316991445,0.02552069844962753,-2.6064032624512787,0.00926847045947187,0.00502112273999353,0.7061409270453537,0.584621384399456,0.7972999741410378,group,high,w.marginality
Beta,-0.04498993890913183,0.01637412917031355,-2.7476233051036996,0.0060969604514538,0.00567271840846122,0.6928056545450347,0.570778609386323,0.7854674822733838,group,low,w.marginality
Beta,-0.04986865238138262,0.01882049137212768,-2.64969980832891,0.00816710908294071,0.00521733100926739,0.6945302925168757,0.5729962139560328,0.7866777483636658,group,int,w.marginality
Beta,-0.06489478097462142,0.02428926532355221,-2.6717473793534574,0.00765263361364088,0.0053184565574029,0.695343397882034,0.5740772196983994,0.7872208286468566,group,high,w.marginality
Beta,-0.05576934644644604,0.01603071669880539,-3.478905372371901,5.223511418219751e-4,0.00957877313098104,0.6283778567021485,0.5046039812031986,0.7297747253188748,group,low,w.marginality
Beta,-0.06186901388345237,0.01830569233930287,-3.3797691306445548,7.498687691125383e-4,0.00899743946870814,0.6297296238192204,0.5060786905106659,0.7308734929202748,group,int,w.marginality
Beta,-0.07776690742246999,0.02338297204652568,-3.3257922589025557,9.095918631736312e-4,0.00868770735650024,0.6308753495328777,0.5073473432942136,0.7317966526458756,group,high,w.marginality
Beta,-0.04415769930035277,0.01695253583216955,-2.604784307050867,0.00931211264397147,0.00501384727760736,0.7321018854162997,0.6179090304469776,0.8165902990419552,group,low,w.marginality
Beta,-0.05104472504098457,0.01943949325125227,-2.625825909206574,0.00875896353898419,0.00510875071050552,0.7322351882339748,0.6180636831103697,0.8166792962769608,group,int,w.marginality
Beta,-0.07051053055951802,0.02535287741965268,-2.7811648118828782,0.00550511087842342,0.00583240174074123,0.7310576054601815,0.6165699116603076,0.8158084751357817,group,high,w.marginality
Beta,-0.04411065140946895,0.01634405350434317,-2.6988807518127156,0.00705951419588157,0.00544403071072176,0.6837200990603794,0.5584733318233825,0.780134548044883,group,low,w.marginality
Beta,-0.0468993231317246,0.01862314340352072,-2.5183354987675304,0.01192631964703938,0.00463176891240524,0.6858689932690392,0.5611689446752421,0.7816941766289363,group,int,w.marginality
Beta,-0.05727634055012893,0.02378376979187405,-2.408211189871924,0.01618789774097662,0.00416332693895924,0.6873775529552435,0.5631769144019015,0.7827342616900709,group,high,w.marginality
Beta,-0.05870591905421516,0.01656894940675568,-3.543128632541958,4.1130544173295647e-4,0.00996397140024614,0.6817562909940257,0.5598916121685469,0.776314052079429,group,low,w.marginality
Beta,-0.0625252631603653,0.01894478674939693,-3.300394139424961,9.951951872557707e-4,0.00854362612123454,0.6846086262492829,0.5633405798402653,0.7784607605881074,group,int,w.marginality
