term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.02354491790783651,0.01035874148280864,-2.272951588463871,0.02314495892209489,0.00227770919635796,0.39790857770282384,0.2789951407284636,0.513882311349769,group,low,w.marginality
Beta,-0.02445518152039843,0.01141795126210658,-2.1418186992581805,0.03234017763668206,0.00196183533000773,0.398535478015663,0.2796130520269974,0.5144696820772289,group,int,w.marginality
Beta,-0.02628638301082069,0.01288894667410389,-2.039451607293446,0.04154882526995407,0.00172816600274545,0.3989560551173498,0.2800522730310486,0.5148500196960138,group,high,w.marginality
Beta,-0.02135002715658252,0.0102749785631604,-2.077865858828188,0.03786128976849845,0.0018145242711648,0.4097835565320628,0.29026128798041023,0.524671281048291,group,low,w.marginality
Beta,-0.02330159739348255,0.01131082072370714,-2.0601155267754443,0.03952906929883437,0.00177442171221951,0.40950841514505487,0.2899660095320108,0.5244465496562692,group,int,w.marginality
Beta,-0.02560109466502392,0.01275087223621186,-2.007791638937299,0.04481266734069988,0.00165819227821543,0.40931234075461137,0.2897762664731476,0.5242675334388376,group,high,w.marginality
Beta,-0.02074708161644934,0.01057039871013276,-1.9627529845739136,0.0498266693587337,0.00156051948154121,0.3923005681230716,0.27241040243880016,0.5084063759693125,group,low,w.marginality
Beta,-0.02155490841504158,0.01172737168782389,-1.8379999362876216,0.06622495468368106,0.00130145128623804,0.39307442550643673,0.2731868552146149,0.5090960128472646,group,int,w.marginality
Beta,-0.02307619733104862,0.01331997873346637,-1.7324500130822138,0.08336250772124454,0.00109544692543664,0.3937546589174866,0.27389816290402186,0.5096807640402674,group,high,w.marginality
Beta,-0.02363106417204034,0.01018527477422859,-2.3201204381675704,0.02044422766349019,0.00239586732040217,0.3655599044461912,0.25062284653956807,0.4809637333891543,group,low,w.marginality
Beta,-0.02360101317025735,0.01127228049962796,-2.0937212457617855,0.03642257897880485,0.00185063382098539,0.3663047936378679,0.2513172390785544,0.4816776684450477,group,int,w.marginality
Beta,-0.02380212758000571,0.01277894044384299,-1.8626057210771176,0.06267842059521156,0.00135121288882529,0.3670884837556182,0.2520912505608165,0.48238820752978623,group,high,w.marginality
Beta,-0.02047059585007149,0.00995423899588624,-2.0564701991313763,0.03987919295681097,0.0017662281677201,0.44000217918211465,0.3190226927922118,0.5528038219781795,group,low,w.marginality
Beta,-0.01972037194891444,0.01105300556788556,-1.784163757793794,0.07456324276384652,0.0011948666485418,0.4407596915786688,0.31965663598488664,0.553569993305389,group,int,w.marginality
Beta,-0.01910299998489598,0.01258100979692014,-1.5183995794655871,0.1290869971526778,7.148515165015909e-4,0.4413219046130498,0.3201233756859785,0.5541364390860746,group,high,w.marginality
Beta,-0.02828500061724225,0.01028866723282444,-2.749141358853866,0.00603407958392621,0.0035804375319055,0.4222485842754308,0.2992683041200959,0.5384861088614356,group,low,w.marginality
Beta,-0.02818591352168247,0.01133370174812441,-2.4869115270610407,0.01297456006562658,0.00283289924860318,0.4239514698870803,0.3009162105338826,0.5400548249814292,group,int,w.marginality
Beta,-0.02800784803802472,0.01277242433747277,-2.1928372639368883,0.02844500287789531,0.00208252268767904,0.425780412531492,0.3027270833894997,0.541705318981185,group,high,w.marginality
Beta,-0.00746517772460976,0.0103832912927139,-0.7189606372546037,0.4722572665327385,-2.647800088434257e-4,0.4044510346033392,0.2844317227018438,0.5203319819353673,group,low,w.marginality
Beta,-0.00580606747723959,0.01142000589810847,-0.5084119508380699,0.6112259560422644,-4.064759984795016e-4,0.40547806487850663,0.28543923127099063,0.5212611163891475,group,int,w.marginality
Beta,-0.00412488339929346,0.01288983643224917,-0.3200105308530825,0.7489969990384706,-4.920739410386311e-4,0.40635991007378613,0.2863362653176572,0.5220335416239114,group,high,w.marginality
Beta,-0.02826116781619762,0.01008731959082415,-2.801652863452959,0.00513783635901843,0.00373898601891504,0.4022155302964131,0.28233329706060495,0.5186378867932709,group,low,w.marginality
