term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
Beta,-0.06015159587877812,0.03747580530920684,-1.6050781399486145,0.10875188252105604,0.00137117985859401,0.676133788005921,0.5633863394919516,0.7667213450876835,group,low,w.specialization
Beta,-0.06382153961653814,0.04285840046445011,-1.489125560564874,0.13672920221281415,0.00105941211345381,0.6769566956459765,0.5644052145268491,0.76733680673229,group,int,w.specialization
Beta,-0.08009193050145157,0.0553889376654591,-1.445991453838578,0.14845277948277635,9.4935160729908e-4,0.6772708170186172,0.5647865103891476,0.7675766595631388,group,high,w.specialization
Beta,-0.07827322016053685,0.03532823327442412,-2.2155996183710314,0.02691472275307527,0.00339339485190925,0.694091534927351,0.5894643553271712,0.7777024838572664,group,low,w.specialization
Beta,-0.09162095601610457,0.04050912833943067,-2.261736052388044,0.02390029773578428,0.00357208122743022,0.6939509151582335,0.5892761845139917,0.777602885974679,group,int,w.specialization
Beta,-0.1254134693458578,0.05238627079792034,-2.394014069633614,0.01682496013888745,0.00410442863118941,0.6928094617609519,0.5878156360071023,0.7767704325823218,group,high,w.specialization
Beta,-0.04141998928652762,0.0371226211122854,-1.1157614426320788,0.2647579615740696,2.133025731965263e-4,0.6943672273069972,0.5823552412377363,0.781958727757358,group,low,w.specialization
Beta,-0.04902149657751168,0.04276065641396488,-1.146415903978081,0.2518622062996445,2.736789337754424e-4,0.6942486279479548,0.5822348982634187,0.7818613224943811,group,int,w.specialization
Beta,-0.06782455718148525,0.05522113943535453,-1.2282353800555872,0.21961058647170129,4.428022268020262e-4,0.6937034436221489,0.5815545857511814,0.7814729972044133,group,high,w.specialization
Beta,-0.1075806592659094,0.03650056300347043,-2.9473698599027296,0.00326973639540995,0.00665144555889431,0.6551460323690246,0.5405080984091187,0.7481862660017589,group,low,w.specialization
Beta,-0.11799632085614378,0.04176080876630442,-2.825527673959982,0.00480213978915511,0.00604649849243413,0.6562290497987403,0.5417828261484536,0.7490373902441931,group,int,w.specialization
Beta,-0.14360212395980415,0.05406683918833629,-2.6560110802775223,0.00801675923481548,0.00524619540077966,0.656930577022011,0.5426117638888875,0.7496046738458467,group,high,w.specialization
Beta,-0.05919691961929396,0.03644388100795009,-1.6243308336557345,0.10457996681860492,0.00142518776771049,0.7067094986503197,0.5986162109707442,0.7902710879868093,group,low,w.specialization
Beta,-0.06569775273613608,0.04167516382662138,-1.5764245825032484,0.1152037358007174,0.00129198233681342,0.7069749702893546,0.599015792699527,0.7904345682941941,group,int,w.specialization
Beta,-0.07690113572101544,0.05335358259866633,-1.4413490524052963,0.1497590412767158,9.376975034076478e-4,0.7073776260526807,0.5996246111153762,0.7906986151414175,group,high,w.specialization
Beta,-0.00913003616026943,0.03660868102564298,-0.24939538668094025,0.803099606760671,-8.175685178070001e-4,0.6922498730849953,0.5867729547215086,0.7765739659064888,group,low,w.specialization
Beta,-0.00383358802332495,0.04183290173796932,-0.09164049979935836,0.9269996742813364,-8.645115594107531e-4,0.6929286329085242,0.5877746072081727,0.7769966061269538,group,int,w.specialization
Beta,-0.00234146954230967,0.05394726213875626,-0.0434029355611643,0.9653878920102076,-8.701957679993911e-4,0.6931292743424884,0.5881489757575175,0.7770876371770482,group,high,w.specialization
Beta,-0.07450587089699608,0.03598241629084164,-2.070618890481781,0.03861773187374506,0.00285546633351363,0.6892219973426886,0.5839931324016964,0.7727329099719271,group,low,w.specialization
Beta,-0.08182621832363882,0.04102916826803367,-1.9943426049752664,0.04635100657460223,0.00258684698739086,0.6899590864962025,0.5848896319268557,0.7732962001645453,group,int,w.specialization
Beta,-0.10549856880954182,0.05269951081500029,-2.001888958322416,0.04553181909637271,0.00261297971233058,0.690605142087808,0.5856931334654043,0.7737767332987435,group,high,w.specialization
Beta,-0.07432070227665068,0.03750209718506683,-1.9817745634301445,0.0477428872556116,0.0025435404030574,0.7210969554793099,0.6124931785474236,0.8034873836042425,group,low,w.specialization
Beta,-0.09169709520169653,0.04297596467693753,-2.1336832318019963,0.03308039762942116,0.00308505588100853,0.720260851290157,0.611414373997858,0.8028897418026447,group,int,w.specialization
Beta,-0.13039140278687994,0.05576326805553497,-2.3383027454026255,0.01954266338250154,0.00387660312325512,0.7192256780039857,0.6100409297700534,0.8021637785588849,group,high,w.specialization
Beta,-0.10248136946202964,0.0356043311923865,-2.8783399667943734,0.00407190634091225,0.00630566653879421,0.6485468711864553,0.5335510849621838,0.7421732474833487,group,low,w.specialization
Beta,-0.11763607419098952,0.04097492281596468,-2.870928512039956,0.00416789703818332,0.00626901469657725,0.6494066090062353,0.5345437506003007,0.7428501302725568,group,int,w.specialization
Beta,-0.16171163375453007,0.05294993934809366,-3.054047572961991,0.00230982249919686,0.00720142752893948,0.6492404948381653,0.5342492887425273,0.7427662350335605,group,high,w.specialization
Beta,-0.09052458632955292,0.03516008209564189,-2.574640926130644,0.01015891745246033,0.00487919165688514,0.6423105135920641,0.5275323135658878,0.7374909879682818,group,low,w.specialization
Beta,-0.10223913168681122,0.04012195560467218,-2.548209082682538,0.01095724708071488,0.00476237633798385,0.6428209566095734,0.5282147410748492,0.7378462606990459,group,int,w.specialization
Beta,-0.12975794626155196,0.05122142456441626,-2.5332748428026997,0.01143257772196904,0.0046968955442434,0.6431911730834998,0.5287737954942507,0.7380733846268586,group,high,w.specialization
Beta,-0.0623502805966941,0.03723227112147101,-1.6746300646897174,0.0942794397819806,0.00156929811345435,0.7446728455994058,0.6446930446188185,0.8191880344843991,group,low,w.specialization
Beta,-0.07580806290763273,0.04266437514807501,-1.7768469043441066,0.07585841277736449,0.00187555661935266,0.7439328884960164,0.6436797435400506,0.8186755292695996,group,int,w.specialization
Beta,-0.106844864572478,0.05562094774611948,-1.9209464941188863,0.05498610479794896,0.00233775851917778,0.7426680088828587,0.6419804259648182,0.8177859534800574,group,high,w.specialization
Beta,-0.12432737862013388,0.03537827433577624,-3.514229593002165,4.5821910000998223e-4,0.0097898059222767,0.6645406601409571,0.5536670462450228,0.7550473317635308,group,low,w.specialization
Beta,-0.14083281699145797,0.04031967172914679,-3.492905843517842,4.959911711468479e-4,0.00966216998924744,0.665639751956459,0.5551089845403923,0.7558204188171761,group,int,w.specialization
Beta,-0.18239849827634516,0.05150759848358125,-3.5411959331493033,4.142971154150743e-4,0.00995228103718729,0.6662611117091436,0.556065161022539,0.7561692153609562,group,high,w.specialization
Beta,-0.07359463694794958,0.0362574929922535,-2.029777319785272,0.04260963952009189,0.00271040028741087,0.6837517468954878,0.5767927653078835,0.7691692692876337,group,low,w.specialization
Beta,-0.07951664635838009,0.04142629363906885,-1.919472860670994,0.05517238031970439,0.00233285175213491,0.6846480416887248,0.5779085974710193,0.7698479803076814,group,int,w.specialization
Beta,-0.10179309765773686,0.0533543249799565,-1.907869656227068,0.05665756791376974,0.00229434636526106,0.6850863966286043,0.578420570173814,0.7702010734768913,group,high,w.specialization
Beta,-0.09276135161884742,0.03494854568347907,-2.6542263720775567,0.00805902165159144,0.00523802630371114,0.649336331028175,0.5352886237999167,0.742924978637213,group,low,w.specialization
Beta,-0.10333753679513712,0.03998675576024112,-2.5842940951435165,0.00988054840141261,0.00492214737143734,0.6502728212767059,0.5364116654426,0.7436436162975881,group,int,w.specialization
Beta,-0.13490457075569082,0.05123717035356742,-2.6329434241736576,0.00857862120622532,0.00514102136380257,0.650327145300274,0.5364078014654077,0.7437201463338547,group,high,w.specialization
Beta,-0.03732150584231775,0.03748925093108129,-0.9955255150583852,0.3196907090490373,-7.777890519497427e-6,0.6822429739213837,0.5743606250176678,0.7687118240149207,group,low,w.specialization
Beta,-0.03263896646866017,0.04277134273367206,-0.7631036199142961,0.44555851800396407,-3.6395895562264113e-4,0.6835901727545142,0.5760789059024424,0.7697011308643615,group,int,w.specialization
Beta,-0.03151128660307932,0.05516093183023057,-0.5712609551278424,0.5679346772099765,-5.871572003539454e-4,0.6846102230744644,0.5774012775327564,0.7704420170846273,group,high,w.specialization
Beta,-0.12502687669991197,0.03557590135012888,-3.5143698952116376,4.579797212458381e-4,0.00979064818161728,0.6949746931567404,0.592566039747923,0.7757644297841324,group,low,w.specialization
Beta,-0.14095165586747752,0.04049279986352445,-3.480906638773712,5.185047189661951e-4,0.00959067445244703,0.6950836423879458,0.5926833882870624,0.7758662163335359,group,int,w.specialization
Beta,-0.1800389322870709,0.05217264603484201,-3.4508300032710064,5.791962322470035e-4,0.00941250346717966,0.6953582839363541,0.5931152956577123,0.7760376337892058,group,high,w.specialization
