term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
log(int.age + 1),-0.04902149657751168,0.04276065641396488,-1.146415903978081,0.2518622062996445,2.736789337754424e-4,0.6942486279479548,0.5822348982634187,0.7818613224943811,Mammals,int,w.specialization
(Intercept),1.6813302310756186,0.5345315320365271,3.145427594645109,0.00170109137711138,4.428022268020262e-4,0.6937034436221489,0.5815545857511814,0.7814729972044133,Mammals,high,w.specialization
log(high.age + 1),-0.06782455718148525,0.05522113943535453,-1.2282353800555872,0.21961058647170129,4.428022268020262e-4,0.6937034436221489,0.5815545857511814,0.7814729972044133,Mammals,high,w.specialization
(Intercept),1.1337468269516229,0.23229305044893037,4.8806747544127544,1.2065498355973148e-6,0.0091700014146993,0.6704635560594936,0.5456390626819131,0.7685403931573573,Mammals,low,w.marginality
log(low.age + 1),-0.05702694928383646,0.01672597076920075,-3.409485169545198,6.734812647259947e-4,0.0091700014146993,0.6704635560594936,0.5456390626819131,0.7685403931573573,Mammals,low,w.marginality
(Intercept),1.1281888250162593,0.23277141559258172,4.846767040292098,1.4271625243811314e-6,0.00875456870281619,0.6716815798639895,0.5469881853931723,0.7695087429085196,Mammals,int,w.marginality
log(int.age + 1),-0.06383309962089684,0.01912593542600279,-3.3375151697998584,8.724309770582472e-4,0.00875456870281619,0.6716815798639895,0.5469881853931723,0.7695087429085196,Mammals,int,w.marginality
(Intercept),1.1294998515828474,0.23291028683047943,4.849506077869967,1.4079885919393575e-6,0.0087658366824118,0.6719003465803431,0.54717159626751255,0.7696972675322657,Mammals,high,w.marginality
log(high.age + 1),-0.08261756125173328,0.0247395972972707,-3.339486906718879,8.663209301262853e-4,0.0087658366824118,0.6719003465803431,0.54717159626751255,0.7696972675322657,Mammals,high,w.marginality
(Intercept),1.8468639449908593,0.49291468508723624,3.7468227278803847,1.8799878439956785e-4,0.00665144555889431,0.6551460323690246,0.5405080984091187,0.7481862660017589,Mammals,low,w.specialization
log(low.age + 1),-0.1075806592659094,0.03650056300347043,-2.9473698599027296,0.00326973639540995,0.00665144555889431,0.6551460323690246,0.5405080984091187,0.7481862660017589,Mammals,low,w.specialization
(Intercept),1.833557371782054,0.493828829801186,3.7129411268277694,2.1470861681405215e-4,0.00604649849243413,0.6562290497987403,0.5417828261484536,0.7490373902441931,Mammals,int,w.specialization
log(int.age + 1),-0.11799632085614378,0.04176080876630442,-2.825527673959982,0.00480213978915511,0.00604649849243413,0.6562290497987403,0.5417828261484536,0.7490373902441931,Mammals,int,w.specialization
(Intercept),1.826823446140854,0.4947929321683706,3.692096890177917,2.328722580844378e-4,0.00524619540077966,0.656930577022011,0.5426117638888875,0.7496046738458467,Mammals,high,w.specialization
log(high.age + 1),-0.14360212395980415,0.05406683918833629,-2.6560110802775223,0.00801675923481548,0.00524619540077966,0.656930577022011,0.5426117638888875,0.7496046738458467,Mammals,high,w.specialization
