ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
low,-0.0471430244713639,-0.04676236899940451,-0.06641727152980884,-0.027697483210851973,0.015620656839957843,0.0060969604514538,6.522462037388266e-5,0.09865963624297652,0.9263157894736842,0.0064616893084671395,0.00567271840846122,0.0015233055353392876,0.012960968731154583,0.686013708966033,0.6886570885860824,0.5648509829526556,0.7794365901837479,Mammals,marginality
int,-0.051555288281561557,-0.0503420272839041,-0.07355216923364838,-0.02866842833652998,0.022446510338170068,0.00816710908294071,9.681647835144692e-5,0.13903336958335752,0.8842105263157894,0.005903340882226779,0.00521733100926739,0.0010875456575577857,0.01231768052049578,0.6874843570164897,0.6897565831997589,0.5667015435778517,0.7805024992685538,Mammals,marginality
high,-0.06392364721238507,-0.06417690454242482,-0.09372457914916618,-0.031839722586096825,0.031240196208680345,0.00907450982368018,1.3811364787449378e-4,0.19892420491041604,0.8315789473684211,0.005524893224506417,0.00505388690273119,6.039149622474711e-4,0.011776628068659298,0.68861951256965,0.6900888935517567,0.5682165041440803,0.7812877501060332,Mammals,marginality
low,-0.06287248629523982,-0.0635772500485719,-0.07014489425042644,-0.05522783894639265,3.875999085578563e-7,6.853627831926445e-8,2.019027450783639e-9,2.7479239761762914e-6,1,0.012891293576024553,0.01300866425715405,0.009728962263338707,0.016165869237792656,0.4791747798843646,0.47586838222030386,0.3885361178219561,0.5657189544528003,Birds,marginality
int,-0.06953126751107282,-0.07062086338608783,-0.07727292585078382,-0.06090189702790874,6.265337523991832e-7,1.3335366877420543e-7,3.2982628572764128e-9,4.2915222368211655e-6,1,0.012462757227849657,0.012419463174228625,0.009334511417597901,0.01571850177915152,0.4809934947244592,0.4780643912742825,0.39073306369337163,0.567153240935465,Birds,marginality
high,-0.07729668098309636,-0.07845820104314793,-0.08656995868938511,-0.06700454349530201,1.5539274304088302e-6,3.656424725217988e-7,6.563685372995565e-9,1.0620470023708907e-5,1,0.011650124518223476,0.01152674656855183,0.008535203776574221,0.015101117504105293,0.4831263900227583,0.4804465987176916,0.3931739368542579,0.568938091516299,Birds,marginality
low,-0.019509286819543198,-0.01952559161862479,-0.03521900236775914,-0.0029927679529615954,0.1382779304261015,0.05890910135831606,7.906905624301741e-4,0.7780213964301863,0.47,0.00177923242276746,0.001409492058169305,-5.043940749001922e-4,0.005617536881670918,0.4120182767232056,0.4124428303057896,0.2914579681102383,0.5272695249120183,Reptiles,marginality
int,-0.01934673423217339,-0.01929494998522141,-0.03699622124813767,-0.0013546452445793917,0.18215357121793416,0.09532785239042708,0.001382706476656114,0.7506054121854902,0.38,0.0014210309470339686,9.772146212625515e-4,-4.8146916429319303e-4,0.005048661246757315,0.4127902349065298,0.413300775183446,0.2922069298277728,0.527988163559919,Reptiles,marginality
high,-0.019363567596976283,-0.019459869419261096,-0.038872049120685405,7.223515684201245e-4,0.2341708565987925,0.13490286098269566,0.0028284048936808416,0.8486837543874467,0.29,0.0010996868055681674,6.775008299026234e-4,-5.221791089161562e-4,0.004332988706994162,0.41351722308597016,0.414401361544097,0.2929323773566339,0.52864906424813,Reptiles,marginality
low,-0.017103580177336368,-0.018028717795019585,-0.033486725860111075,0.0012848049647021962,0.17396210576007404,0.06914913991137306,9.121894153414454e-4,0.8985305763022648,0.42,0.0018575341833779496,0.00160699118567862,-6.857372301149731e-4,0.006968700581160074,0.6350480512438811,0.6323037951197708,0.5288538619503124,0.7232763236388621,Amphibians,marginality
int,-0.01793764433036781,-0.01866877213475837,-0.035694652920978856,0.00307322796482288,0.18424546489599006,0.08280044488701621,0.0012265514600729476,0.7910957736203401,0.38,0.0017086939187296638,0.0014026410223880199,-6.48810358902504e-4,0.006653811490848755,0.6355235071194726,0.6327007848099235,0.529443074434928,0.7236404019789375,Amphibians,marginality
high,-0.019253708860797733,-0.019386310435414274,-0.03864388961073252,0.00532498342963634,0.19466175659548438,0.10279726193166971,0.0019231615859608233,0.7971335407124172,0.32,0.0015533480903112042,0.001160241565664535,-6.444916541866462e-4,0.006105072299115109,0.6360101294218625,0.6330786811713272,0.5300411494661899,0.7240157970115344,Amphibians,marginality
