term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
(Intercept),1.6354771603981444,0.5296871148066027,3.087628742857533,0.0020749512234348177,0.003811086745164081,0.6789056680549872,0.557574149715808,0.7709912980823047,MAMMALIA,low,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(low.age + 1),-0.0855519667617878,0.03940051845050863,-2.1713411428646667,0.03014720358937928,0.003811086745164081,0.6789056680549872,0.557574149715808,0.7709912980823047,MAMMALIA,low,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),1.6439160086646167,0.5305114114102325,3.0987382614347077,0.001999446783667702,0.004372134534279886,0.679774422531494,0.5587818543706993,0.77157693325669,MAMMALIA,int,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(int.age + 1),-0.10385075895453647,0.04526393836846386,-2.2943376713965087,0.021984018595880617,0.004372134534279886,0.679774422531494,0.5587818543706993,0.77157693325669,MAMMALIA,int,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),1.6716600076470804,0.531517938684247,3.145067900784709,0.0017110208946395922,0.006262588067055781,0.6809674232203564,0.5604767950254352,0.7723315515757667,MAMMALIA,high,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(high.age + 1),-0.1556956347704995,0.05835229242445255,-2.6682008247075344,0.007753066214928328,0.006262588067055781,0.6809674232203564,0.5604767950254352,0.7723315515757667,MAMMALIA,high,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),2.4541935681574927,0.341859723012894,7.1789491506284495,2.9662938771934932e-12,-0.0018933234142690224,0.3742715865172087,0.17470557605477408,0.5950035433104826,MAMMALIA,low,Montane_grasslands_and_shrublands,specialization
log(low.age + 1),-0.02416528529634049,0.06095400749641999,-0.39645113240109414,0.6919622888986174,-0.0018933234142690224,0.3742715865172087,0.17470557605477408,0.5950035433104826,MAMMALIA,low,Montane_grasslands_and_shrublands,specialization
(Intercept),2.4650861413443828,0.34352247868210806,7.175909276159906,3.0260238759183267e-12,-0.001679734643217047,0.3755133011758178,0.1755535267437403,0.5960166454404892,MAMMALIA,int,Montane_grasslands_and_shrublands,specialization
log(int.age + 1),-0.03594970073952847,0.07160007557528783,-0.5020902624848096,0.6158523689856552,-0.001679734643217047,0.3755133011758178,0.1755535267437403,0.5960166454404892,MAMMALIA,int,Montane_grasslands_and_shrublands,specialization
(Intercept),2.4932434802871537,0.34674994303189177,7.1903212398158685,2.753131056465463e-12,-9.390455443700938e-4,0.37814359600847675,0.17746172516315242,0.5979277750457275,MAMMALIA,high,Montane_grasslands_and_shrublands,specialization
log(high.age + 1),-0.07220609681210241,0.09468248745707575,-0.762613010614418,0.4460982673176068,-9.390455443700938e-4,0.37814359600847675,0.17746172516315242,0.5979277750457275,MAMMALIA,high,Montane_grasslands_and_shrublands,specialization
(Intercept),1.3955464386272318,0.16545385526400844,8.434656517374052,1.1589329496075607e-10,-0.02281119553781093,1e-6,NA,0.20198689421811997,MAMMALIA,low,Mediterranean_forests_woodlands_and_scrub,specialization
log(low.age + 1),0.019725030456625436,0.14427379902802356,0.13671942230338074,0.8918907067036832,-0.02281119553781093,1e-6,NA,0.20198689421811997,MAMMALIA,low,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),1.385212327216697,0.1794761152844048,7.718087306612559,1.193155796386236e-9,-0.022397924400003093,1e-6,NA,0.20129179641449038,MAMMALIA,int,Mediterranean_forests_woodlands_and_scrub,specialization
log(int.age + 1),0.03333055823760711,0.17546990847868088,0.18995027994590127,0.8502419684072073,-0.022397924400003093,1e-6,NA,0.20129179641449038,MAMMALIA,int,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),1.3612459424616468,0.19552459466475317,6.9620189971274025,1.4604994325040366e-8,-0.020967816079068637,1e-6,NA,0.20000252235927743,MAMMALIA,high,Mediterranean_forests_woodlands_and_scrub,specialization
log(high.age + 1),0.0699129243157719,0.22521714982646374,0.3104245141617404,0.7577378421138268,-0.020967816079068637,1e-6,NA,0.20000252235927743,MAMMALIA,high,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),1.7135897473414894,0.42664089338702027,4.016468589631971,6.887509543052062e-5,-0.0020278479731495732,0.5099438603837672,0.30860788494778985,0.6830192282739814,MAMMALIA,low,Deserts_and_xeric_shrublands,specialization
log(low.age + 1),0.014288386836632777,0.0598814951051217,0.23861105691415313,0.8115123094432073,-0.0020278479731495732,0.5099438603837672,0.30860788494778985,0.6830192282739814,MAMMALIA,low,Deserts_and_xeric_shrublands,specialization
(Intercept),1.7017827705183386,0.42816258069139557,3.974618164367155,8.170089545700421e-5,-0.0018480021936232891,0.5111444859703808,0.31030610851651913,0.6837256269735209,MAMMALIA,int,Deserts_and_xeric_shrublands,specialization
log(int.age + 1),0.026190463619549798,0.06989232684989405,0.3747258790768031,0.7080351809441587,-0.0018480021936232891,0.5111444859703808,0.31030610851651913,0.6837256269735209,MAMMALIA,int,Deserts_and_xeric_shrublands,specialization
(Intercept),1.6805186082103614,0.43049107026881384,3.903724663001688,1.0873670192079743e-4,-0.0014082850693043515,0.5125416314439425,0.3123783347795661,0.6845299238724066,MAMMALIA,high,Deserts_and_xeric_shrublands,specialization
log(high.age + 1),0.05402549166715112,0.09202418672784315,0.5870792624000988,0.557435403758276,-0.0014082850693043515,0.5125416314439425,0.3123783347795661,0.6845299238724066,MAMMALIA,high,Deserts_and_xeric_shrublands,specialization
(Intercept),1.6862856910854456,0.32950364713057906,5.1176541011613965,4.496416772248324e-7,1.452293762868389e-4,0.3169679954508913,0.14459263198640776,0.541565090387608,MAMMALIA,low,mangroves,specialization
log(low.age + 1),0.061857560477144954,0.059819965444546,1.034062123196775,0.30163218887091836,1.452293762868389e-4,0.3169679954508913,0.14459263198640776,0.541565090387608,MAMMALIA,low,mangroves,specialization
(Intercept),1.6868918834275684,0.3290693586098113,5.12625025482173,4.3062580123987004e-7,-9.410473809136479e-5,0.3146303935296068,0.14337061437724904,0.539359926497814,MAMMALIA,int,mangroves,specialization
log(int.age + 1),0.06888472317592216,0.0704846905385293,0.9773004981594898,0.32891682541943545,-9.410473809136479e-5,0.3146303935296068,0.14337061437724904,0.539359926497814,MAMMALIA,int,mangroves,specialization
(Intercept),1.6897186226997385,0.3283819523958807,5.145589184702511,3.9064749035588875e-7,-5.213675148948383e-4,0.3102150715352208,0.14111989641487552,0.5347507848370527,MAMMALIA,high,mangroves,specialization
log(high.age + 1),0.08151584305718668,0.09403632614179898,0.8668548251690261,0.38645831175377765,-5.213675148948383e-4,0.3102150715352208,0.14111989641487552,0.5347507848370527,MAMMALIA,high,mangroves,specialization
(Intercept),1.5761605512775976,0.47584732743027197,3.3123240594611922,9.749623742689728e-4,-7.810775184756303e-4,0.5898916408766602,0.4050395904998222,0.7301526300362813,MAMMALIA,low,Tropical_&_subtropical_dry_broadleaf_forests,specialization
log(low.age + 1),-0.033662582295814925,0.04877579851272276,-0.6901492814522415,0.4903393016622666,-7.810775184756303e-4,0.5898916408766602,0.4050395904998222,0.7301526300362813,MAMMALIA,low,Tropical_&_subtropical_dry_broadleaf_forests,specialization
(Intercept),1.5738855998346675,0.4764232660753461,3.3035447928476236,0.00100549808821504,-8.797580784927306e-4,0.5902214764527017,0.4055692132034884,0.7303538848970238,MAMMALIA,int,Tropical_&_subtropical_dry_broadleaf_forests,specialization
log(int.age + 1),-0.036167824987502095,0.056470797910481374,-0.6404695227582236,0.522086372383276,-8.797580784927306e-4,0.5902214764527017,0.4055692132034884,0.7303538848970238,MAMMALIA,int,Tropical_&_subtropical_dry_broadleaf_forests,specialization
(Intercept),1.5810922355479997,0.4768573815115792,3.3156501227602515,9.636202914498071e-4,-7.5425435943518e-4,0.5900622483406616,0.40557339792991476,0.7301774633889223,MAMMALIA,high,Tropical_&_subtropical_dry_broadleaf_forests,specialization
log(high.age + 1),-0.05170024526867069,0.0735372701511092,-0.7030481980420764,0.4822699253234306,-7.5425435943518e-4,0.5900622483406616,0.40557339792991476,0.7301774633889223,MAMMALIA,high,Tropical_&_subtropical_dry_broadleaf_forests,specialization
(Intercept),1.1865590599940277,0.27708744599451535,4.282254851840218,2.536627033400407e-5,-0.001372729006558974,0.37914305084410976,0.18156629599266594,0.5959328234829797,MAMMALIA,low,Tropical_&_subtropical_coniferous_forests,specialization
log(low.age + 1),-0.04313450357289332,0.0551973427968011,-0.7814597838828056,0.43518537884003594,-0.001372729006558974,0.37914305084410976,0.18156629599266594,0.5959328234829797,MAMMALIA,low,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),1.1927925987199064,0.27839708088618886,4.284501097939064,2.5126869178215827e-5,-0.0011246567321137532,0.3798539103625566,0.18227039946302312,0.5965288473168657,MAMMALIA,int,Tropical_&_subtropical_coniferous_forests,specialization
log(int.age + 1),-0.05355609299939381,0.06490068267555942,-0.8252007651001521,0.4099526599366423,-0.0011246567321137532,0.3798539103625566,0.18227039946302312,0.5965288473168657,MAMMALIA,int,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),1.2115589061440608,0.2809731364870461,4.3120097575588625,2.236484321072041e-5,-2.134238444633056e-4,0.38079099162609076,0.1830562755505603,0.5975725794337443,MAMMALIA,high,Tropical_&_subtropical_coniferous_forests,specialization
log(high.age + 1),-0.08384344310267669,0.08650549527275571,-0.9692267854003327,0.3332596533496994,-2.134238444633056e-4,0.38079099162609076,0.1830562755505603,0.5975725794337443,MAMMALIA,high,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),1.8187492048777845,0.31601047628657547,5.7553446526514644,2.441533397679052e-7,0.028127473312688247,0.3886131309932286,0.07786151439496118,0.7161085504984095,MAMMALIA,low,Temperate_broadleaf_&_mixed_forests,specialization
log(low.age + 1),-0.19411426878728139,0.11322741552599883,-1.7143751615765674,0.09115260767716094,0.028127473312688247,0.3886131309932286,0.07786151439496118,0.7161085504984095,MAMMALIA,low,Temperate_broadleaf_&_mixed_forests,specialization
(Intercept),1.7883231578518197,0.3137135878806247,5.700496334676833,3.029421988820502e-7,0.01910757300697238,0.3800591708684072,0.06640896513637323,0.7159154269351428,MAMMALIA,int,Temperate_broadleaf_&_mixed_forests,specialization
log(int.age + 1),-0.1992072457208847,0.13120668231755817,-1.5182705804476138,0.1337221112300242,0.01910757300697238,0.3800591708684072,0.06640896513637323,0.7159154269351428,MAMMALIA,int,Temperate_broadleaf_&_mixed_forests,specialization
