term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
(Intercept),1.7573156946588502,0.31491960678562736,5.58020414351366,4.852164330326758e-7,0.008781473404234854,0.3718455681081137,0.054070413831280355,0.7163531966302426,MAMMALIA,high,Temperate_broadleaf_&_mixed_forests,specialization
log(high.age + 1),-0.2110423862748601,0.16717986101976812,-1.2623672790941338,0.21125906376506443,0.008781473404234854,0.3718455681081137,0.054070413831280355,0.7163531966302426,MAMMALIA,high,Temperate_broadleaf_&_mixed_forests,specialization
(Intercept),1.9256557296170638,0.5855447251462836,3.2886569495370095,0.0010705431672217713,-0.0011004121743143646,0.6252920719322091,0.4509465140295809,0.757466725645395,MAMMALIA,low,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(low.age + 1),-0.03761936793575567,0.060243636078010775,-0.6244538076526713,0.5325866695421444,-0.0011004121743143646,0.6252920719322091,0.4509465140295809,0.757466725645395,MAMMALIA,low,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),1.9312612978487933,0.5854272114106699,3.298892262276544,0.0010329938258788474,-9.805896659002523e-4,0.6249325795802386,0.45054176963732406,0.7572105212448407,MAMMALIA,int,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(int.age + 1),-0.04749377494561637,0.07030863381919386,-0.6755041645063347,0.49963735798027487,-9.805896659002523e-4,0.6249325795802386,0.45054176963732406,0.7572105212448407,MAMMALIA,int,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),1.9366723892377846,0.5863169560764059,3.303115096990999,0.0010178610380400244,-9.4049850174521e-4,0.6249698293911721,0.45077262434251214,0.7571745273969696,MAMMALIA,high,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(high.age + 1),-0.06389906306474272,0.09237347080516936,-0.6917469107501245,0.48938607439746296,-9.4049850174521e-4,0.6249698293911721,0.45077262434251214,0.7571745273969696,MAMMALIA,high,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),1.7944434465846646,0.1443974714254104,12.427111284366207,0,0.0057430925191290704,1e-6,NA,0.6645613732659561,MAMMALIA,low,Temperate_grasslands_savannas_and_ shrublands,specialization
log(low.age + 1),0.1886942302586636,0.13963925196518948,1.351297916618051,0.178748966977347,0.0057430925191290704,1e-6,NA,0.6645613732659561,MAMMALIA,low,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),1.7838610278639608,0.15336483007992233,11.631487003469735,0,0.005199179286848543,1e-6,NA,0.6715258610796552,MAMMALIA,int,Temperate_grasslands_savannas_and_ shrublands,specialization
log(int.age + 1),0.21189122358018242,0.16029528113704083,1.3218806073213771,0.18833345181946148,0.005199179286848543,1e-6,NA,0.6715258610796552,MAMMALIA,int,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),1.7382778603185702,0.17185401919087803,10.114851363399696,0,0.007375018186525803,1e-6,NA,0.6762552866192728,MAMMALIA,high,Temperate_grasslands_savannas_and_ shrublands,specialization
log(high.age + 1),0.30064650093996903,0.2093452158391726,1.4361278796594892,0.15316531792103305,0.007375018186525803,1e-6,NA,0.6762552866192728,MAMMALIA,high,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),1.9196119215266099,0.270652045584463,7.092545402275751,8.627321079757166e-12,-0.002273260110293783,0.21651027175079213,0.05320566750121364,0.45784515704132994,MAMMALIA,low,Flooded_grasslands_and_savannas,specialization
log(low.age + 1),0.038152079247914,0.07226305407329527,0.5279610685872335,0.5978957255946249,-0.002273260110293783,0.21651027175079213,0.05320566750121364,0.45784515704132994,MAMMALIA,low,Flooded_grasslands_and_savannas,specialization
(Intercept),1.9051946174121175,0.2730603247546888,6.977193113366804,1.7644330441157763e-11,-0.0018200523295793672,0.21724689693687335,0.0539142377160442,0.4583171518791042,MAMMALIA,int,Flooded_grasslands_and_savannas,specialization
log(int.age + 1),0.05527352189745485,0.08505885454188725,0.649826783997372,0.5162747239963092,-0.0018200523295793672,0.21724689693687335,0.0539142377160442,0.4583171518791042,MAMMALIA,int,Flooded_grasslands_and_savannas,specialization
(Intercept),1.8991110969121003,0.27658009671285516,6.866405498743292,3.480904453567746e-11,-0.001865458602979034,0.2165623176519505,0.05360087139367077,0.4573592003352277,MAMMALIA,high,Flooded_grasslands_and_savannas,specialization
log(high.age + 1),0.07274729316587236,0.11390583945235588,0.6386616657726387,0.5235042079308749,-0.001865458602979034,0.2165623176519505,0.05360087139367077,0.4573592003352277,MAMMALIA,high,Flooded_grasslands_and_savannas,specialization
(Intercept),2.2859437909810767,0.2520141342671059,9.070696759247003,0,0.0022507420345255717,0.3806773009671313,0.22466640567244714,0.524280573812295,REPTILIA,low,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(low.age + 1),-0.06388250023657088,0.03145620081657862,-2.0308396620771303,0.04246209144929325,0.0022507420345255717,0.3806773009671313,0.22466640567244714,0.524280573812295,REPTILIA,low,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),2.2951340708067596,0.25261521527064584,9.085494190632216,0,0.0024671795208851765,0.3808537626774105,0.22497585126907702,0.5243373882501935,REPTILIA,int,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(int.age + 1),-0.07317798865382487,0.03478560361395781,-2.1036860382224907,0.03558590236048964,0.0024671795208851765,0.3808537626774105,0.22497585126907702,0.5243373882501935,REPTILIA,int,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),2.305430391175763,0.253376693977457,9.098825764065253,0,0.002668513663811091,0.3809903848720635,0.22524907787244852,0.5243685679862553,REPTILIA,high,Tropical_&_subtropical_moist_broadleaf_forests,specialization
log(high.age + 1),-0.08542094677716655,0.039377537588997605,-2.1692810675148424,0.030231108531703743,0.002668513663811091,0.3809903848720635,0.22524907787244852,0.5243685679862553,REPTILIA,high,Tropical_&_subtropical_moist_broadleaf_forests,specialization
(Intercept),2.9915108494389697,0.20119975636884543,14.86836218605972,0,0.026009474121116868,0.12934438367507947,0.033755730627918,0.37065156624482376,REPTILIA,low,Montane_grasslands_and_shrublands,specialization
log(low.age + 1),-0.23202120014540029,0.08006913864495126,-2.8977606612486064,0.004059783078824264,0.026009474121116868,0.12934438367507947,0.033755730627918,0.37065156624482376,REPTILIA,low,Montane_grasslands_and_shrublands,specialization
(Intercept),2.9834440979249774,0.2022388865954742,14.752079326329431,0,0.023815703308603497,0.12729338723821532,0.03307541360628973,0.36835451322188156,REPTILIA,int,Montane_grasslands_and_shrublands,specialization
log(int.age + 1),-0.2378887948885704,0.08540869200392018,-2.785299590791667,0.005718140738192989,0.023815703308603497,0.12729338723821532,0.03307541360628973,0.36835451322188156,REPTILIA,int,Montane_grasslands_and_shrublands,specialization
(Intercept),2.9713464679651596,0.20414884225832514,14.554804402002377,0,0.02088761491348018,0.12569934283778852,0.03243581639967142,0.36739432711695846,REPTILIA,high,Montane_grasslands_and_shrublands,specialization
log(high.age + 1),-0.24530473598714497,0.09332304300684234,-2.6285548357993376,0.009055193016075158,0.02088761491348018,0.12569934283778852,0.03243581639967142,0.36739432711695846,REPTILIA,high,Montane_grasslands_and_shrublands,specialization
(Intercept),1.951551311734531,0.2984821841322822,6.5382505740095915,6.232491212010416e-7,-0.016235430785697773,1e-6,NA,0.8335970592837905,REPTILIA,low,Mediterranean_forests_woodlands_and_scrub,specialization
log(low.age + 1),-0.16011195349827645,0.21232568874579572,-0.7540865848313272,0.4575728939584547,-0.016235430785697773,1e-6,NA,0.8335970592837905,REPTILIA,low,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),1.9438888052374539,0.30683234459712616,6.335345146841669,1.0425075387399119e-6,-0.019282967881677545,1e-6,NA,0.8346595881541116,REPTILIA,int,Mediterranean_forests_woodlands_and_scrub,specialization
log(int.age + 1),-0.15725456339612354,0.2248308224855719,-0.6994350759278793,0.4904908868616493,-0.019282967881677545,1e-6,NA,0.8346595881541116,REPTILIA,int,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),1.9301884433620966,0.31880402613173975,6.054466961356638,2.1396984202226577e-6,-0.02342484718036979,1e-6,NA,0.8367528227768547,REPTILIA,high,Mediterranean_forests_woodlands_and_scrub,specialization
log(high.age + 1),-0.15101627449949628,0.244336818681745,-0.618065976770365,0.5419085579604461,-0.02342484718036979,1e-6,NA,0.8367528227768547,REPTILIA,high,Mediterranean_forests_woodlands_and_scrub,specialization
(Intercept),2.087656109147413,0.27180461379390475,7.680723590403707,8.348877145181177e-14,-0.0015476718858037804,0.39916626481984435,0.19264715855053627,0.5974124772949242,REPTILIA,low,Deserts_and_xeric_shrublands,specialization
log(low.age + 1),0.027358960137228466,0.05797170431266921,0.47193644660968515,0.6371772182648048,-0.0015476718858037804,0.39916626481984435,0.19264715855053627,0.5974124772949242,REPTILIA,low,Deserts_and_xeric_shrublands,specialization
(Intercept),2.0926762296692054,0.2740702194613258,7.635547684758592,1.1435297153639112e-13,-0.0016583281895444738,0.3992553384668142,0.19256138665892863,0.5976023343645633,REPTILIA,int,Deserts_and_xeric_shrublands,specialization
log(int.age + 1),0.02654869319826636,0.06491881643323572,0.4089522061076046,0.6827491448714404,-0.0016583281895444738,0.3992553384668142,0.19256138665892863,0.5976023343645633,REPTILIA,int,Deserts_and_xeric_shrublands,specialization
(Intercept),2.088379430467752,0.2766682853002491,7.548315225944227,2.091660178393795e-13,-0.0016338071571904112,0.39912605850624217,0.1922251776959518,0.5976027942578774,REPTILIA,high,Deserts_and_xeric_shrublands,specialization
log(high.age + 1),0.031380120381898524,0.07405927578788644,0.42371627386385047,0.6719542346403409,-0.0016338071571904112,0.39912605850624217,0.1922251776959518,0.5976027942578774,REPTILIA,high,Deserts_and_xeric_shrublands,specialization
(Intercept),2.066447029907977,0.1375458362268733,15.023697456748172,0,-6.820152750870036e-4,0.05949047357653415,NA,0.3204434719716219,REPTILIA,low,mangroves,specialization
log(low.age + 1),0.03714765561882993,0.049896753380877165,0.744490434783813,0.4568476574284621,-6.820152750870036e-4,0.05949047357653415,NA,0.3204434719716219,REPTILIA,low,mangroves,specialization
(Intercept),2.0687332082349714,0.1419205910507559,14.576695269646375,0,-8.101613374453876e-4,0.06111070635944294,NA,0.32146383488703534,REPTILIA,int,mangroves,specialization
log(int.age + 1),0.03837991563489562,0.05594814799171116,0.685990814934244,0.4929623812537782,-8.101613374453876e-4,0.06111070635944294,NA,0.32146383488703534,REPTILIA,int,mangroves,specialization
(Intercept),2.072024101670444,0.14668177309766234,14.125982103385589,0,-9.38585149740042e-4,0.06292474806465664,NA,0.3223145429028082,REPTILIA,high,mangroves,specialization
log(high.age + 1),0.03973802948734706,0.06389932513810852,0.6218849635963987,0.5342345712790788,-9.38585149740042e-4,0.06292474806465664,NA,0.3223145429028082,REPTILIA,high,mangroves,specialization
(Intercept),2.2477127884571173,0.11674482618681992,19.253211143252155,0,2.8785417000622983e-5,0.07333187769785551,0.010894339737453008,0.2220925752930664,REPTILIA,low,Tropical_&_subtropical_dry_broadleaf_forests,specialization
log(low.age + 1),-0.03804106546172692,0.037536076441262646,-1.0134534311612056,0.31110441409836853,2.8785417000622983e-5,0.07333187769785551,0.010894339737453008,0.2220925752930664,REPTILIA,low,Tropical_&_subtropical_dry_broadleaf_forests,specialization
(Intercept),2.245409741545612,0.12174612966928301,18.443376784503542,0,-2.3842080579070652e-4,0.07289125003510118,0.01035731542160895,0.22195081632562155,REPTILIA,high,Tropical_&_subtropical_dry_broadleaf_forests,specialization
log(high.age + 1),-0.04250317258739078,0.04825858601791737,-0.8807380425860442,0.37868474538780306,-2.3842080579070652e-4,0.07289125003510118,0.01035731542160895,0.22195081632562155,REPTILIA,high,Tropical_&_subtropical_dry_broadleaf_forests,specialization
(Intercept),1.8934653497186422,0.13395930798408456,14.134630718931462,0,-0.0012140194528107468,0.08618623616072835,0.006969491050817271,0.32739818410877725,REPTILIA,low,Tropical_&_subtropical_coniferous_forests,specialization
log(low.age + 1),-0.03179275904894918,0.04710342232851897,-0.6749564570322127,0.5000516111780733,-0.0012140194528107468,0.08618623616072835,0.006969491050817271,0.32739818410877725,REPTILIA,low,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),1.898940543508551,0.13750584453819803,13.809889680587652,0,-0.0011423566373819274,0.08691805564734124,0.007082185928942182,0.32881258518645323,REPTILIA,int,Tropical_&_subtropical_coniferous_forests,specialization
log(int.age + 1),-0.03688850959763257,0.052823766416817526,-0.6983316809815431,0.485332109270616,-0.0011423566373819274,0.08691805564734124,0.007082185928942182,0.32881258518645323,REPTILIA,int,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),1.9076939908353994,0.14219536720744513,13.416006641428156,0,-0.0010027005483253307,0.0878588409486668,0.0072973654050302724,0.33046636762910486,REPTILIA,high,Tropical_&_subtropical_coniferous_forests,specialization
log(high.age + 1),-0.04526941144346708,0.06102803526867671,-0.7417805807473223,0.45860897600392203,-0.0010027005483253307,0.0878588409486668,0.0072973654050302724,0.33046636762910486,REPTILIA,high,Tropical_&_subtropical_coniferous_forests,specialization
(Intercept),2.169769622023475,0.2885920901582077,7.51846532188043,5.842443417947152e-9,-0.027004833286608736,1e-6,NA,0.846794300814957,REPTILIA,low,Temperate_broadleaf_&_mixed_forests,specialization
log(low.age + 1),0.005303341267367756,0.1875511387047686,0.028276774558622902,0.9775933758255155,-0.027004833286608736,1e-6,NA,0.846794300814957,REPTILIA,low,Temperate_broadleaf_&_mixed_forests,specialization
(Intercept),2.177796488028523,0.30113188940703894,7.232035412512566,1.3940551824020986e-8,-0.027026834601309738,1e-6,NA,0.8441381458235562,REPTILIA,int,Temperate_broadleaf_&_mixed_forests,specialization
log(int.age + 1),-5.347960687069886e-4,0.20311719132914868,-0.002632943401823427,0.997913362517282,-0.027026834601309738,1e-6,NA,0.8441381458235562,REPTILIA,int,Temperate_broadleaf_&_mixed_forests,specialization
(Intercept),2.189281075079931,0.31953123438981984,6.851540129592041,4.4738270421618154e-8,-0.02697877158196499,1e-6,NA,0.8399407418446488,REPTILIA,high,Temperate_broadleaf_&_mixed_forests,specialization
log(high.age + 1),-0.009488170568701548,0.22755647197476864,-0.04169589415041376,0.9669653230902335,-0.02697877158196499,1e-6,NA,0.8399407418446488,REPTILIA,high,Temperate_broadleaf_&_mixed_forests,specialization
(Intercept),2.489413758804555,0.2333434211432611,10.668454874826663,0,0.0023236481598676822,0.2634476994931066,0.09000169285809499,0.47821442815957804,REPTILIA,low,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(low.age + 1),-0.08850844661176233,0.05821839652087748,-1.5202831390250098,0.12900221313498061,0.0023236481598676822,0.2634476994931066,0.09000169285809499,0.47821442815957804,REPTILIA,low,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),2.4842372914255644,0.23573845627529563,10.538107912798365,0,0.0018793944598495247,0.2652528751044609,0.0909355257575333,0.47988994134233054,REPTILIA,int,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(int.age + 1),-0.09221713695672357,0.06424929831192384,-1.4353018535551734,0.15175739010824651,0.0018793944598495247,0.2652528751044609,0.0909355257575333,0.47988994134233054,REPTILIA,int,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),2.4823721566703982,0.2381680324100503,10.42277643876461,0,0.0015961699652820786,0.2667077023953615,0.09169525523311076,0.481167239017382,REPTILIA,high,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
log(high.age + 1),-0.09936185737789688,0.07208314311970246,-1.3784340287838854,0.1686177914563578,0.0015961699652820786,0.2667077023953615,0.09169525523311076,0.481167239017382,REPTILIA,high,Tropical_&_subtropical_grasslands_savannas_and_shrublands,specialization
(Intercept),2.7691213750850894,0.15663125941338465,17.679238393766365,0,0.0585668635380611,0.013296313569224913,NA,0.22671104760171337,REPTILIA,low,Temperate_grasslands_savannas_and_ shrublands,specialization
log(low.age + 1),-0.34698393746309186,0.10144091739766059,-3.4205520451167954,7.816064051924254e-4,0.0585668635380611,0.013296313569224913,NA,0.22671104760171337,REPTILIA,low,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),2.790131392323829,0.15985904435608156,17.45369743427772,0,0.05963344290561841,0.012763170421736596,NA,0.2227364824408832,REPTILIA,int,Temperate_grasslands_savannas_and_ shrublands,specialization
log(int.age + 1),-0.37371415213949577,0.10830066212975067,-3.450709762898438,7.04365419672115e-4,0.05963344290561841,0.012763170421736596,NA,0.2227364824408832,REPTILIA,int,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),2.815932296718789,0.16536128222097002,17.02896989487477,0,0.059865687084587185,0.012447469037114623,NA,0.22108454643697847,REPTILIA,high,Temperate_grasslands_savannas_and_ shrublands,specialization
log(high.age + 1),-0.4122050699838242,0.11922915409700909,-3.4572506456637235,6.885851506561735e-4,0.059865687084587185,0.012447469037114623,NA,0.22108454643697847,REPTILIA,high,Temperate_grasslands_savannas_and_ shrublands,specialization
(Intercept),1.8976075280221139,0.1504289260534157,12.614645186978825,0,-1.357697603317482e-4,0.08694761811372484,NA,0.2954459347693756,REPTILIA,low,Flooded_grasslands_and_savannas,specialization
