term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
(Intercept),1.138149659921553,0.3968102345890862,2.8682467353700067,0.004217002299006012,8.738997649013838e-4,0.8194635649059683,0.7391539038403547,0.8749083557895013,MAMMALIA,low,Tropical_&_subtropical_moist_broadleaf_forests,marginality
log(low.age + 1),-0.029869220438387217,0.0219644501332564,-1.3598892873335444,0.1741809469001716,8.738997649013838e-4,0.8194635649059683,0.7391539038403547,0.8749083557895013,MAMMALIA,low,Tropical_&_subtropical_moist_broadleaf_forests,marginality
(Intercept),1.1328126616235006,0.39763210201679744,2.848896394123748,0.004479890754812921,4.545446438797372e-4,0.8201607162215283,0.7402803540886406,0.8753347415399221,MAMMALIA,int,Tropical_&_subtropical_moist_broadleaf_forests,marginality
log(int.age + 1),-0.030141655704618388,0.02510442086221424,-1.2006513063994202,0.23017960718418218,4.545446438797372e-4,0.8201607162215283,0.7402803540886406,0.8753347415399221,MAMMALIA,int,Tropical_&_subtropical_moist_broadleaf_forests,marginality
(Intercept),1.1322110898732167,0.3980097959447912,2.844681466157351,0.004539090300911264,3.323501143219032e-4,0.820418705299875,0.7408227579532765,0.8754592034884754,MAMMALIA,high,Tropical_&_subtropical_moist_broadleaf_forests,marginality
log(high.age + 1),-0.03702870126252582,0.03219498498086876,-1.1501387959810947,0.25037017991349453,3.323501143219032e-4,0.820418705299875,0.7408227579532765,0.8754592034884754,MAMMALIA,high,Tropical_&_subtropical_moist_broadleaf_forests,marginality
(Intercept),1.6611812646678223,0.42339469324868545,3.923481543714365,1.0107639016387893e-4,-5.725711044175293e-4,0.7551796772777649,0.6013671457887823,0.8520738064633899,MAMMALIA,low,Montane_grasslands_and_shrublands,marginality
log(low.age + 1),-0.03422111738060467,0.03965339282208505,-0.8630060366876132,0.3885990153185226,-5.725711044175293e-4,0.7551796772777649,0.6013671457887823,0.8520738064633899,MAMMALIA,low,Montane_grasslands_and_shrublands,marginality
(Intercept),1.6684295488536836,0.424273064763616,3.932442776642562,9.750271983133274e-5,-1.564321672026081e-4,0.756055182168551,0.602975926226574,0.852487163882298,MAMMALIA,int,Montane_grasslands_and_shrublands,marginality
log(int.age + 1),-0.04452494977435376,0.046164212091050004,-0.9644906250438519,0.3353238386324906,-1.564321672026081e-4,0.756055182168551,0.602975926226574,0.852487163882298,MAMMALIA,int,Montane_grasslands_and_shrublands,marginality
(Intercept),1.6777774904615466,0.4251775011824366,3.946063669398255,9.229921861697576e-5,3.1710725425108244e-4,0.7567080962170192,0.6043628697027278,0.8527135078993044,MAMMALIA,high,Montane_grasslands_and_shrublands,marginality
log(high.age + 1),-0.06458149876967532,0.060447031092160236,-1.0683981926459134,0.28592015270906224,3.1710725425108244e-4,0.7567080962170192,0.6043628697027278,0.8527135078993044,MAMMALIA,high,Montane_grasslands_and_shrublands,marginality
