biome,species,marginality,specialization,w.marginality,w.specialization,orderName,className,familyName,genusName,redlistCategory,BSI,Estimated.age,low.age,int.age,high.age
Tropical_&_subtropical_moist_broadleaf_forests,Abrawayaomys_ruschii,2.9191638752115,7.36373469544893,2.925071792518793,8.370293699341776,RODENTIA,MAMMALIA,CRICETIDAE,Abrawayaomys,Least_Concern,2,1.24491385648015,1.215937301409816,1.1939365575276553,1.1266524809053446
Tropical_&_subtropical_moist_broadleaf_forests,Abrocoma_cinerea,5.93726721479214,12.6496269145822,1.7310429637439144,6.117948903185094,RODENTIA,MAMMALIA,ABROCOMIDAE,Abrocoma,Least_Concern,5,6.35416439770012,5.645472040146576,4.550621641633033,2.8195365220798223
Tropical_&_subtropical_moist_broadleaf_forests,Abrothrix_andinus,4.21948389375088,12.5835823148199,1.076389052849208,2.748409809379638,RODENTIA,MAMMALIA,CRICETIDAE,Abrothrix,Least_Concern,6,1.88884861428003,1.8226793248479212,1.760769843558109,1.580906635694613
Tropical_&_subtropical_moist_broadleaf_forests,Abrothrix_jelskii,6.33203014364179,8.81672583323556,2.1879532486925894,5.196578847514242,RODENTIA,MAMMALIA,CRICETIDAE,Abrothrix,Least_Concern,4,2.87520449107999,2.723758769262742,2.549139335680225,2.0988142826752045
Tropical_&_subtropical_moist_broadleaf_forests,Aegialomys_xanthaeolus,3.19998877451129,3.30183585874678,2.578359506060575,6.235039185853279,RODENTIA,MAMMALIA,CRICETIDAE,Aegialomys,Least_Concern,6,0.41206599838014,0.40885782718181257,0.4073009451836195,0.40272863337897463
Tropical_&_subtropical_moist_broadleaf_forests,Aepeomys_lugens,3.51499524391803,22.091315356864,3.504745461287349,22.826583931175527,RODENTIA,MAMMALIA,CRICETIDAE,Aepeomys,Least_Concern,2,4.90329378038007,4.473742721674046,3.855708073996335,2.658290039396717
Tropical_&_subtropical_moist_broadleaf_forests,Aepeomys_reigi,2.29190622639689,7.1954930498467,2.348128615596062,6.734857497632017,RODENTIA,MAMMALIA,CRICETIDAE,Aepeomys,Vulnerable,2,4.90329378038007,4.473742721674046,3.855708073996335,2.658290039396717
Tropical_&_subtropical_moist_broadleaf_forests,Akodon_aerosus,2.01690550597611,2.2955188223793,2.145931982744209,2.93393551186495,RODENTIA,MAMMALIA,CRICETIDAE,Akodon,Least_Concern,2,1.91684567248014,1.8487241484114003,1.7845100580968025,1.5984905535408878
Tropical_&_subtropical_moist_broadleaf_forests,Akodon_affinis,3.59712127873817,6.84312083547806,4.223622051464718,6.92641159837677,RODENTIA,MAMMALIA,CRICETIDAE,Akodon,Least_Concern,2,1.37996761408011,1.3444233575326097,1.3160344303734015,1.2298782688535972
Tropical_&_subtropical_moist_broadleaf_forests,Akodon_albiventer,6.4271032242888,26.2424885774862,1.5816221111415956,6.115842665941624,RODENTIA,MAMMALIA,CRICETIDAE,Akodon,Least_Concern,4,1.36396915698011,1.3292373035667582,1.301657058361644,1.2178698473282323
