biome,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class
Marginality (th = 3),-0.009795420420429237,-0.01035528264279363,-0.02323691379290086,0.0034272909415764934,0.3700727342102651,0.28884347909687835,0.0174729779778314,0.8847174789648307,0.08247422680412371,3.791044446608833e-4,8.969773341665555e-5,-6.982561237530217e-4,0.0033218309898248584,0.7513355159846128,0.7513267618445715,0.678622657057209,0.8092936575029638,Amphibians
Specialization (th = 3),-0.05389308956884406,-0.05395850626797598,-0.09692571656161642,-0.012529686889237893,0.18673889147940365,0.07801016782852255,0.00226282898743068,0.692385464678769,0.422680412371134,0.0018589065767188335,0.00150196785685756,-5.98341600470086e-4,0.00592161286546272,0.44347071428739593,0.4433652492115456,0.31537120818603837,0.567310046397167,Amphibians
Marginality (th = 3),-0.0029480138636897306,-0.002586228517984525,-0.02087443842381341,0.020993884773305986,0.5204682203385476,0.4996672327612217,0.029988812641894798,0.9923703386707086,0.07,4.03878773982862e-5,-3.0686087645211943e-4,-5.645989000036163e-4,0.0021017432967948145,0.6277578949643446,0.6279183012259048,0.5418468771602465,0.7017388297437298,Reptiles
Specialization (th = 3),-0.06922429017267043,-0.07207790779528322,-0.12432086403573381,-0.019618721338253396,0.11561460351700734,0.041614766112269996,4.159779627965432e-4,0.5734136397675436,0.51,0.0019685602338766406,0.00179175606074534,-3.8551531275892283e-4,0.006475730641546972,0.5373992266491936,0.5372032312150006,0.437443548994095,0.6267633867653849,Reptiles
