term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),1.06050111795055,0.12590274047751338,8.423177398111987,0,1.9051372789518552e-4,0.6505379420061865,0.5672146288304993,0.7213403648926207,reptiles,high,neo_marginality
log(high.age + 1),-0.01192110272789354,0.01030728840441803,-1.1565702113063776,0.2476039826178664,1.9051372789518552e-4,0.6505379420061865,0.5672146288304993,0.7213403648926207,reptiles,high,neo_marginality
(Intercept),2.4789327887131916,0.3628463458661776,6.831907822567556,1.1483258788302919e-11,0.00320508923432064,0.5457706066655719,0.4448548573686893,0.6354123739309447,reptiles,high,neo_specialization
log(high.age + 1),-0.09046510405589182,0.0349557721545807,-2.587987576296095,0.00973279234024415,0.00320508923432064,0.5457706066655719,0.4448548573686893,0.6354123739309447,reptiles,high,neo_specialization
(Intercept),1.0934209671527302,0.09842828244772792,11.10880876879479,0,0.00380129270240961,0.5774441155893969,0.4885594033206026,0.6566813656696993,reptiles,high,neo_marginality
log(high.age + 1),-0.02829052039543366,0.01015466242192966,-2.785963650976562,0.00539375838264155,0.00380129270240961,0.5774441155893969,0.4885594033206026,0.6566813656696993,reptiles,high,neo_marginality
(Intercept),2.4952331056681984,0.29470409062451347,8.466910318009155,0,0.00455421684133604,0.4960169136996443,0.3962334493392095,0.5886680930078879,reptiles,high,neo_specialization
log(high.age + 1),-0.10403919205571802,0.03447541189500357,-3.0177795227675333,0.00258265402115531,0.00455421684133604,0.4960169136996443,0.3962334493392095,0.5886680930078879,reptiles,high,neo_specialization
(Intercept),1.0420351814289104,0.09764617893735678,10.671540789091296,0,-2.7076134945642474e-4,0.602269549826591,0.516353051602407,0.6774942205822906,reptiles,high,neo_marginality
log(high.age + 1),-0.00767610132874675,0.0106413511548043,-0.721346492290237,0.4707915744788629,-2.7076134945642474e-4,0.602269549826591,0.516353051602407,0.6774942205822906,reptiles,high,neo_marginality
(Intercept),2.3913462836296575,0.28940262495710317,8.263042824798552,2.220446049250313e-16,9.932013550635755e-4,0.5139346930330871,0.4121169668076719,0.606560227257151,reptiles,high,neo_specialization
log(high.age + 1),-0.05994902498281154,0.03607394804489088,-1.6618370938553833,0.0967224204677608,9.932013550635755e-4,0.5139346930330871,0.4121169668076719,0.606560227257151,reptiles,high,neo_specialization
(Intercept),1.0386714683699676,0.10123831401668984,10.259667779520068,0,-5.306752446048995e-4,0.5858687242842497,0.495771637488192,0.665411477108526,reptiles,high,neo_marginality
log(high.age + 1),-0.00251212845012244,0.01024358778290192,-0.24523911966816597,0.8062997013262452,-5.306752446048995e-4,0.5858687242842497,0.495771637488192,0.665411477108526,reptiles,high,neo_marginality
(Intercept),2.467932795107381,0.3099240558753928,7.963024322641258,3.1086244689504387e-15,0.00306797264615704,0.5198813022505552,0.41860201915804574,0.6115842285763291,reptiles,high,neo_specialization
log(high.age + 1),-0.08815135620305366,0.03470101556638479,-2.5403105576093497,0.01116018030530785,0.00306797264615704,0.5198813022505552,0.41860201915804574,0.6115842285763291,reptiles,high,neo_specialization
(Intercept),1.0363060320775228,0.10327803255217231,10.034138010462376,0,-5.219405028645684e-4,0.637462311571886,0.5527828054924971,0.7099069577379586,reptiles,high,neo_marginality
log(high.age + 1),-0.00276466558027909,0.01005473158022307,-0.27496164947028434,0.7833777750851993,-5.219405028645684e-4,0.637462311571886,0.5527828054924971,0.7099069577379586,reptiles,high,neo_marginality
(Intercept),2.4156585764801575,0.30552634827510067,7.906547471660484,4.6629367034256575e-15,9.273694141781646e-4,0.5504458391479669,0.4540229957841749,0.6368315466769846,reptiles,high,neo_specialization
log(high.age + 1),-0.05527665150691337,0.0339893877326178,-1.6262914749084263,0.10406557145242123,9.273694141781646e-4,0.5504458391479669,0.4540229957841749,0.6368315466769846,reptiles,high,neo_specialization
(Intercept),1.0309616720937491,0.11508630719811086,8.958161028827176,0,-5.360476052568993e-4,0.6584597084922614,0.5771329512281885,0.7276699300785066,reptiles,high,neo_marginality
log(high.age + 1),0.00229195089579311,0.010185688965909,0.2250167763284504,0.8219921830459787,-5.360476052568993e-4,0.6584597084922614,0.5771329512281885,0.7276699300785066,reptiles,high,neo_marginality
(Intercept),2.395022933732268,0.32852494898188045,7.290231506479478,4.640732242933154e-13,5.797071889804229e-4,0.5488695781354435,0.4513838916789734,0.6356416650793508,reptiles,high,neo_specialization
log(high.age + 1),-0.04931363167466005,0.03462983859688057,-1.4240214125370538,0.15461643653895418,5.797071889804229e-4,0.5488695781354435,0.4513838916789734,0.6356416650793508,reptiles,high,neo_specialization
(Intercept),0.991979520683171,0.09666369374768168,10.26217271680622,0,0.00174386399228754,0.5906018275410925,0.5009666847858003,0.6696924984336813,reptiles,high,neo_marginality
log(high.age + 1),0.02100036457037089,0.0103770052059027,2.023740390765666,0.04314677109530152,0.00174386399228754,0.5906018275410925,0.5009666847858003,0.6696924984336813,reptiles,high,neo_marginality
(Intercept),2.5045971896461796,0.30901813469212625,8.105016853271415,8.881784197001252e-16,0.00371704486586633,0.5555105974010917,0.4572696010848428,0.6418093786444049,reptiles,high,neo_specialization
log(high.age + 1),-0.09657255980442946,0.03500481742023269,-2.758836266593717,0.00586042706206102,0.00371704486586633,0.5555105974010917,0.4572696010848428,0.6418093786444049,reptiles,high,neo_specialization
(Intercept),1.0683645551214729,0.1012408766418644,10.552699567199229,0,9.31911526688666e-4,0.6042632757142938,0.5177274577054184,0.6800064078505147,reptiles,high,neo_marginality
log(high.age + 1),-0.01631608513859372,0.01001743516753177,-1.6287687282945384,0.10353984096411706,9.31911526688666e-4,0.6042632757142938,0.5177274577054184,0.6800064078505147,reptiles,high,neo_marginality
(Intercept),2.4649819479558395,0.2920764936660069,8.43950814739161,0,0.00318388183922601,0.4979186090484385,0.3992750299434633,0.5890915044772618,reptiles,high,neo_specialization
log(high.age + 1),-0.0878742041867309,0.03405092307850028,-2.580670250381981,0.00994070149108816,0.00318388183922601,0.4979186090484385,0.3992750299434633,0.5890915044772618,reptiles,high,neo_specialization
(Intercept),1.002933157214502,0.10018844773047313,10.010467074134054,0,8.380568131006746e-4,0.6407619897976774,0.556605840248729,0.7124809729322057,reptiles,high,neo_marginality
log(high.age + 1),0.01664412119059023,0.01055566633219036,1.5767949333366684,0.11502131437462682,8.380568131006746e-4,0.6407619897976774,0.556605840248729,0.7124809729322057,reptiles,high,neo_marginality
(Intercept),2.328801776925692,0.27611348677796066,8.43421958159697,0,-4.538609070072998e-4,0.504822061657195,0.4068241596581238,0.5947826408306925,reptiles,high,neo_specialization
log(high.age + 1),-0.01587993465073111,0.03585783723755503,-0.4428581273747196,0.6579224411605828,-4.538609070072998e-4,0.504822061657195,0.4068241596581238,0.5947826408306925,reptiles,high,neo_specialization
(Intercept),1.0473725680015162,0.10521749274283083,9.954357784987998,0,-1.200418781640793e-4,0.6400914575152606,0.556091779251007,0.7123025589604726,reptiles,high,neo_marginality
log(high.age + 1),-0.0091191108538298,0.01027730502309695,-0.8873056538981516,0.3750348428049573,-1.200418781640793e-4,0.6400914575152606,0.556091779251007,0.7123025589604726,reptiles,high,neo_marginality
(Intercept),2.485638786806608,0.3075209391918421,8.08282776886286,1.1102230246251563e-15,0.00348113833495536,0.5429009294983266,0.4418704617195696,0.6329228443567709,reptiles,high,neo_specialization
log(high.age + 1),-0.09374539434280107,0.03496082684296926,-2.681440995771345,0.00739864435254666,0.00348113833495536,0.5429009294983266,0.4418704617195696,0.6329228443567709,reptiles,high,neo_specialization
(Intercept),1.0061203004972532,0.11342352745466174,8.870472670667247,0,5.982143055593956e-4,0.64072648455362,0.5576449459223993,0.7123059389077772,reptiles,high,neo_marginality
log(high.age + 1),0.0150444880421924,0.01048028666711129,1.4355034857399704,0.15132026221686967,5.982143055593956e-4,0.64072648455362,0.5576449459223993,0.7123059389077772,reptiles,high,neo_marginality
(Intercept),2.5000213283535695,0.32304425248582475,7.738943841643711,1.6875389974302383e-14,0.00486112091480686,0.5283664299710813,0.4279042690564685,0.6185637897266861,reptiles,high,neo_specialization
log(high.age + 1),-0.11061163331687804,0.03559610961712247,-3.1074079304349467,0.00191733503956381,0.00486112091480686,0.5283664299710813,0.4279042690564685,0.6185637897266861,reptiles,high,neo_specialization
(Intercept),1.0482206991038752,0.11414749841661348,9.183036979733872,0,-3.284532738020587e-4,0.6833236626828173,0.6033628292229992,0.7496497917684852,reptiles,high,neo_marginality
log(high.age + 1),-0.00666266481649033,0.01030316230506316,-0.646662123648793,0.5179344370102226,-3.284532738020587e-4,0.6833236626828173,0.6033628292229992,0.7496497917684852,reptiles,high,neo_marginality
(Intercept),2.3772220881773376,0.3160400611791293,7.521901113764007,8.526512829121202e-14,2.674250353775805e-4,0.5546682377273648,0.45546172860333584,0.6420824971207109,reptiles,high,neo_specialization
log(high.age + 1),-0.04255111995559174,0.03504787373656056,-1.2140856325673215,0.22487689692944743,2.674250353775805e-4,0.5546682377273648,0.45546172860333584,0.6420824971207109,reptiles,high,neo_specialization
(Intercept),1.0187973657459684,0.12051834283842122,8.453463114008036,0,-2.916488517122327e-4,0.6577403501786798,0.5751569203145994,0.7274778250297823,reptiles,high,neo_marginality
log(high.age + 1),0.00734505552824205,0.01056488342088472,0.6952329936478338,0.48700050628357383,-2.916488517122327e-4,0.6577403501786798,0.5751569203145994,0.7274778250297823,reptiles,high,neo_marginality
(Intercept),2.427643161006876,0.33655357156235904,7.213244387029377,8.062439604827888e-13,9.739948733614138e-4,0.5345932378653364,0.43443684965017815,0.6234574234018027,reptiles,high,neo_specialization
log(high.age + 1),-0.05916235920443819,0.03582242783159554,-1.6515452130315054,0.09880458023420546,9.739948733614138e-4,0.5345932378653364,0.43443684965017815,0.6234574234018027,reptiles,high,neo_specialization
(Intercept),1.0391792831618156,0.10036404469980492,10.354099281969608,0,-5.36448914687571e-4,0.6257980176898315,0.5407504549714676,0.6996191224067757,reptiles,high,neo_marginality
log(high.age + 1),-0.00228464119187187,0.01022518519084107,-0.22343274466249088,0.8232244905854205,-5.36448914687571e-4,0.6257980176898315,0.5407504549714676,0.6996191224067757,reptiles,high,neo_marginality
(Intercept),2.4412423123687144,0.31093020458494774,7.851415772319264,7.105427357601002e-15,0.00207809389012488,0.5673888905542173,0.46873983162024896,0.6540625734316928,reptiles,high,neo_specialization
log(high.age + 1),-0.07515028609877922,0.03470099055415771,-2.1656524755825752,0.03047084955747614,0.00207809389012488,0.5673888905542173,0.46873983162024896,0.6540625734316928,reptiles,high,neo_specialization
(Intercept),1.0357789904662074,0.11080100809429327,9.348100782483352,0,-5.631917782093413e-4,0.6382243353483376,0.5557079074977749,0.7089035316301839,reptiles,high,neo_marginality
log(high.age + 1),-5.267717328173126e-4,0.01035896168950796,-0.05085178887676081,0.9594493571916952,-5.631917782093413e-4,0.6382243353483376,0.5557079074977749,0.7089035316301839,reptiles,high,neo_marginality
(Intercept),2.3285506531364333,0.3176914624315672,7.329597828389922,3.4927616354707425e-13,-2.811885206554463e-4,0.5280507850005692,0.4293151786462757,0.617291829878681,reptiles,high,neo_specialization
log(high.age + 1),-0.02491913737598491,0.03517512519919807,-0.7084306661274663,0.4787710863432464,-2.811885206554463e-4,0.5280507850005692,0.4293151786462757,0.617291829878681,reptiles,high,neo_specialization
(Intercept),1.040102028399567,0.1055947783866642,9.849938077344586,0,-5.639103899909201e-4,0.6326641263361463,0.5465811540296283,0.7065926357837029,reptiles,high,neo_marginality
log(high.age + 1),3.736028933337375e-4,0.01030669508303627,0.0362485637077445,0.9710882483089338,-5.639103899909201e-4,0.6326641263361463,0.5465811540296283,0.7065926357837029,reptiles,high,neo_marginality
(Intercept),2.390829045111493,0.30825616156616925,7.755981366160901,1.4654943925052066e-14,5.768668338320016e-4,0.5360367007713572,0.43387705520544934,0.6275678798727771,reptiles,high,neo_specialization
log(high.age + 1),-0.04974003773602394,0.03497275516398494,-1.4222510495039975,0.15512947780561204,5.768668338320016e-4,0.5360367007713572,0.43387705520544934,0.6275678798727771,reptiles,high,neo_specialization
(Intercept),1.044183057258249,0.11045884172786156,9.453141468120876,0,-2.198999451354696e-4,0.6269959785401465,0.5418027580021877,0.7008178875427226,reptiles,high,neo_marginality
log(high.age + 1),-0.00802850866160201,0.01027589003593948,-0.7812956963847079,0.4347330281496806,-2.198999451354696e-4,0.6269959785401465,0.5418027580021877,0.7008178875427226,reptiles,high,neo_marginality
(Intercept),2.5356461217863586,0.31798915171164577,7.97400196873916,2.6645352591003757e-15,0.00694406231393752,0.5216229014922242,0.4213789760231034,0.6118443898846672,reptiles,high,neo_specialization
log(high.age + 1),-0.12749191224365636,0.034839940043705477,-3.65936083941942,2.6024999215690237e-4,0.00694406231393752,0.5216229014922242,0.4213789760231034,0.6118443898846672,reptiles,high,neo_specialization
(Intercept),1.0542720092736118,0.09660316501625436,10.913431346646052,0,6.760864625140805e-4,0.6047380146349903,0.5203487622287981,0.6784831619594044,reptiles,high,neo_marginality
log(high.age + 1),-0.01518006373772641,0.01023710605492836,-1.482847169529752,0.1382929416912746,6.760864625140805e-4,0.6047380146349903,0.5203487622287981,0.6784831619594044,reptiles,high,neo_marginality
(Intercept),2.4341592158650784,0.2818449064658867,8.636520157087524,0,0.001948344964086,0.504770940979437,0.40649742827902696,0.5947874198403864,reptiles,high,neo_specialization
log(high.age + 1),-0.07331325527054415,0.03471791909566067,-2.111683452816947,0.03485334418505359,0.001948344964086,0.504770940979437,0.40649742827902696,0.5947874198403864,reptiles,high,neo_specialization
(Intercept),1.038052556414102,0.1252389537734428,8.288575759678881,2.220446049250313e-16,-5.232284410875766e-4,0.6370276846810309,0.549333208484331,0.7119204034280721,reptiles,high,neo_marginality
log(high.age + 1),-0.0027947676842934,0.01032101583236107,-0.27078416792371757,0.7865885917710593,-5.232284410875766e-4,0.6370276846810309,0.549333208484331,0.7119204034280721,reptiles,high,neo_marginality
(Intercept),2.437994812355082,0.378569220091197,6.440023866091837,1.534661286939354e-10,0.00214944787639263,0.5656694461169244,0.4653609229034858,0.6543759131603416,reptiles,high,neo_specialization
log(high.age + 1),-0.076627788218192,0.03491377340380955,-2.1947724564721756,0.02830934489944336,0.00214944787639263,0.5656694461169244,0.4653609229034858,0.6543759131603416,reptiles,high,neo_specialization
(Intercept),1.0744410711674282,0.09756212690533685,11.012891018765336,0,0.00221919328999364,0.6193780423547577,0.5324109498258502,0.6943554787008783,reptiles,high,neo_marginality
log(high.age + 1),-0.02271443787459981,0.01021851249138948,-2.2228712734598006,0.02635030681163952,0.00221919328999364,0.6193780423547577,0.5324109498258502,0.6943554787008783,reptiles,high,neo_marginality
(Intercept),2.40707219576324,0.3089467908280303,7.791219288317819,1.1102230246251564e-14,6.794388618706409e-4,0.5745931604628652,0.4779048716075047,0.658839365815744,reptiles,high,neo_specialization
