biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Tropical & subtropical dry broadleaf forests,high,-0.007716552652668715,-0.00476812154508335,-0.09147803225364312,0.07585900110799787,0.5839692218184002,0.5729554314378134,0.12137906710584306,0.9769977997205979,0,-0.001605943790807,-0.00240540792637054,-0.003529594645478421,0.004986020111879116,0.3007904398124121,0.30144703622947666,0.03288193113938356,0.6611909158837527,mammals,marginality
Tropical & subtropical grasslands savannas and shrublands,low,-0.03322069527678047,-0.03333685026688937,-0.06072948259988736,0.0027413580633229213,0.24636061074963272,0.1929314235930688,0.017593210163300108,0.8628186995479765,0.14285714285714285,0.0016562503597784073,0.0010399069832598951,-0.0014476501668621096,0.006909433218308144,0.4971901552774988,0.5021770939706167,0.24352159708157725,0.6995042132125296,mammals,marginality
Tropical & subtropical grasslands savannas and shrublands,int,-0.04078861364764001,-0.04250157832597663,-0.07326971887062429,0.0012641732536538889,0.225861524510608,0.15553532737209885,0.010616504048648799,0.8014262535414804,0.19387755102040816,0.0020360261897688636,0.00152081569487982,-0.0013960528015489906,0.008285055531690065,0.4972558792859363,0.5018373347182965,0.24418808964155983,0.6992911911581464,mammals,marginality
Tropical & subtropical grasslands savannas and shrublands,high,-0.05529957294698282,-0.05826499289622787,-0.09848868029390367,-0.0020914855361865736,0.21605419784280439,0.1291329227375192,0.007388731618739814,0.7888875483027802,0.22448979591836735,0.002327718536802485,0.0019469174949305998,-0.0013851656263477682,0.009185079145460613,0.49736955437729274,0.5014970271707193,0.2451831771838562,0.6990523997608467,mammals,marginality
Tropical & subtropical moist broadleaf forests,low,0.005030427001027033,0.00513255983240559,-0.02860292800108267,0.03360015540105209,0.6270610682875342,0.6714650110164913,0.1925374194743536,0.9856491166078456,0,-0.0010809753817691663,-0.00147951018001217,-0.0018044225491391694,0.001269818820025847,0.31290970349848973,0.3122335449131631,0.139700213283664,0.5348633748964892,mammals,marginality
Tropical & subtropical moist broadleaf forests,int,0.005319009072421559,0.00723521571138804,-0.0339257568026667,0.03865352704760651,0.6187368827919039,0.6495252791748976,0.2077335161299108,0.9841629567635974,0,-0.0010478651178893348,-0.00143137172876002,-0.0018042371136687595,0.0010641877320128903,0.3126944350484479,0.31260255511224344,0.13959042526736612,0.5346324702042465,mammals,marginality
Tropical & subtropical moist broadleaf forests,high,0.004950112292588638,0.00548446089133876,-0.04856135934953507,0.04758274894895172,0.6138526376010272,0.6045293140193821,0.16591149260698546,0.9851174726411296,0,-0.0010121223766845831,-0.00131971095919746,-0.0018044043008759154,0.0016644734094379086,0.31219034067159923,0.31180359404484825,0.13927169291931407,0.5340885262521649,mammals,marginality
Mangroves,low,-0.03402737311607813,-0.03351606089779849,-0.06038130425607478,-0.0031847490475429025,0.1963181010344908,0.12305699567471462,0.005901868140607357,0.8869016387247466,0.23958333333333334,0.001810375257123537,0.0014216814822819099,-0.0010095257806298176,0.006909362830176085,0.8221610555494812,0.8222193439544877,0.740844917080477,0.8779120209654756,mammals,marginality
Mangroves,int,-0.033421295835555385,-0.03389415666019564,-0.0640583191263528,0.004869307077142868,0.2539604128973232,0.170289110688439,0.010230873667687015,0.8525687070741383,0.14583333333333334,0.0012354102630573118,9.087499255880766e-4,-9.952616322880545e-4,0.005800288070404905,0.8232377815471913,0.8232468331758074,0.7425269148625211,0.8785857637776869,mammals,marginality
Mangroves,high,-0.03638096945793138,-0.03888266529562032,-0.07607367691216876,0.01653859986941131,0.31510774520222107,0.22832775467000566,0.01706928472238941,0.8756591072128473,0.125,8.004428434934309e-4,4.664117321940802e-4,-0.0010056414866319338,0.004835660823157414,0.8240652308292424,0.8239389206593402,0.7438655116312249,0.879089587283804,mammals,marginality
Mediterranean forests woodlands and scrub,low,-0.014633231965575349,-0.01629909443037842,-0.03826204871041605,0.010816056791222281,0.5640152448563253,0.5228353753610762,0.1504766377177001,0.9726808673041232,0,-9.720441386795865e-4,-0.00124073844211288,-0.00209835151933904,0.002251826090247144,0.38996250187840065,0.38589113936374414,0.18458993327704412,0.6046388917740834,mammals,marginality
Mediterranean forests woodlands and scrub,int,-0.01663162461559968,-0.0188880948699371,-0.044711076349993883,0.01397078174295413,0.5662533268362134,0.5251349191840808,0.14315973658805675,0.974770582575559,0,-9.458127879991466e-4,-0.0012502134384383,-0.0020986804174173263,0.0024472275121034683,0.39070930147326616,0.3868223298147639,0.18536750632944712,0.6050050895211443,mammals,marginality
Mediterranean forests woodlands and scrub,high,-0.020810784324178856,-0.02425179422490239,-0.0632693583244487,0.027491116011027966,0.5642255346311131,0.5377213400227117,0.11617106297854754,0.9603103564839512,0.020618556701030927,-9.159267652538324e-4,-0.00130078767144112,-0.002094723172379866,0.003224011022381126,0.39194539737309547,0.3891094208587667,0.1866222094434745,0.605644417672777,mammals,marginality
Deserts and xeric shrublands,low,-0.08623194941674675,-0.08567837624091523,-0.10129783224718761,-0.07194836050226805,1.4143220870378795e-5,3.123305630126083e-6,1.290032028977706e-8,1.1010594306102287e-4,1,0.021275307094180244,0.02084644992901592,0.014093158294659944,0.031726518637882874,0.09505409697530554,0.0982997810202982,NA,0.2595586033261158,birds,marginality
Deserts and xeric shrublands,int,-0.10085370323149463,-0.10077395458572928,-0.11729183816276789,-0.08373994780648986,1.4332600721708245e-5,2.2275189488496494e-6,3.4499936774068375e-8,1.1579805693316946e-4,1,0.021372207469544862,0.02149151751325257,0.014011375340891254,0.029487537074134852,0.10398508053685347,0.10444684110335344,NA,0.26171559516580006,birds,marginality
Deserts and xeric shrublands,high,-0.11603040536220148,-0.11556338807688588,-0.13471803770889773,-0.09516709434486705,2.636302061616002e-5,3.7233022982530177e-6,7.027595323449987e-8,1.8679363691291833e-4,1,0.020330710032961018,0.02051121476577369,0.013096573530733905,0.028097535895259745,0.11453463964944131,0.11428605237963715,0.024224138973755745,0.2699203716607245,birds,marginality
Flooded grasslands and savannas,low,-0.06107641620383266,-0.06079301012355527,-0.08220911306227721,-0.04316841343761395,0.045244271539541414,0.035800813059365444,0.00444945814794639,0.13558721559350304,0.68,0.005014095119453912,0.00473850258162695,0.0017122602377976689,0.00983565728822235,0.1006925626171158,0.09975289348664576,0.03094728978567217,0.209375294269868,birds,marginality
Flooded grasslands and savannas,int,-0.07172163391591727,-0.07147969906935198,-0.093859926646965,-0.04935591473606662,0.0446903882070841,0.03473435470879149,0.00524024798782596,0.1402654964808134,0.7070707070707071,0.005103029705316433,0.00481010216581089,0.0016383810457027224,0.00942704626013145,0.10244772444176073,0.10170978915977404,0.03250460871504491,0.21096101729888164,birds,marginality
Flooded grasslands and savannas,high,-0.08292246711340959,-0.0821640597049782,-0.10945438163920748,-0.05579245647280795,0.05111683085927717,0.03846884859524646,0.00662602503071796,0.15099607029290085,0.6767676767676768,0.004820226955538133,0.0045687087346637,0.0014812360618324332,0.00886974009434751,0.10502835204274032,0.10432809692489776,0.034512322381540936,0.21369229947975574,birds,marginality
Montane grasslands and shrublands,low,0.02346081121344593,0.02444118588059396,-0.022100852737195104,0.06430086131427275,0.6240740994747631,0.6413042468671244,0.23336253167245635,0.9674281334274655,0,-0.010469336798999971,-0.0129650002241056,-0.016638048668415235,0.007365382890713257,1e-6,1e-6,NA,0.22609003409451456,birds,marginality
Montane grasslands and shrublands,int,0.02499998682456772,0.026646818285326328,-0.030582072934847715,0.0761741988738448,0.6281290992758961,0.639938359388025,0.23422372427223653,0.9628661881942642,0,-0.010735953768667589,-0.012933444665529936,-0.016627363454096315,0.007240141688633755,1e-6,1e-6,NA,0.22563278884771304,birds,marginality
