ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,enfa
high,-0.011366008429230436,-0.012428932460212316,-0.03311019030260556,0.018414296702439468,0.5216578149933261,0.48433332187526923,0.1291518172308713,0.969414965237049,0.01020408163265306,-3.142091239699236e-4,-4.99304414563208e-4,-9.770255218880457e-4,0.0012756179027416034,0.7335725879729993,0.7349378242637057,0.5955232850809935,0.8246208600740323,Mammals,marginality
int,-0.007502369614313834,-0.008636558558044478,-0.02422824037131458,0.013592193246133517,0.5613709875382155,0.551877725780168,0.15524704665503922,0.9767468369774404,0,-4.3498980174008973e-4,-6.316586396647174e-4,-9.776296669784888e-4,0.0010004817974095148,0.7333190313727193,0.734908530566631,0.5951304979460391,0.8244680696440873,Mammals,marginality
low,-0.0059501412273555475,-0.007010542764035864,-0.020414748400648393,0.011433834916077048,0.5842745115373474,0.583828776431703,0.18359882044989112,0.9883901924996207,0,-5.017825277799805e-4,-6.844173422220952e-4,-9.78263687014523e-4,7.528540698429813e-4,0.7332615589534006,0.7350764644499156,0.59503377386199,0.8244345017137749,Mammals,marginality
high,-0.044631200805341664,-0.044912118111694356,-0.05415682936590979,-0.03425707790756462,0.0016896784975543588,7.21032799671395e-4,3.3150815873994604e-5,0.009547641766970847,1,0.005636394124909443,0.005533775935956066,0.0030482634888048593,0.008592818571766001,0.42184735094226455,0.4188124718706785,0.28603854449906696,0.5459841692902506,Aves,marginality
int,-0.03800527211879067,-0.038200584796576904,-0.04619258175354833,-0.02866913843359942,0.002126759222817827,9.584988050026499e-4,5.248692603040394e-5,0.01279881122764347,1,0.005355406069064467,0.005254769105155809,0.002774568274095295,0.008163662433354759,0.4211688028649692,0.41809562051646587,0.2850493288331266,0.5456244271512284,Aves,marginality
low,-0.03261030786510763,-0.032477032227620724,-0.0403062344562331,-0.024149849523866056,0.0031243820285089654,0.0015184588221253126,7.855130714454762e-5,0.018196948013972394,1,0.0049171639032256015,0.004805088795319946,0.0024524497398542423,0.007765705044715013,0.42089614627380134,0.41797857188114085,0.28441256886640226,0.5456352820005984,Aves,marginality
high,-0.006381630052718467,-0.006568702949304148,-0.02465536330216115,0.01819583063371993,0.43824984958763297,0.40389133597673765,0.027566050663382812,0.9700260525024733,0.05,1.622651396983036e-4,-1.708137492577283e-4,-5.638529130958343e-4,0.002175314034496581,0.6099091616416014,0.6146397081884911,0.5237038414498296,0.68547626057155,Reptiles,marginality
int,-0.006649317558161019,-0.0066998928585984985,-0.02281727484299064,0.01475420823324923,0.40263497829916367,0.31724825172698856,0.021943916125692513,0.901266506236017,0.06,2.2641663144004173e-4,5.486988544590984e-7,-5.557781782024273e-4,0.0024034128883920224,0.6096286382836567,0.6143072004905674,0.5233608391948542,0.6852537499657448,Reptiles,marginality
low,-0.006799505707185573,-0.006735386759415123,-0.02149763679350368,0.012260293948577885,0.379063850752194,0.3167633673978161,0.014854237677516513,0.8968650044797836,0.07,2.809003966595061e-4,1.6158294601498054e-6,-5.551562250332139e-4,0.002783038409385201,0.6093834662666878,0.6140921692038008,0.5230608615685979,0.6850599600154922,Reptiles,marginality
high,-0.008513546583799273,-0.009054082742467585,-0.024435239879223206,0.0063755669097943415,0.4619289279834046,0.416510936562305,0.030581008853149717,0.9793578442548472,0.08,7.657005574679652e-5,-2.4164892243065797e-4,-7.117733769459346e-4,0.002616843747730975,0.7352321672012369,0.7383701295456623,0.6575544935234743,0.7970411806220756,Amphibians,marginality
