"species_name","marginality","specialization"
"Aburria_aburri",2.63208640151264,16.167525726821
"Accipiter_bicolor",0.529584594504235,1.18215238682392
"Accipiter_striatus",0.779786338221575,1.56240192888825
"Accipiter_superciliosus",1.94234426871711,22.6295582937251
"Acrobatornis_fonsecai",2.0917023999405,21.8297062081043
"Acropternis_orthonyx",2.26757983996055,2.37147764296456
"Adelomyia_melanogenys",1.22557291790783,1.36883770424494
"Aegolius_acadicus",2.55184655743105,3.70384295045353
"Aegolius_harrisii",1.1900931836219,1.9046499429982
"Aeronautes_saxatalis",2.02161851431959,2.3431857170447
"Agelaioides_badius",1.40712181551603,2.05405891823983
"Agelaius_humeralis",1.43035798979193,7.39340123112776
"Agelasticus_cyanopus",0.92274005410645,1.84545191275241
"Agelasticus_thilius",1.93717447624478,1.68115026948587
"Agelasticus_xanthophthalmus",2.69431424878351,10.2915166403021
"Aglaeactis_castelnaudii",1.75611929834309,20.6798187496781
"Aglaeactis_cupripennis",1.96786030230659,1.92424215662125
"Aglaeactis_pamela",2.51892247600891,10.6804645686941
"Aglaiocercus_coelestis",3.06600687330289,2.38870445536038
"Agriornis_micropterus",2.76059777574512,2.87273683544337
"Agriornis_montanus",2.45308698581525,1.50477367470327
"Agriornis_murinus",1.78446877066542,3.48939321047455
"Aimophila_notosticta",1.72138957752449,9.35436255488617
"Aimophila_ruficeps",2.57338439071126,3.42899440337275
"Aix_sponsa",1.44105496988252,6.49908967041098
"Alectrurus_tricolor",1.18948350266992,3.78112032070388
"Alipiopsitta_xanthops",1.29139565566258,3.45466351815463
"Alopochelidon_fucata",2.42079068318142,10.1366975515498
"Amazilia_franciae",1.86971406003224,1.82720099124643
"Amazilia_rutila",2.61772868444333,30.6669665737913
"Amazilia_tzacatl",2.61198877145184,1.32624076419895
"Amazilia_yucatanensis",0.999449605675682,2.7598900240188
"Amazona_aestiva",0.858964589723014,1.9202639541412
"Amazona_agilis",1.69406928191564,26.6293110935026
"Amazona_albifrons",1.12314817881025,2.10584347417453
"Amazona_amazonica",1.15059773134881,1.66037499943528
"Amazona_auropalliata",1.27138752631097,2.52478725210826
"Amazona_autumnalis",1.27824213140352,1.53843526208967
"Amazona_brasiliensis",3.03913439481311,12.6142357627082
"Amazona_collaria",1.59069508253784,9.07398262815722
"Amazona_dufresniana",1.71824084738459,5.12911319550072
"Amazona_festiva",2.08963510166769,4.47581495161263
"Amazona_finschi",2.53379677484806,6.33877104271221
"Amazona_kawalli",1.42475797982137,4.72736267523449
"Amazona_leucocephala",1.59214749852993,5.71501524392439
"Amazona_ochrocephala",1.51129934053185,2.04751003437914
"Amazona_oratrix",1.14557632324107,2.69578684790187
"Amazona_pretrei",2.60186516532532,39.7878439231131
"Amazona_rhodocorytha",2.16930700196343,23.0136142267636
"Amazona_tucumana",1.72376554306045,6.17413990880484
"Amazona_ventralis",1.02821334109084,19.3378013743415
"Amazona_vinacea",1.30294017535629,5.52348424792568
"Amazona_viridigenalis",1.95057057129773,11.1867924054457
"Amazonetta_brasiliensis",0.462604001276782,1.63441405984756
"Amblycercus_holosericeus",1.30664084257794,2.04866831059498
"Amblyramphus_holosericeus",1.42693826700156,2.95000551260398
"Ammodramus_aurifrons",1.72123720531124,2.41084505913071
"Ammodramus_humeralis",0.536602876899658,1.50468662711814
"Ampelioides_tschudii",1.76450222872261,1.83980047110744
"Ampelion_rubrocristatus",1.63987428233932,1.64869797355111
"Ampelion_rufaxilla",1.6940085273243,2.30923444956883
"Amphispiza_bilineata",2.52717425588719,4.60148831058807
"Anabacerthia_striaticollis",1.56258457565917,1.96205458309446
"Anabazenops_dorsalis",1.90667416612836,2.96287246155065
"Anabazenops_fuscus",1.16898387226902,4.08313690208805
"Anairetes_alpinus",2.82318170746355,19.9773089149999
"Anairetes_flavirostris",1.95752062154865,8.56208969612648
"Anairetes_nigrocristatus",2.16714667954586,7.50672338268298
"Anairetes_parulus",2.24243321268287,1.22452449293045
"Anairetes_reguloides",1.97252693056288,4.40692219031532
"Anas_bahamensis",1.0601363849217,1.29257429530782
"Ancistrops_strigilatus",1.67306261023754,2.90730204686848
"Andigena_cucullata",1.56477284890596,6.13202617703028
"Andigena_hypoglauca",1.81239898273015,8.26559515191285
"Andigena_laminirostris",2.33988647048125,4.04603454919089
"Androdon_aequatorialis",4.13727879235981,2.87428983954027
"Anhima_cornuta",0.868059728700529,1.66395358826462
"Anhinga_anhinga",0.663256383494699,1.30595354933855
"Anisognathus_igniventris",1.77453667700349,3.67742412961581
"Anisognathus_lacrymosus",1.81987209599423,2.05329848201984
"Anisognathus_melanogenys",1.52062504658591,6.32429179615853
"Anisognathus_notabilis",3.43864756371381,2.98692784412338
"Anisognathus_somptuosus",1.72369152272861,1.80362142106401
"Anodorhynchus_hyacinthinus",1.02285960586319,3.64634093312178
"Anodorhynchus_leari",1.08250490652447,13.8100629732564
"Anthocephala_floriceps",1.35159636108872,14.4447875911843
"Anthracothorax_dominicus",0.94103215437328,4.53010010132385
"Anthracothorax_mango",1.54547604554322,8.54977716042756
"Anthracothorax_prevostii",0.823226580212124,1.8232726263923
"Anthracothorax_veraguensis",2.14252718320053,4.84876309582598
"Anthracothorax_viridigula",2.09515638590448,4.95635276454323
"Anthracothorax_viridis",1.43370310062321,21.4522042974042
"Anthus_correndera",3.73834933483803,12.9422200327881
"Anthus_hellmayri",3.39331519135805,6.01387821606016
"Anthus_lutescens",0.539594067692614,1.46997482357187
"Antilophia_galeata",1.21558986933404,3.96404721166916
"Anumbius_annumbi",1.45421501873155,2.3629009005418
