term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),2.5147267178928066,0.2917660544998811,8.618983185701033,0,-6.80215970206524e-4,0.3944582474080839,0.27603614381845065,0.5152832879867036,Amphibians,int,neo_specialization
log(int.age + 1),-0.006281545708651075,0.02962920587399035,-0.21200519971293783,0.8321337495866656,-6.80215970206524e-4,0.3944582474080839,0.27603614381845065,0.5152832879867036,Amphibians,int,neo_specialization
(Intercept),2.504108561644177,0.2926789478939488,8.555820566061115,0,-7.101980554367153e-4,0.39481994365070205,0.27647202024269374,0.5155507826083828,Amphibians,high,neo_specialization
log(high.age + 1),-0.0018088804014768506,0.033707169870290654,-0.05366455885906902,0.9572100546093367,-7.101980554367153e-4,0.39481994365070205,0.27647202024269374,0.5155507826083828,Amphibians,high,neo_specialization
(Intercept),1.2759989069506763,0.16866559029920142,7.565259189424115,6.972200594645983e-14,7.954411833153545e-4,0.7398507090902109,0.6610374433314263,0.8025099375353283,Amphibians,low,neo_marginality
log(low.age + 1),-0.013266401588112155,0.009114660336988184,-1.4555014775784676,0.14575403315806046,7.954411833153545e-4,0.7398507090902109,0.6610374433314263,0.8025099375353283,Amphibians,low,neo_marginality
(Intercept),1.2742890721766131,0.16879329901689186,7.549405572368662,7.815970093361102e-14,6.208331737811979e-4,0.7401503878913713,0.6614491369070321,0.8027237736939736,Amphibians,int,neo_marginality
log(int.age + 1),-0.013570031483548607,0.009915935836062028,-1.3685073913243222,0.17137224444091892,6.208331737811979e-4,0.7401503878913713,0.6614491369070321,0.8027237736939736,Amphibians,int,neo_marginality
(Intercept),1.272351697052209,0.16899002165616672,7.529152813773718,9.103828801926284e-14,3.9624558156478606e-4,0.7404710670667174,0.6618781455547101,0.8029594703351006,Amphibians,high,neo_marginality
log(high.age + 1),-0.013861871734931858,0.011109260194461455,-1.247776313839757,0.21232105152236547,3.9624558156478606e-4,0.7404710670667174,0.6618781455547101,0.8029594703351006,Amphibians,high,neo_marginality
(Intercept),2.595320233064659,0.28132226877228905,9.225434745677356,0,0.0021051475335380205,0.3818173995976324,0.26429117709386796,0.5025847376887046,Amphibians,low,neo_specialization
log(low.age + 1),-0.05330148372594646,0.026771580784912947,-1.9909725971797814,0.04667744495478532,0.0021051475335380205,0.3818173995976324,0.26429117709386796,0.5025847376887046,Amphibians,low,neo_specialization
(Intercept),2.593453231020727,0.28198039475278225,9.197282078048222,0,0.001915811576205695,0.3825925052988976,0.2649596410046442,0.5033501211273996,Amphibians,int,neo_specialization
