term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(low.age + 1),-0.005939001935041638,0.009258711403407956,-0.6414501625847853,0.5213349496345092,-4.1906642489818115e-4,0.7658066227559102,0.69486256152318715,0.8211611211212944,Amphibians,low,neo_marginality
(Intercept),1.2647441194701168,0.190062258201678,6.65436752902345,4.067302050714261e-11,-4.375581718183933e-4,0.7657958315690875,0.694844131838406,0.8211551393744779,Amphibians,int,neo_marginality
log(int.age + 1),-0.006253221818373828,0.010071446300443038,-0.6208861797832106,0.5347752932716261,-4.375581718183933e-4,0.7657958315690875,0.694844131838406,0.8211551393744779,Amphibians,int,neo_marginality
(Intercept),1.2641046510124856,0.19010279961442894,6.649584611990844,4.1975090070422993e-11,-4.7120307474187676e-4,0.7657683415484676,0.6948014217436658,0.8211383346585029,Amphibians,high,neo_marginality
log(high.age + 1),-0.006557115219150532,0.011274054184657769,-0.5816111144892087,0.5609220195875788,-4.7120307474187676e-4,0.7657683415484676,0.6948014217436658,0.8211383346585029,Amphibians,high,neo_marginality
(Intercept),2.6773668482195117,0.29298174418916634,9.13834019122654,0,0.005526292881833396,0.37609698020312216,0.25441572000008716,0.50222448919821,Amphibians,low,neo_specialization
log(low.age + 1),-0.08072165351615385,0.027199538862716453,-2.9677581639739636,0.003050603620855963,0.005526292881833396,0.37609698020312216,0.25441572000008716,0.50222448919821,Amphibians,low,neo_specialization
(Intercept),2.669691302377826,0.29328965178213723,9.10257585344654,0,0.004870630860659184,0.37618356527262004,0.25438938026442715,0.5024356123076733,Amphibians,int,neo_specialization
log(int.age + 1),-0.08356548002105235,0.029775147560427363,-2.806551331154946,0.005076670348742596,0.004870630860659184,0.37618356527262004,0.25438938026442715,0.5024356123076733,Amphibians,int,neo_specialization
(Intercept),2.663355484895843,0.2938655088267004,9.063178239357407,0,0.0041395449944314966,0.3762007329510105,0.25431326733028353,0.5025778816678875,Amphibians,high,neo_specialization
log(high.age + 1),-0.08771797369006093,0.033539225349343234,-2.61538460642409,0.009008205863326735,0.0041395449944314966,0.3762007329510105,0.25431326733028353,0.5025778816678875,Amphibians,high,neo_specialization
(Intercept),1.2941678660833469,0.19034976906557205,6.7988938071027,1.5545786880011292e-11,0.001575599223939274,0.7651211696074317,0.6905839090738554,0.8230084352624495,Amphibians,low,neo_marginality
log(low.age + 1),-0.016637904554658266,0.009275960708350404,-1.7936583689579984,0.07308284098684359,0.001575599223939274,0.7651211696074317,0.6905839090738554,0.8230084352624495,Amphibians,low,neo_marginality
(Intercept),1.2878563693229375,0.19061151569919405,6.756445771908748,2.0659918220644613e-11,0.0010310084892807766,0.7658505184096249,0.6915266342680179,0.823559401182912,Amphibians,int,neo_marginality
log(int.age + 1),-0.015805638714933127,0.010097724499078645,-1.5652673744837555,0.11774557831839538,0.0010310084892807766,0.7658505184096249,0.6915266342680179,0.823559401182912,Amphibians,int,neo_marginality
(Intercept),1.2820989557051834,0.19096791087766282,6.7136879165344014,2.7468693986065773e-11,4.926753086537168e-4,0.7665450257735402,0.6924242509482992,0.8240851297147322,Amphibians,high,neo_marginality
log(high.age + 1),-0.014712317930208954,0.011308639152260587,-1.300980403753353,0.193478630889226,4.926753086537168e-4,0.7665450257735402,0.6924242509482992,0.8240851297147322,Amphibians,high,neo_marginality
(Intercept),2.6122660484033475,0.30441191305644594,8.581352885223533,0,0.0020308203670052665,0.3919849592495481,0.2701511403798949,0.5174041111304952,Amphibians,low,neo_specialization
log(low.age + 1),-0.053115119702802645,0.0270380050347065,-1.9644614916900514,0.04967358571510827,0.0020308203670052665,0.3919849592495481,0.2701511403798949,0.5174041111304952,Amphibians,low,neo_specialization
(Intercept),2.598296680959814,0.3052317217772966,8.512538165530465,0,0.00146502836805355,0.39338111921871827,0.27138439097375,0.5187679415879917,Amphibians,int,neo_specialization
log(int.age + 1),-0.051866417540011096,0.029643350424202308,-1.7496813551029904,0.08039177753565285,0.00146502836805355,0.39338111921871827,0.27138439097375,0.5187679415879917,Amphibians,int,neo_specialization
(Intercept),2.5878638456972483,0.3064183506706047,8.44552501517497,0,9.813099022696605e-4,0.39467222356646137,0.27254132760630373,0.5200184233845929,Amphibians,high,neo_specialization
log(high.age + 1),-0.05155537055394186,0.03341771823133636,-1.542755558504815,0.12311544425858978,9.813099022696605e-4,0.39467222356646137,0.27254132760630373,0.5200184233845929,Amphibians,high,neo_specialization
(Intercept),1.257922996898877,0.18094862475298354,6.951824025278401,5.5064841575358514e-12,-2.875466432506034e-5,0.7629650935603044,0.6897519401773617,0.8204084496683999,Amphibians,low,neo_marginality
log(low.age + 1),-0.009069448276397898,0.009258391778708347,-0.9795921897855991,0.3274562238559766,-2.875466432506034e-5,0.7629650935603044,0.6897519401773617,0.8204084496683999,Amphibians,low,neo_marginality
(Intercept),1.2562947353597689,0.18105122648398786,6.938891051759184,6.016520615048648e-12,-1.380236629183643e-4,0.7631471086706499,0.6899827182806797,0.8205485029521024,Amphibians,int,neo_marginality
log(int.age + 1),-0.00909297257721807,0.01012769172926896,-0.8978326770096527,0.36942869543181556,-1.380236629183643e-4,0.7631471086706499,0.6899827182806797,0.8205485029521024,Amphibians,int,neo_marginality
(Intercept),1.255070704402182,0.18121308558328747,6.925938600749327,6.573408484200627e-12,-2.3625609431164786e-4,0.7633188961026665,0.690200076151382,0.8206809658933778,Amphibians,high,neo_marginality
log(high.age + 1),-0.009320260754311074,0.01140236093317961,-0.8173974503113777,0.4138400167274816,-2.3625609431164786e-4,0.7633188961026665,0.690200076151382,0.8206809658933778,Amphibians,high,neo_marginality
(Intercept),2.7108898982962715,0.2791594694056299,9.710900740956918,0,0.007149079079055375,0.3680230987265937,0.25211573892496786,0.4888420357407565,Amphibians,low,neo_specialization
log(low.age + 1),-0.09012739529038646,0.02703132161280471,-3.3341838250222,8.778009293615163e-4,0.007149079079055375,0.3680230987265937,0.25211573892496786,0.4888420357407565,Amphibians,low,neo_specialization
(Intercept),2.71127279480858,0.2800162739584851,9.682554361860234,0,0.006733786199014686,0.36887199957677125,0.2527683126780512,0.48975588442062096,Amphibians,int,neo_specialization
log(int.age + 1),-0.0965039698407481,0.02974622539343892,-3.244242540501755,0.0012053512961307522,0.006733786199014686,0.36887199957677125,0.2527683126780512,0.48975588442062096,Amphibians,int,neo_specialization
(Intercept),2.7159825767429053,0.28114888738573834,9.660299928615963,0,0.006376833655732139,0.36969349936180057,0.25339896991278393,0.4906446447984637,Amphibians,high,neo_specialization
log(high.age + 1),-0.10659961203109106,0.033681222935689974,-3.164956695148199,0.0015843589124899804,0.006376833655732139,0.36969349936180057,0.25339896991278393,0.4906446447984637,Amphibians,high,neo_specialization
(Intercept),1.2762647198527641,0.17631126415252246,7.2387021100858275,7.434053372890048e-13,1.3733462112516738e-4,0.7499575836207798,0.6741084341651036,0.8099138659599622,Amphibians,low,neo_marginality
log(low.age + 1),-0.010289574992822787,0.009420643205000006,-1.092236991563548,0.2749163303386677,1.3733462112516738e-4,0.7499575836207798,0.6741084341651036,0.8099138659599622,Amphibians,low,neo_marginality
(Intercept),1.2765916380729443,0.17644741855042073,7.23496919683272,7.633893517322576e-13,1.239844173897404e-4,0.7501576244739302,0.674339459466974,0.8100805109539767,Amphibians,int,neo_marginality
log(int.age + 1),-0.011244824647407713,0.01037714786219713,-1.0836141873213005,0.2787219485054917,1.239844173897404e-4,0.7501576244739302,0.674339459466974,0.8100805109539767,Amphibians,int,neo_marginality
(Intercept),1.2779173567619562,0.1766709577264668,7.233318782029297,7.722711359292589e-13,1.395341618006891e-4,0.7504100093264906,0.674629486929848,0.8102912768335997,Amphibians,high,neo_marginality
log(high.age + 1),-0.012850850418983779,0.011750410833185643,-1.0936511583654813,0.2742956031089716,1.395341618006891e-4,0.7504100093264906,0.674629486929848,0.8102912768335997,Amphibians,high,neo_marginality
(Intercept),2.8079649536572355,0.27156301770059715,10.340012338326071,0,0.014015226319709268,0.3513280820755001,0.23765808970134594,0.4723033124934224,Amphibians,low,neo_specialization
log(low.age + 1),-0.1253841431674883,0.027379782236094767,-4.579442673659924,5.07489082535173e-6,0.014015226319709268,0.3513280820755001,0.23765808970134594,0.4723033124934224,Amphibians,low,neo_specialization
(Intercept),2.816938962256276,0.2728781646170605,10.323064750194964,0,0.013802894222737656,0.3527743174498429,0.23871404304454827,0.4739501322413427,Amphibians,int,neo_specialization
log(int.age + 1),-0.13791389452552716,0.030338607417342955,-4.545821521349367,5.942596615682305e-6,0.013802894222737656,0.3527743174498429,0.23871404304454827,0.4739501322413427,Amphibians,int,neo_specialization
(Intercept),2.8317728140061664,0.27466646746254153,10.309859955483493,0,0.013643082438310215,0.35453732123244774,0.24004899615267256,0.47592617156071965,Amphibians,high,neo_specialization
log(high.age + 1),-0.15614701940191578,0.034543039898255405,-4.520361261250836,6.692476378411527e-6,0.013643082438310215,0.35453732123244774,0.24004899615267256,0.47592617156071965,Amphibians,high,neo_specialization
(Intercept),1.2785631022270352,0.17894027326740217,7.145194756221226,1.439293129124053e-12,6.593414423585078e-4,0.7307954272534616,0.6515654349752752,0.7937366117830345,Amphibians,low,neo_marginality
log(low.age + 1),-0.012921678829516406,0.009308499310621478,-1.3881591863870155,0.16530879762866557,6.593414423585078e-4,0.7307954272534616,0.6515654349752752,0.7937366117830345,Amphibians,low,neo_marginality
(Intercept),1.273018604362237,0.17922638347078715,7.102852714593393,1.936228954946273e-12,2.4024291684821022e-4,0.7315701085420163,0.652544936536636,0.7943316138943565,Amphibians,int,neo_marginality
log(int.age + 1),-0.011659034918491767,0.010080819415347456,-1.1565562716798172,0.24765044457932062,2.4024291684821022e-4,0.7315701085420163,0.652544936536636,0.7943316138943565,Amphibians,int,neo_marginality
(Intercept),1.2661313841183617,0.17962408131426255,7.048784187812728,2.821298750177448e-12,-2.0078590690995215e-4,0.7324706560877021,0.6536886593613129,0.7950221874227812,Amphibians,high,neo_marginality
log(high.age + 1),-0.009521085855804778,0.011236696372386917,-0.8473207373656474,0.39696078264776347,-2.0078590690995215e-4,0.7324706560877021,0.6536886593613129,0.7950221874227812,Amphibians,high,neo_marginality
(Intercept),2.6096838709940973,0.29783410643908037,8.762206257018747,0,0.0017690440455546057,0.3796132273173049,0.260773853651304,0.5038839894965979,Amphibians,low,neo_specialization
log(low.age + 1),-0.05067826933796073,0.02712779901621732,-1.8681305220399436,0.06195203933209337,0.0017690440455546057,0.3796132273173049,0.260773853651304,0.5038839894965979,Amphibians,low,neo_specialization
(Intercept),2.603501378001951,0.29842191006318536,8.724229991861883,0,0.0014560870679993882,0.38029276738641005,0.26134263454897133,0.5045872034923817,Amphibians,int,neo_specialization
log(int.age + 1),-0.05154265791959143,0.02951911766715047,-1.7460771863431828,0.08101625166441595,0.0014560870679993882,0.38029276738641005,0.26134263454897133,0.5045872034923817,Amphibians,int,neo_specialization
(Intercept),2.6005782978279512,0.2992041798970907,8.69165096130142,0,0.001213757447727218,0.38082445363166123,0.26177864444806953,0.5051457436607318,Amphibians,high,neo_specialization
log(high.age + 1),-0.05441491294881527,0.033070563822005454,-1.6454183618305018,0.10010739904619448,0.001213757447727218,0.38082445363166123,0.26177864444806953,0.5051457436607318,Amphibians,high,neo_specialization
(Intercept),1.1737690635923836,0.1286081170584263,9.126710587475156,0,0.0011134941235415778,0.6234315347061502,0.5400664174415567,0.695899543448753,Reptiles,low,neo_marginality
log(low.age + 1),-0.015395128215978665,0.008925182806119258,-1.7249090075133813,0.08471834012136137,0.0011134941235415778,0.6234315347061502,0.5400664174415567,0.695899543448753,Reptiles,low,neo_marginality
(Intercept),1.173241150429945,0.12862002974635187,9.121760838834064,0,0.0010863608697810952,0.6235851543166202,0.5402442316184511,0.6960282741200046,Reptiles,int,neo_marginality
log(int.age + 1),-0.016743557823832973,0.00978649347248634,-1.7108842785115692,0.08727759648009048,0.0010863608697810952,0.6235851543166202,0.5402442316184511,0.6960282741200046,Reptiles,int,neo_marginality
(Intercept),1.1732463594912026,0.12868315253613055,9.11732683236672,0,0.0010594736074098015,0.6237452734078553,0.5404190664370807,0.6961696148152274,Reptiles,high,neo_marginality
log(high.age + 1),-0.018653432794348394,0.010992827087994948,-1.696873119629021,0.08989636801611223,0.0010594736074098015,0.6237452734078553,0.5404190664370807,0.6961696148152274,Reptiles,high,neo_marginality
(Intercept),2.84486672925855,0.3545245669571799,8.024455832992128,1.7763568394002505e-15,0.0027999695556620656,0.5048754935971355,0.39630529742262327,0.6030619360309206,Reptiles,low,neo_specialization
log(low.age + 1),-0.07181925667974356,0.029380190522048117,-2.4444789296327882,0.014603069202547614,0.0027999695556620656,0.5048754935971355,0.39630529742262327,0.6030619360309206,Reptiles,low,neo_specialization
(Intercept),2.8438326624768404,0.3543531749585005,8.02541888557903,1.7763568394002505e-15,0.002741299287888239,0.5044969936391384,0.3958224475830604,0.6027900666418615,Reptiles,int,neo_specialization
log(int.age + 1),-0.07827111549492227,0.03230337404317615,-2.423001244090057,0.01549256786456188,0.002741299287888239,0.5044969936391384,0.3958224475830604,0.6027900666418615,Reptiles,int,neo_specialization
(Intercept),2.8457691563365453,0.3543994371490153,8.029835428717053,1.7763568394002505e-15,0.002714914738245826,0.504211035314917,0.3954774712462047,0.6025769231900114,Reptiles,high,neo_specialization
log(high.age + 1),-0.08777979309414413,0.036373630340835225,-2.4132810575027275,0.015910580298412302,0.002714914738245826,0.504211035314917,0.3954774712462047,0.6025769231900114,Reptiles,high,neo_specialization
(Intercept),1.1934335453013618,0.10304583312393946,11.581579857440204,0,0.0027838181052471096,0.5645357382972465,0.4770407064545697,0.6435178891683928,Reptiles,low,neo_marginality
log(low.age + 1),-0.02148283398002736,0.008809549280762935,-2.438584914547056,0.014842569120812055,0.0027838181052471096,0.5645357382972465,0.4770407064545697,0.6435178891683928,Reptiles,low,neo_marginality
(Intercept),1.1945437518179676,0.10286969862632224,11.612202308059532,0,0.002996083794769626,0.5637249498412993,0.4761170486520414,0.6428329490842749,Reptiles,int,neo_marginality
log(int.age + 1),-0.024286114388294054,0.009656667267431933,-2.5149581854395437,0.011992584876150403,0.002996083794769626,0.5637249498412993,0.4761170486520414,0.6428329490842749,Reptiles,int,neo_marginality
(Intercept),1.1944121035999868,0.10284440137865211,11.613778558566402,0,0.0029106223052523133,0.5633146588728386,0.4756666208943914,0.642478898624584,Reptiles,high,neo_marginality
log(high.age + 1),-0.026945179835296807,0.010845367175097353,-2.4844875604734824,0.013065589876046335,0.0029106223052523133,0.5633146588728386,0.4756666208943914,0.642478898624584,Reptiles,high,neo_marginality
(Intercept),2.895536195652701,0.28188334266653675,10.272108200015463,0,0.005896495226711287,0.4426060353078996,0.3380764644272447,0.5424579495090156,Reptiles,low,neo_specialization
log(low.age + 1),-0.0983701235194806,0.02899445134886777,-3.3927223638712496,7.072552104669949e-4,0.005896495226711287,0.4426060353078996,0.3380764644272447,0.5424579495090156,Reptiles,low,neo_specialization
(Intercept),2.8981949881378197,0.2815473104811963,10.293811662361383,0,0.006035368532773009,0.4418561707263517,0.33729094409504373,0.5417967864622991,Reptiles,int,neo_specialization
log(int.age + 1),-0.10927873260030607,0.031866852251261624,-3.4292289598819625,6.191727328053176e-4,0.006035368532773009,0.4418561707263517,0.33729094409504373,0.5417967864622991,Reptiles,int,neo_specialization
(Intercept),2.9008934183029567,0.28162787547217305,10.300448467465667,0,0.005973523962399532,0.4414549914913856,0.3369125305540294,0.5414168645950713,Reptiles,high,neo_specialization
log(high.age + 1),-0.12241669187265543,0.035867574394133045,-3.413018413999009,6.56942767623292e-4,0.005973523962399532,0.4414549914913856,0.3369125305540294,0.5414168645950713,Reptiles,high,neo_specialization
(Intercept),1.1562895176115497,0.10200017741759458,11.336152023320842,0,1.3190807674576146e-4,0.5888867955776056,0.5036966576974288,0.6644950252447327,Reptiles,low,neo_marginality
log(low.age + 1),-0.010121979727995686,0.0091127198133596,-1.1107528745870658,0.266825515727001,1.3190807674576146e-4,0.5888867955776056,0.5036966576974288,0.6644950252447327,Reptiles,low,neo_marginality
(Intercept),1.1541715068439873,0.10204078854494227,11.3108838465674,0,1.9285010792599364e-5,0.5892616489794448,0.5041622236379953,0.6647871926040004,Reptiles,int,neo_marginality
log(int.age + 1),-0.010217893107058748,0.010047652602342494,-1.016943311184601,0.3093193024276273,1.9285010792599364e-5,0.5892616489794448,0.5041622236379953,0.6647871926040004,Reptiles,int,neo_marginality
(Intercept),1.1512736816814204,0.10216284602217489,11.269005577933209,0,-1.3511860855943428e-4,0.589738545820668,0.5047484332403318,0.6651642366174876,Reptiles,high,neo_marginality
log(high.age + 1),-0.00989918150582094,0.011350644097346669,-0.8721250900761638,0.3832583578969486,-1.3511860855943428e-4,0.589738545820668,0.5047484332403318,0.6651642366174876,Reptiles,high,neo_marginality
(Intercept),2.8041584777120825,0.27555889428175884,10.176258273285244,0,0.00245739022373086,0.4571786205134531,0.35003003027826673,0.5574431263655937,Reptiles,low,neo_specialization
log(low.age + 1),-0.0692933718077334,0.029915607372129397,-2.3162950009930245,0.02065582442757563,0.00245739022373086,0.4571786205134531,0.35003003027826673,0.5574431263655937,Reptiles,low,neo_specialization
(Intercept),2.8016889354796506,0.27571026653158703,10.161714218061851,0,0.0023323737855406065,0.4572926024388951,0.3501883625443799,0.5575185036149978,Reptiles,int,neo_specialization
log(int.age + 1),-0.07505029799595837,0.03309480637825099,-2.267736427830543,0.02346528774673473,0.0023323737855406065,0.4572926024388951,0.3501883625443799,0.5575185036149978,Reptiles,int,neo_specialization
(Intercept),2.799988456663864,0.2761220276694512,10.140402344197478,0,0.002173075625359934,0.4575265425193677,0.3505073617542329,0.5576809577481604,Reptiles,high,neo_specialization
log(high.age + 1),-0.08264615944673205,0.03749262323474075,-2.2043312074827544,0.027629262234349694,0.002173075625359934,0.4575265425193677,0.3505073617542329,0.5576809577481604,Reptiles,high,neo_specialization
(Intercept),1.1517260144415062,0.10510872501029388,10.957472981702626,0,-2.9703918630276984e-4,0.5678161423311527,0.47884009449665255,0.6478442974615606,Reptiles,low,neo_marginality
log(low.age + 1),-0.00606451047953078,0.008810426054041677,-0.6883333952673899,0.49133300693054416,-2.9703918630276984e-4,0.5678161423311527,0.47884009449665255,0.6478442974615606,Reptiles,low,neo_marginality
(Intercept),1.150985317617022,0.10505204531682456,10.95633420697128,0,-3.1477340267541267e-4,0.5679319901076273,0.47899989035704205,0.6479242821694567,Reptiles,int,neo_marginality
log(int.age + 1),-0.006447302615966122,0.009693306481209682,-0.6651293476033295,0.5060543700834528,-3.1477340267541267e-4,0.5679319901076273,0.47899989035704205,0.6479242821694567,Reptiles,int,neo_marginality
(Intercept),1.1503617094456533,0.10509868113403749,10.945538964266742,0,-3.4054124551619963e-4,0.5680608828874963,0.4791761704877187,0.6480146931212385,Reptiles,high,neo_marginality
log(high.age + 1),-0.006885016557128004,0.010930438346651769,-0.6298939108180446,0.5288452525964262,-3.4054124551619963e-4,0.5680608828874963,0.4791761704877187,0.6480146931212385,Reptiles,high,neo_marginality
(Intercept),2.8218255355467687,0.3037661116846532,9.289467873480808,0,0.002141873908205796,0.480596160108568,0.3727077237579283,0.5800417333301645,Reptiles,low,neo_specialization
log(low.age + 1),-0.06353443329772941,0.02898865899460846,-2.191699633623827,0.02853101338028341,0.002141873908205796,0.480596160108568,0.3727077237579283,0.5800417333301645,Reptiles,low,neo_specialization
(Intercept),2.8180544368872726,0.30371098758148973,9.278737194620431,0,0.002059437009980118,0.48078219150836077,0.3729269013350224,0.5801976821826861,Reptiles,int,neo_specialization
log(int.age + 1),-0.06899147505891448,0.03197047915759081,-2.1579743837694,0.03106387908811392,0.002059437009980118,0.48078219150836077,0.3729269013350224,0.5801976821826861,Reptiles,int,neo_specialization
(Intercept),2.819140414806446,0.3040214407577047,9.272834204654698,0,0.0020352403799762057,0.4810658725086354,0.37327168965857066,0.5804263350463807,Reptiles,high,neo_specialization
log(high.age + 1),-0.077600091982853725,0.036127075859552084,-2.1479760023903536,0.03185095978366714,0.0020352403799762057,0.4810658725086354,0.37327168965857066,0.5804263350463807,Reptiles,high,neo_specialization
(Intercept),1.1528121092223365,0.10743047887234937,10.730773252831968,0,-5.6193850420982463e-5,0.6220314348630941,0.5377806095869301,0.6952340549534215,Reptiles,low,neo_marginality
log(low.age + 1),-0.008140018515188247,0.008578283449784865,-0.948909949506552,0.3427958790967325,-5.6193850420982463e-5,0.6220314348630941,0.5377806095869301,0.6952340549534215,Reptiles,low,neo_marginality
(Intercept),1.1498603349721814,0.10748099477406504,10.69826658554188,0,-2.0234708398994262e-4,0.6223426429283743,0.5381752456327509,0.6954731249842403,Reptiles,int,neo_marginality
log(int.age + 1),-0.007585264176147445,0.009470388794537226,-0.8009453825721314,0.42327070274729284,-2.0234708398994262e-4,0.6223426429283743,0.5381752456327509,0.6954731249842403,Reptiles,int,neo_marginality
(Intercept),1.1471328680819033,0.10758777707707376,10.662297328256164,0,-3.2587502236819204e-4,0.6225650317128419,0.5384702976889554,0.6956374637910747,Reptiles,high,neo_marginality
log(high.age + 1),-0.006970655913939968,0.010721072164607067,-0.650182724909906,0.5156585282831909,-3.2587502236819204e-4,0.6225650317128419,0.5384702976889554,0.6956374637910747,Reptiles,high,neo_marginality
(Intercept),2.7646170543188053,0.2719017092170914,10.167707522983916,0,5.371069576236637e-4,0.44734738079991576,0.3454170434645672,0.544137583795053,Reptiles,low,neo_specialization
log(low.age + 1),-0.03932154351521715,0.028142402704397725,-1.3972347680559802,0.16251800883343237,5.371069576236637e-4,0.44734738079991576,0.3454170434645672,0.544137583795053,Reptiles,low,neo_specialization
(Intercept),2.759522499885076,0.2721331181335761,10.140340576006516,0,3.873992302951893e-4,0.44746164641271,0.34552989804214945,0.5442449142049016,Reptiles,int,neo_specialization
log(int.age + 1),-0.04051376561166345,0.031194559971819025,-1.2987445775245214,0.19420067386161177,3.873992302951893e-4,0.44746164641271,0.34552989804214945,0.5442449142049016,Reptiles,int,neo_specialization
(Intercept),2.7580434374791416,0.27256735856616005,10.118759091285995,0,3.022194157814883e-4,0.4474899488482573,0.3455419819905121,0.5442833593029991,Reptiles,high,neo_specialization
log(high.age + 1),-0.043919638933076995,0.03544102861687362,-1.239231496575883,0.21542397951253545,3.022194157814883e-4,0.4474899488482573,0.3455419819905121,0.5442833593029991,Reptiles,high,neo_specialization
(Intercept),1.138414175111431,0.11919051832993836,9.551214232998962,0,-5.549323875078499e-4,0.6403607569384324,0.5582552673531349,0.7114835326577142,Reptiles,low,neo_marginality
log(low.age + 1),-0.0011635246944913785,0.00887045338818123,-0.13116857093704246,0.8956568560356404,-5.549323875078499e-4,0.6403607569384324,0.5582552673531349,0.7114835326577142,Reptiles,low,neo_marginality
(Intercept),1.137998267652593,0.11921429962839712,9.545820184322244,0,-5.581342549226781e-4,0.6403959637629152,0.5583133483621597,0.7115044892683993,Reptiles,int,neo_marginality
log(int.age + 1),-0.0010428000057192566,0.009708220186127003,-0.10741412799942594,0.9144726134145102,-5.581342549226781e-4,0.6403959637629152,0.5583133483621597,0.7115044892683993,Reptiles,int,neo_marginality
(Intercept),1.1379020439662897,0.11926301600311737,9.541114103105917,0,-5.589491254694982e-4,0.6404139843421512,0.5583446510977348,0.7115156235960836,Reptiles,high,neo_marginality
log(high.age + 1),-0.0010925388547422237,0.010873614252256084,-0.10047614614575287,0.9199776923144249,-5.589491254694982e-4,0.6404139843421512,0.5583446510977348,0.7115156235960836,Reptiles,high,neo_marginality
(Intercept),2.7349082900392254,0.3038667296060411,9.000354509310695,0,7.168559954960002e-5,0.4727667611218918,0.36842276364160187,0.5698330343187153,Reptiles,low,neo_specialization
log(low.age + 1),-0.03101180907789986,0.029211792658656064,-1.0616195123756096,0.28855319870695695,7.168559954960002e-5,0.4727667611218918,0.36842276364160187,0.5698330343187153,Reptiles,low,neo_specialization
(Intercept),2.729273263496066,0.30437888622943143,8.966697057426066,0,-5.577243082461166e-5,0.47339646509388955,0.36916867329421865,0.5703344104490621,Reptiles,int,neo_specialization
log(int.age + 1),-0.030484291044746613,0.03211227738898918,-0.9493033046357284,0.3425958947932517,-5.577243082461166e-5,0.47339646509388955,0.36916867329421865,0.5703344104490621,Reptiles,int,neo_specialization
(Intercept),2.7216893655549126,0.30513460665710346,8.919635158307116,0,-2.0182961679365293e-4,0.47431156042467765,0.37028816305690954,0.571042367449927,Reptiles,high,neo_specialization
log(high.age + 1),-0.028947010092453956,0.036115262547597046,-0.8015173655266689,0.42293971949936626,-2.0182961679365293e-4,0.47431156042467765,0.37028816305690954,0.571042367449927,Reptiles,high,neo_specialization
(Intercept),1.1114104285463677,0.09924089928829827,11.199116861261825,0,1.5519784212262973e-4,0.5647018787959587,0.47660651526781694,0.6442425930641801,Reptiles,low,neo_marginality
log(low.age + 1),0.010162546056571818,0.008999914076149024,1.1291825644762459,0.2589737519844111,1.5519784212262973e-4,0.5647018787959587,0.47660651526781694,0.6442425930641801,Reptiles,low,neo_marginality
(Intercept),1.1074148363977372,0.09925674987239956,11.157073325707165,0,4.5142675084764935e-4,0.5652435859564716,0.47732935039367796,0.6446212841254746,Reptiles,int,neo_marginality
log(int.age + 1),0.013223963520562817,0.009855767988094828,1.3417486629693969,0.17984950930966237,4.5142675084764935e-4,0.5652435859564716,0.47732935039367796,0.6446212841254746,Reptiles,int,neo_marginality
(Intercept),1.1032598984325255,0.09930811063639715,11.109464185377147,0,7.741164816972817e-4,0.5655484392118837,0.47779617646029837,0.6447917580202931,Reptiles,high,neo_marginality
log(high.age + 1),0.017065258085318585,0.011078540719186417,1.5403886231842834,0.123644298623107,7.741164816972817e-4,0.5655484392118837,0.47779617646029837,0.6447917580202931,Reptiles,high,neo_marginality
(Intercept),2.8047393815029125,0.28854883898803024,9.72015479715467,0,0.001222927812475826,0.4830361621607657,0.37330821615481374,0.5835895647634548,Reptiles,low,neo_specialization
log(low.age + 1),-0.052577196982456414,0.02953177970867996,-1.7803599207738559,0.07518847229658165,0.001222927812475826,0.4830361621607657,0.37330821615481374,0.5835895647634548,Reptiles,low,neo_specialization
(Intercept),2.8014901912260095,0.2884033499566717,9.71379213052446,0,0.0011462902417365495,0.4828954300956192,0.3731337715674506,0.583486955863535,Reptiles,int,neo_specialization
log(int.age + 1),-0.05644300450892041,0.03240664101796612,-1.7417110424257984,0.08173263944100939,0.0011462902417365495,0.4828954300956192,0.3731337715674506,0.583486955863535,Reptiles,int,neo_specialization
(Intercept),2.798035007182929,0.2886431595288324,9.693751314773268,0,0.0010110310752725958,0.48304511587757143,0.37331675523141056,0.5836097486931474,Reptiles,high,neo_specialization
log(high.age + 1),-0.0610043558381978,0.03650037904638513,-1.6713348582126424,0.09483222448872652,0.0010110310752725958,0.48304511587757143,0.37331675523141056,0.5836097486931474,Reptiles,high,neo_specialization
(Intercept),1.1732525097130393,0.10566384528555656,11.103632529578345,0,9.50278419975792e-4,0.5910521995760679,0.5059339127975759,0.6666780238180209,Reptiles,low,neo_marginality
log(low.age + 1),-0.014166223941949187,0.008644540728939673,-1.6387480128960876,0.10144337239513002,9.50278419975792e-4,0.5910521995760679,0.5059339127975759,0.6666780238180209,Reptiles,low,neo_marginality
(Intercept),1.1745008880484837,0.1056657815209821,11.11524346995212,0,0.001056650376429377,0.5909885080199907,0.505852853960726,0.6666321911550913,Reptiles,int,neo_marginality
log(int.age + 1),-0.01611427570467477,0.009504731012857292,-1.6953952387370645,0.09017624553888548,0.001056650376429377,0.5909885080199907,0.505852853960726,0.6666321911550913,Reptiles,int,neo_marginality
(Intercept),1.175162662690194,0.10574555568859538,11.113116338911395,0,0.0010749735764303537,0.5911616821976157,0.5060555578635751,0.6667788812455094,Reptiles,high,neo_marginality
