term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(high.age + 1),-0.01424458659797259,0.00980442761544957,-1.452872840381455,0.14648283503624993,7.911337617209417e-4,0.7234182901685343,0.6459152778758092,0.7859428308206986,amphibians,high,neo_marginality
(Intercept),2.227533714464476,0.29414787560711514,7.572836315295131,6.59472476627343e-14,5.206956349975229e-4,0.4433652492115456,0.31437939416253313,0.5670320514289726,amphibians,high,neo_specialization
log(high.age + 1),-0.0414008766805269,0.03146816879099345,-1.3156430218582118,0.18850898344922615,5.206956349975229e-4,0.4433652492115456,0.31437939416253313,0.5670320514289726,amphibians,high,neo_specialization
(Intercept),1.1267843872323384,0.160694117403597,7.011982799608795,3.642197654585289e-12,-5.599720765441302e-4,0.7579086925489209,0.6871470909824774,0.8141929867164561,amphibians,high,neo_marginality
log(high.age + 1),-0.00436375958414429,0.00941553110017729,-0.4634639870779168,0.6431037614688597,-5.599720765441302e-4,0.7579086925489209,0.6871470909824774,0.8141929867164561,amphibians,high,neo_marginality
(Intercept),2.2358203085094734,0.30977288625530974,7.217611378249376,8.639755577632968e-13,9.424721055383072e-4,0.44792937296990865,0.3157052148956391,0.5746233251055702,amphibians,high,neo_specialization
log(high.age + 1),-0.04648167144946547,0.03049348464508323,-1.5243148492364962,0.12765560741623738,9.424721055383072e-4,0.44792937296990865,0.3157052148956391,0.5746233251055702,amphibians,high,neo_specialization
(Intercept),1.141744094545106,0.15922600963113967,7.170587878136565,1.2043699371133698e-12,4.723142507161423e-4,0.7661217086159483,0.7001561808078246,0.818693893810047,amphibians,high,neo_marginality
log(high.age + 1),-0.01266876782546167,0.00982408624992844,-1.289561950410803,0.19741548499102057,4.723142507161423e-4,0.7661217086159483,0.7001561808078246,0.818693893810047,amphibians,high,neo_marginality
(Intercept),2.156757273783009,0.3400361609766673,6.342729160299519,3.0384939009309164e-10,-4.816935386182178e-4,0.5168502551630658,0.38107455443655086,0.6376318242179205,amphibians,high,neo_specialization
log(high.age + 1),-0.01809052709424186,0.03175686457853875,-0.5696572169302702,0.5690014735065572,-4.816935386182178e-4,0.5168502551630658,0.38107455443655086,0.6376318242179205,amphibians,high,neo_specialization
(Intercept),1.1384787253352548,0.171724691518006,6.629674016423438,4.787192864341705e-11,-1.838246815138553e-5,0.7806846018488841,0.7150623422419907,0.8324039056358377,amphibians,high,neo_marginality
log(high.age + 1),-0.01033107979945198,0.01046693321784823,-0.9870207045780522,0.3238027938358581,-1.838246815138553e-5,0.7806846018488841,0.7150623422419907,0.8324039056358377,amphibians,high,neo_marginality
(Intercept),2.29401563832403,0.32579899407794644,7.041199267101462,2.9753977059954195e-12,0.00283509009421768,0.4636994527759667,0.33324120348153136,0.5867969110306755,amphibians,high,neo_specialization
log(high.age + 1),-0.07542589285608138,0.03376885238718237,-2.2335936084316197,0.02566704848698164,0.00283509009421768,0.4636994527759667,0.33324120348153136,0.5867969110306755,amphibians,high,neo_specialization
(Intercept),1.1300871938648247,0.1523471715156295,7.417841648270363,2.0539125955565399e-13,-6.64653503275543e-4,0.7308376211177593,0.6560987354946196,0.7913294511208198,amphibians,high,neo_marginality
log(high.age + 1),-0.00256424058969774,0.00982543251664131,-0.2609799197495579,0.7941463212395221,-6.64653503275543e-4,0.7308376211177593,0.6560987354946196,0.7913294511208198,amphibians,high,neo_marginality
(Intercept),2.329597024263239,0.2877898553140867,8.094785070588312,1.3322676295501878e-15,0.00404135815020342,0.3987327666738731,0.2757035912841777,0.5224729707874258,amphibians,high,neo_specialization
log(high.age + 1),-0.08186162390448977,0.03164236020993524,-2.587089691204084,0.00977894437566906,0.00404135815020342,0.3987327666738731,0.2757035912841777,0.5224729707874258,amphibians,high,neo_specialization
(Intercept),1.1335846751942098,0.14221847328474718,7.970727353573595,3.1086244689504387e-15,3.652768899174131e-5,0.7243857788153828,0.6447774807035269,0.7883693424354044,amphibians,high,neo_marginality
log(high.age + 1),-0.01003939087347737,0.00979161465352461,-1.0253049398613308,0.30539619354839953,3.652768899174131e-5,0.7243857788153828,0.6447774807035269,0.7883693424354044,amphibians,high,neo_marginality
(Intercept),2.1826295618412956,0.27409413505308095,7.963065541036143,3.552713678800501e-15,-8.41538951207141e-5,0.4009606794545704,0.27702141982963474,0.5259182597525358,amphibians,high,neo_specialization
log(high.age + 1),-0.0293956060075402,0.0313013018268346,-0.9391176817553114,0.3478320876381018,-8.41538951207141e-5,0.4009606794545704,0.27702141982963474,0.5259182597525358,amphibians,high,neo_specialization
(Intercept),1.1360678243522069,0.15890581038873103,7.149315821574087,1.3988810110276972e-12,5.076494535312194e-4,0.7706305667656039,0.7007190387340292,0.8257788603167443,amphibians,high,neo_marginality
log(high.age + 1),-0.01290976106857213,0.00986486177005451,-1.30866112161456,0.19086364241808407,5.076494535312194e-4,0.7706305667656039,0.7007190387340292,0.8257788603167443,amphibians,high,neo_marginality
(Intercept),2.3420657380926606,0.29287443097023885,7.99682556901205,2.6645352591003757e-15,0.00592161286546272,0.43276601476295856,0.30398441057804865,0.559235608229367,amphibians,high,neo_specialization
log(high.age + 1),-0.09692571656161642,0.03168537163754954,-3.0590051986877183,0.00226282898743068,0.00592161286546272,0.43276601476295856,0.30398441057804865,0.559235608229367,amphibians,high,neo_specialization
(Intercept),1.1603623454827945,0.14596607410024565,7.949534524617604,3.774758283725532e-15,0.00139579339376266,0.7463973338092456,0.6743724597136436,0.8041762381359147,amphibians,high,neo_marginality
log(high.age + 1),-0.01640215332068604,0.0095318911102049,-1.7207659142398082,0.0855139466021071,0.00139579339376266,0.7463973338092456,0.6743724597136436,0.8041762381359147,amphibians,high,neo_marginality
(Intercept),2.293196478658127,0.2992948508125872,7.661997767192069,3.397282455352979e-14,0.00254986743736652,0.45924731933711593,0.3304767152326494,0.5813750166679229,amphibians,high,neo_specialization
log(high.age + 1),-0.0660458315634103,0.0308389465718432,-2.1416370824972324,0.03239461658688603,0.00254986743736652,0.45924731933711593,0.3304767152326494,0.5813750166679229,amphibians,high,neo_specialization
(Intercept),1.110202345846978,0.16444462158120732,6.751223209198904,2.1404433780958243e-11,-6.159741675901794e-4,0.7570661763548375,0.6862416765249422,0.8130829521597007,amphibians,high,neo_marginality
log(high.age + 1),0.00349872643510085,0.00947610367984784,0.36921571917172585,0.7120226931344975,-6.159741675901794e-4,0.7570661763548375,0.6862416765249422,0.8130829521597007,amphibians,high,neo_marginality
(Intercept),2.278881945634179,0.3212277290754015,7.094287757142097,2.056799175420565e-12,0.00362004048435275,0.4597797818381214,0.3308918350119432,0.5822226873581627,amphibians,high,neo_specialization
log(high.age + 1),-0.07526903532805101,0.03048211474578776,-2.469285217110871,0.01365675990142389,0.00362004048435275,0.4597797818381214,0.3308918350119432,0.5822226873581627,amphibians,high,neo_specialization
(Intercept),1.1516951155815789,0.1617395371630099,7.120677700597335,1.7101875471325913e-12,0.00140083096456739,0.7536119265754091,0.6770137137806896,0.8137493078619027,amphibians,high,neo_marginality
log(high.age + 1),-0.0166296517519777,0.00965255352111996,-1.7228240916345845,0.08514085402299054,0.00140083096456739,0.7536119265754091,0.6770137137806896,0.8137493078619027,amphibians,high,neo_marginality
(Intercept),2.3077444994920153,0.3152627193431261,7.320067860546203,4.1611158962950867e-13,0.00439769565368832,0.45462531952618374,0.3223970052453811,0.5815716144618579,amphibians,high,neo_specialization
log(high.age + 1),-0.08328088031315972,0.03104294413218227,-2.682763592220697,0.00738749077558509,0.00439769565368832,0.45462531952618374,0.3223970052453811,0.5815716144618579,amphibians,high,neo_specialization
(Intercept),1.1194639271859887,0.15960134026897221,7.014126105077714,3.588684904798356e-12,-6.982513194960228e-4,0.7489011194811186,0.6748553022453518,0.8078404095491277,amphibians,high,neo_marginality
log(high.age + 1),-0.00146058602139569,0.01007014303299855,-0.14504123889894543,0.8846991597694629,-6.982513194960228e-4,0.7489011194811186,0.6748553022453518,0.8078404095491277,amphibians,high,neo_marginality
(Intercept),2.2468914964826716,0.3360965354091971,6.685256346802516,3.3184344161441004e-11,0.00165168306650664,0.494411790657076,0.36123985116317486,0.6162492007827346,amphibians,high,neo_specialization
log(high.age + 1),-0.05878299082876422,0.03225579506709966,-1.822400926918147,0.06860710373099788,0.00165168306650664,0.494411790657076,0.36123985116317486,0.6162492007827346,amphibians,high,neo_specialization
(Intercept),1.1336432576999342,0.14939104333405798,7.588428545645532,5.861977570020828e-14,-2.4234594512239152e-4,0.7526766021482055,0.6804318312585185,0.8104314719734212,amphibians,high,neo_marginality
log(high.age + 1),-0.00745037147856554,0.00917027996505775,-0.8124475487067229,0.41667280083515945,-2.4234594512239152e-4,0.7526766021482055,0.6804318312585185,0.8104314719734212,amphibians,high,neo_marginality
(Intercept),2.296903432879742,0.30633847510383655,7.497926703791236,1.1457501614131618e-13,0.00346140098253237,0.4759052447397522,0.34049787380618307,0.6007487343646424,amphibians,high,neo_specialization
log(high.age + 1),-0.07138487235367742,0.02945562788740117,-2.423471420353267,0.0154988563243541,0.00346140098253237,0.4759052447397522,0.34049787380618307,0.6007487343646424,amphibians,high,neo_specialization
(Intercept),1.1381508079504856,0.16208716978905363,7.021843921586873,3.4021674366613297e-12,1.8331160999598856e-4,0.7835013998276009,0.7155014853487033,0.836654688511922,amphibians,high,neo_marginality
log(high.age + 1),-0.01085348352038635,0.00967968458688836,-1.12126417167435,0.26236744392455735,1.8331160999598856e-4,0.7835013998276009,0.7155014853487033,0.836654688511922,amphibians,high,neo_marginality
(Intercept),2.2682744188407327,0.2882211593436134,7.869909426519675,7.105427357601002e-15,0.00134792211025736,0.42151907900067526,0.2929514051668695,0.5486639896347104,amphibians,high,neo_specialization
log(high.age + 1),-0.05334456283173917,0.03135915588437044,-1.7010841436049742,0.08914893168229465,0.00134792211025736,0.42151907900067526,0.2929514051668695,0.5486639896347104,amphibians,high,neo_specialization
(Intercept),1.1445186144240789,0.16398534839778403,6.979395571656724,4.559463917530593e-12,4.1143946523478146e-4,0.7655243363914072,0.6974190198144221,0.819600268657096,amphibians,high,neo_marginality
log(high.age + 1),-0.0124299232047485,0.00989658883766933,-1.2559805614472488,0.20933227568073276,4.1143946523478146e-4,0.7655243363914072,0.6974190198144221,0.819600268657096,amphibians,high,neo_marginality
(Intercept),2.3741083381953447,0.30822156789593663,7.702602885327296,2.5091040356528535e-14,0.00691382561738892,0.4394939442826152,0.31651920631719804,0.5585884848504729,amphibians,high,neo_specialization
log(high.age + 1),-0.10459155538925802,0.03187400080236417,-3.281406561974492,0.00105830935586004,0.00691382561738892,0.4394939442826152,0.31651920631719804,0.5585884848504729,amphibians,high,neo_specialization
(Intercept),1.1364523524410162,0.15880020818588575,7.156491577836764,1.3300471835009377e-12,4.48891131103408e-5,0.7523593601032724,0.677271851833211,0.8113547291835335,amphibians,high,neo_marginality
log(high.age + 1),-0.00996782097591936,0.00966801292801783,-1.0310103068886771,0.3027138094628201,4.48891131103408e-5,0.7523593601032724,0.677271851833211,0.8113547291835335,amphibians,high,neo_marginality
(Intercept),2.2178023603837898,0.30218466540020333,7.339228671470163,3.623767952376511e-13,3.89788162956657e-4,0.4352583371273752,0.3033070447236997,0.5626913601011069,amphibians,high,neo_specialization
log(high.age + 1),-0.03867535525508205,0.03109403463137891,-1.2438191348784424,0.21377406020550116,3.89788162956657e-4,0.4352583371273752,0.3033070447236997,0.5626913601011069,amphibians,high,neo_specialization
(Intercept),1.1593978923025274,0.147951927083079,7.836314910933835,9.103828801926284e-15,0.00152499134558499,0.7512040325480784,0.6800228562052636,0.8082578196664311,amphibians,high,neo_marginality
log(high.age + 1),-0.01703352162329685,0.00960824250497333,-1.7728030505558223,0.07647844234364487,0.00152499134558499,0.7512040325480784,0.6800228562052636,0.8082578196664311,amphibians,high,neo_marginality
(Intercept),2.3287650675219953,0.27505825502763803,8.466443107799108,0,0.00434909941113046,0.4022447801876107,0.2835638424169976,0.5218334614014698,amphibians,high,neo_specialization
log(high.age + 1),-0.08319295160112299,0.031159414880513,-2.669913793957395,0.00767473447916833,0.00434909941113046,0.4022447801876107,0.2835638424169976,0.5218334614014698,amphibians,high,neo_specialization
(Intercept),1.1205516776366524,0.1738584663786386,6.445194766622713,1.5839085598656766e-10,-6.052295880090258e-4,0.7834219760809951,0.7149978476795353,0.8367328798197721,amphibians,high,neo_marginality
log(high.age + 1),-0.00387390105299194,0.00995678877146067,-0.3890713303164347,0.6972824641593405,-6.052295880090258e-4,0.7834219760809951,0.7149978476795353,0.8367328798197721,amphibians,high,neo_marginality
(Intercept),2.258169187527754,0.33915038790919144,6.658312265095759,3.964872874462344e-11,0.00223195079548463,0.4913945872991358,0.36044902531390927,0.6113153275673296,amphibians,high,neo_specialization
log(high.age + 1),-0.06499482562583309,0.03194926577452503,-2.034313592197075,0.04210787797630599,0.00223195079548463,0.4913945872991358,0.36044902531390927,0.6113153275673296,amphibians,high,neo_specialization
(Intercept),1.1153554804329486,0.15185591974898482,7.344827137964801,3.481659405224491e-13,-6.80958897372072e-4,0.74922309262221,0.6750421987894253,0.8081119264136385,amphibians,high,neo_marginality
log(high.age + 1),-0.00208717743388464,0.00981022698754098,-0.2127552641274629,0.8315487881295782,-6.80958897372072e-4,0.74922309262221,0.6750421987894253,0.8081119264136385,amphibians,high,neo_marginality
(Intercept),2.193978994163468,0.29631065094389736,7.4043203886682765,2.2648549702353193e-13,-8.127215487056736e-5,0.4444005509261541,0.31312213527434396,0.5694466571100376,amphibians,high,neo_specialization
log(high.age + 1),-0.02964238513930126,0.03149198965190743,-0.9412674609305244,0.3467299644110533,-8.127215487056736e-5,0.4444005509261541,0.31312213527434396,0.5694466571100376,amphibians,high,neo_specialization
(Intercept),1.1732210821314415,0.1519187592731624,7.722687360959115,2.1538326677728037e-14,0.00344915672541632,0.767634732979296,0.7004388033145565,0.8208814284862489,amphibians,high,neo_marginality
log(high.age + 1),-0.02368516833088324,0.0097876643488136,-2.419899935959105,0.01565125765878194,0.00344915672541632,0.767634732979296,0.7004388033145565,0.8208814284862489,amphibians,high,neo_marginality
(Intercept),2.2372525440116595,0.31326696955383426,7.141680296515245,1.4761525335416081e-12,3.5253120075574466e-4,0.49003557032467815,0.3583544980512816,0.611291840747904,amphibians,high,neo_specialization
log(high.age + 1),-0.03869978935223596,0.03165341609784339,-1.2226101989311875,0.2216824449644339,3.5253120075574466e-4,0.49003557032467815,0.3583544980512816,0.611291840747904,amphibians,high,neo_specialization
(Intercept),1.1351434434940528,0.14113704173705663,8.042845659248448,1.7763568394002505e-15,8.969773341665555e-5,0.7254389093782386,0.6487430775580806,0.7876989087158033,amphibians,high,neo_marginality
log(high.age + 1),-0.01036203327436256,0.00976569881503099,-1.061064187072175,0.28884347909687835,8.969773341665555e-5,0.7254389093782386,0.6487430775580806,0.7876989087158033,amphibians,high,neo_marginality
(Intercept),2.161036405503988,0.27373016948539536,7.894768813999102,5.773159728050814e-15,-5.540395983549608e-4,0.4053956422616344,0.283495673358865,0.5287873628175126,amphibians,high,neo_specialization
log(high.age + 1),-0.01486296675259354,0.03146612004404136,-0.4723482504926152,0.636751748773777,-5.540395983549608e-4,0.4053956422616344,0.283495673358865,0.5287873628175126,amphibians,high,neo_specialization
(Intercept),1.1343938279357344,0.14540751619733638,7.801479989495306,1.199040866595169e-14,-6.691482205581057e-4,0.7361869327228318,0.6593788159488942,0.7976324652068176,amphibians,high,neo_marginality
log(high.age + 1),-0.00241325216806628,0.00970651614690393,-0.24862186716044768,0.8036897049577751,-6.691482205581057e-4,0.7361869327228318,0.6593788159488942,0.7976324652068176,amphibians,high,neo_marginality
(Intercept),2.3308044473749012,0.2877649397036452,8.099681808962831,1.3322676295501878e-15,0.00476923110334317,0.4340955432413369,0.3086832320185222,0.5564249312357167,amphibians,high,neo_specialization
log(high.age + 1),-0.0861455067922854,0.03099782949156963,-2.779081897192643,0.00552405318580495,0.00476923110334317,0.4340955432413369,0.3086832320185222,0.5564249312357167,amphibians,high,neo_specialization
(Intercept),1.152786894187877,0.14674008997043095,7.855977834143149,7.993605777301127e-15,3.0088025552356596e-4,0.7140922194692649,0.6338461365667942,0.7788020325883163,amphibians,high,neo_marginality
log(high.age + 1),-0.01155062817250586,0.00968536055723977,-1.1925862856878169,0.23323323868500337,3.0088025552356596e-4,0.7140922194692649,0.6338461365667942,0.7788020325883163,amphibians,high,neo_marginality
(Intercept),2.2793008732660476,0.3104820347814288,7.3411683058268276,3.574918139293004e-13,0.00225186436104929,0.4581914520785491,0.32419451656428666,0.585005738778017,amphibians,high,neo_specialization
log(high.age + 1),-0.06327450320542086,0.03099868336287692,-2.0411997007975016,0.04141789853917155,0.00225186436104929,0.4581914520785491,0.32419451656428666,0.585005738778017,amphibians,high,neo_specialization
