biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Deserts and xeric shrublands,low,2.4779064053858177e-4,-0.00260953193821937,-0.05312069975501427,0.05609887622066512,0.7077477351656637,0.7316110953126023,0.3260053454354217,0.9752537496477307,0,-0.0016725799064224213,-0.00189676914221385,-0.002148365885934916,-7.062974301317554e-5,0.5321866111607942,0.5315050456173926,0.3228414356599464,0.7070343680400889,mammals,specialization
Deserts and xeric shrublands,int,0.0087494889784129,0.00647821901002175,-0.0573715229314289,0.07382569059422493,0.6909782266219551,0.7284660816090678,0.2982400944602353,0.9905567979388978,0,-0.0015706538233727914,-0.00189054156652427,-0.002150229997822126,1.889065722299338e-4,0.5329186032000106,0.5319624483888135,0.32388589912273247,0.7074820537305938,mammals,specialization
Deserts and xeric shrublands,high,0.031624207738086295,0.03172998648826908,-0.06246960883813052,0.1320420244617099,0.6364980804967826,0.6483223900390342,0.1608947469428112,0.9844315890975004,0,-0.001244629361005636,-0.00170183518893759,-0.002149684829946436,0.0020971424265232947,0.5338151535750354,0.5331234395471002,0.3251517743924413,0.7080581769590055,mammals,specialization
Flooded grasslands and savannas,low,0.01215154812633661,0.00963112306580454,-0.07034946105681415,0.09313457220101903,0.647743003315398,0.7269353090327637,0.19382788757576908,0.9785297580009861,0,-0.0018957321356362095,-0.00276814383605205,-0.0031521530459456787,0.0021824254778620034,0.2249213193264112,0.22237408367965691,0.05375333479730489,0.4750043755675207,mammals,specialization
Flooded grasslands and savannas,int,0.019333192180963434,0.01526767486556215,-0.08539223245387624,0.12157440100812221,0.6277408820545088,0.6988673133192465,0.15597356664255885,0.9707001163061267,0.010101010101010102,-0.0016577607252001082,-0.00268035841900151,-0.003150296804856112,0.003217848390552812,0.2253142591968775,0.22243855768263043,0.05410332638902203,0.47531126789283645,mammals,specialization
Flooded grasslands and savannas,high,0.014475463141301725,0.00172661537142609,-0.14183405084805198,0.17664706050385,0.6199561307965336,0.6713903995042649,0.10726322695645388,0.9904458135289169,0.010101010101010102,-0.0015154292135126242,-0.00258428588423277,-0.003154119402939334,0.005033827611288707,0.22463870600984276,0.2222950374973704,0.05360683196590591,0.4747051070606343,mammals,specialization
Montane grasslands and shrublands,low,-0.030941932983657706,-0.03227953366794756,-0.20590506559806637,0.1320620412282112,0.6534650458547551,0.6524769430947637,0.18677893900239945,0.9728168799093593,0,-0.014940293011700289,-0.01838526994486638,-0.02322785977945423,0.01785322447064448,1e-6,1e-6,NA,0.20884654222880486,mammals,specialization
Montane grasslands and shrublands,int,-0.048390838486884184,-0.04434293241915377,-0.288193002053004,0.17868061108120997,0.6112569311732533,0.6132960282017457,0.12274052591973,0.9796807633281374,0,-0.01224518902181007,-0.01712547270392978,-0.023240019826944097,0.032532331854737015,1e-6,1e-6,NA,0.2092337774054486,mammals,specialization
Montane grasslands and shrublands,high,-0.06243115454012622,-0.06206954687092647,-0.36553211819655135,0.24404630045173253,0.5937351341023412,0.5896467410991053,0.14019584826055556,0.9880786882067707,0,-0.011073210586484684,-0.01627646071341749,-0.023250103052268482,0.027836075425094843,1e-6,1e-6,NA,0.20960284760345488,mammals,specialization
Temperate broadleaf & mixed forests,low,-0.03103053509790813,-0.025703187663698522,-0.10990859371452354,0.04698112696290638,0.5418447398220075,0.5574829858469023,0.07008286081029814,0.9505392354172214,0.01020408163265306,-5.356855427271175e-4,-0.001471666540635775,-0.002238454270877986,0.005135939347521362,0.38077689765528044,0.37855829686747394,0.17755733393689668,0.6041202071470053,mammals,specialization
Temperate broadleaf & mixed forests,int,-0.0350522283572797,-0.02705749452094176,-0.13087195411106617,0.06018385669845268,0.5375103000597443,0.5330893267936831,0.06158319305978163,0.9966444566052485,0,-4.5738388980318324e-4,-0.001371590834786525,-0.0022471299728915295,0.005601187785273708,0.38036116273837806,0.3777742232496897,0.1773315807697464,0.6038012830372372,mammals,specialization
