term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,-0.08900788210692283,0.01815452798349312,-4.902792415636066,1.1045405790000018e-6,0.02283104082812668,0.11465409023700236,0.0267136962617911,0.26189184133805743,birds,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.10522593985103662,0.02117711366019136,-4.968851824639343,7.938214676705968e-7,0.02346215220232459,0.11724614753692048,0.02925748366553121,0.2632587873972333,birds,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.1215992950907296,0.02494859807272474,-4.873993109202759,1.274070078771672e-6,0.02255829272991292,0.12187249155465012,0.03289792007465789,0.2673646226172508,birds,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.08205897223771827,0.01829248131615514,-4.485939923592938,8.114244422596784e-6,0.01902617341153883,0.1067636293082835,0.01405610152937653,0.2722340881006006,birds,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.09787581779404754,0.02110244098892122,-4.638127780830299,3.989464500087081e-6,0.02037951324778729,0.10972513828579486,0.01688925322828087,0.27414921453363794,birds,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.11430428805678412,0.0246671077840622,-4.6338747557035385,4.0705599513302104e-6,0.02034113127362534,0.1172680915422177,0.0222675367579325,0.2812996495294036,birds,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.07694050660843338,0.01839317534380439,-4.183100806155814,3.132081597057024e-5,0.01645721675737122,0.10624668687546442,0.01837397995045909,0.2630420800790763,birds,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.09158359417297786,0.02139209806341567,-4.281188030341084,2.0406982210730007e-5,0.01727108292621384,0.11046527529382905,0.02142155037199814,0.2663061512271796,birds,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.10593084916386904,0.02529070342621827,-4.188529175272091,3.0593916526377996e-5,0.01650179975916128,0.11879932408583573,0.02681381604356346,0.27459419978676547,birds,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.0921866144824988,0.01864350740050279,-4.944703402752029,8.961106723326395e-7,0.0232305608103301,0.10700184113493698,0.01805901237813786,0.26938659059090597,birds,low,Deserts_and_xeric_shrublands,marginality
Beta,-0.10800185584383187,0.02166458293286767,-4.985180475363806,7.311412728583377e-7,0.02361932619462903,0.11180657419003708,0.02121131147585227,0.2740844571551566,birds,int,Deserts_and_xeric_shrublands,marginality
Beta,-0.12497875154593811,0.02552265026990681,-4.896777968755767,1.1380433964092165e-6,0.022773959967977,0.1197728493088198,0.02600460010335825,0.2823918002330703,birds,high,Deserts_and_xeric_shrublands,marginality
Beta,-0.10995926704663228,0.01713352536713093,-6.417784121508283,2.1452484233464017e-10,0.03916237070569388,1e-6,NA,0.3576981921460302,birds,low,Deserts_and_xeric_shrublands,marginality
