term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,-0.02822033883817987,0.0755814266058609,-0.3733766363704962,0.7093149488963244,-0.00485826325641388,1e-6,NA,0.5565984315639861,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01677189923050193,0.08537365917922485,-0.19645285667436013,0.8444811071993132,-0.00543048978686777,1e-6,NA,0.5580376766690035,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.00296312137681553,0.09921220076753665,-0.02986650184041783,0.9762071708443424,-0.00564464947455252,1e-6,NA,0.5597030858853721,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.018398159227476,0.07706770064042635,0.2387272368915745,0.8115932691270196,-0.00532602131478587,1e-6,NA,0.4913264776199846,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01621378471498413,0.08542138783090567,0.18980942743613383,0.8496759663879891,-0.00544506332537184,1e-6,NA,0.4905229517893144,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00995636059003324,0.09818149020712946,0.10140771513071065,0.9193415950860762,-0.00559129365596389,1e-6,NA,0.4880523666001212,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00586496381008139,0.07118925842953323,0.08238551629087178,0.9344332449701652,-0.00561115560281303,1e-6,NA,0.4146366276951857,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.00528290476437476,0.07878512634648813,0.0670545953196945,0.9466139230238104,-0.00562417171286857,1e-6,NA,0.4146812163427376,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.00392027136328199,0.09002711243630558,0.0435454526663353,0.9653158181532432,-0.00563894407316421,1e-6,NA,0.4147160635124903,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.04555493186184556,0.07868825363629475,0.5789292525464496,0.5633729063530537,-0.00374906433669107,1e-6,NA,0.4993850025542323,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.06353895337249149,0.08921024920876539,0.7122382678676392,0.4772550196819432,-0.00277575455207222,1e-6,NA,0.5054174648673414,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.08880971830104656,0.10447033899334623,0.8500950524024132,0.3964206779762547,-0.00156051231388965,1e-6,NA,0.5122263708249625,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.09597099095365635,0.07970565282774866,1.204067560440896,0.23017117786871033,0.00252047771315634,1e-6,NA,0.5413945334576741,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.10204612507552469,0.08794073435906989,1.1603965536478376,0.24745012535477073,0.00194296003871238,1e-6,NA,0.541639835160681,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.10934268717089957,0.10122886135824564,1.080153285375199,0.2815435373824242,9.358151146329634e-4,1e-6,NA,0.5416480464945667,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.01428498447421944,0.07107417786054938,0.2009869815483086,0.8409395257969752,-0.00542025580711272,1e-6,NA,0.4977571921939215,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01840294500455819,0.07933106756920234,0.23197652027693785,0.8168242338562619,-0.00534406391730245,1e-6,NA,0.497308456358296,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.01926432925015309,0.09108338953868386,0.21150211194074384,0.8327388135800438,-0.00539562425656184,1e-6,NA,0.4973904155997403,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.02822033883817987,0.0755814266058609,-0.3733766363704962,0.7093149488963244,-0.00485826325641388,1e-6,NA,0.5565984315639861,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.01677189923050193,0.08537365917922485,-0.19645285667436013,0.8444811071993132,-0.00543048978686777,1e-6,NA,0.5580376766690035,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.00296312137681553,0.09921220076753665,-0.02986650184041783,0.9762071708443424,-0.00564464947455252,1e-6,NA,0.5597030858853721,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,-0.03901266627284272,0.07196823887158736,-0.542081713885661,0.5884440047664039,-0.00398292103858505,1e-6,NA,0.4664299534042427,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,-0.04498465172753363,0.07933498652085758,-0.567021609258192,0.5714178826767233,-0.00382630669692357,1e-6,NA,0.4654942824766329,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,-0.05548477556062092,0.09029543347367144,-0.6144804164077612,0.5396869796934669,-0.00350897670471204,1e-6,NA,0.4637842825997898,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.0143198324871987,0.07183296260756576,0.19934904488667815,0.8422185390865895,-0.00542397971255783,1e-6,NA,0.4976813776035766,amphibians,low,Deserts_and_xeric_shrublands,specialization
